gesture_rotate_time.htm+html.head.title:55-3,gesture_rotate_time
gesture_rotate_time.htm+html.head.title:59-3,gesture_rotate_time
gesture_rotate_time.htm+html.body.div.div.div[title]:73-7,gesture_rotate_time
gesture_rotate_time.htm+html.body.div.div.div:73-7,gesture_rotate_time
gesture_rotate_time.htm+html.body.h1:89-3,gesture_rotate_time
gesture_rotate_time.htm+html.body.p:90-3,"This function is used to set the time within which a pair of touches must be rotating in a consistent direction for a <a href=""../../../../The_Asset_Editors/Object_Properties/Gesture_Events.htm"">Rotate Start Gesture</a> to be triggered. The time is measured in seconds and has a default value of 0.16s."
gesture_rotate_time.htm+html.body.p:92-3,"<b>IMPORTANT!</b> Currently for a 60fps game you can only set this to a maximum of one second otherwise no rotations will be detected. This will increase for a lower framrate, for example a 30fps game can have a maximum time of 2 seconds."
gesture_rotate_time.htm+html.body.h4:94-3,Syntax:
gesture_rotate_time.htm+html.body.p:95-3,{ANY_CODE} gesture_rotate_time();
gesture_rotate_time.htm+html.body.h4:97-3,Returns:
gesture_rotate_time.htm+html.body.p:98-3,Real (inches)
gesture_rotate_time.htm+html.body.h4:100-3,Example:
gesture_rotate_time.htm+html.body.p:101-3,{ANY_CODE} if gesture_get_rotate_time() != 0.1<br /> {nbsp_x4}{ <br /> {nbsp_x4}gesture_rotate_time(0.1); <br /> {nbsp_x4}}
gesture_rotate_time.htm+html.body.p:105-3,The above code checks to see if the rotate time for gestures is set to 0.1 seconds and if it is not it sets it to that value.
gesture_rotate_time.htm+html.body.div.div.div.div:112-9,"Back: <a href=""Gesture_Input.htm"">Gesture Input</a>"
gesture_rotate_time.htm+html.body.div.div.div.div:113-9,"Next: <a href=""gesture_rotate_angle.htm"">gesture_rotate_angle</a>"
gesture_rotate_time.htm+html.body.p:125-1,{SEARCH_RESULT} Reference page for gesture_rotate_time
