json_encode.htm+html.head.title:55-3,json_encode
json_encode.htm+html.head.title:59-3,json_encode
json_encode.htm+html.body.div.div.div[title]:73-7,json_encode
json_encode.htm+html.body.div.div.div:73-7,json_encode
json_encode.htm+html.body.h1:86-3,json_encode
json_encode.htm+html.body.h3:87-3,"<strong>IMPORTANT!</strong> This function - while still valid - has been superceeded by the function <span class=""inline""><a href=""json_stringify.htm"">json_stringify()</a></span>, and we recommend that you only use this function for legacy support."
json_encode.htm+html.body.p:88-3,"JSON (JavaScript Object Notation) is a lightweight data-interchange format which is easy for to read and write, for both people and machines. It is built on two basic structures:"
json_encode.htm+html.body.ul.li:90-5,"A collection of name/value pairs, called a <a href=""../../Data_Structures/DS_Maps/DS_Maps.htm""><tt>DS Map</tt></a> in GameMaker Studio 2 but also known as a ""dictionary"" or ""object"" in other programming languages."
json_encode.htm+html.body.ul.li:91-5,"An ordered list of values, called a <a href=""../../Data_Structures/DS_Lists/DS_Lists.htm""><tt>DS </tt><tt>List</tt></a> in GameMaker Studio 2 but this can also be called an ""array"" or ""sequence"" in other programming languages."
json_encode.htm+html.body.p:93-3,"<tt>json_encode()</tt> takes a DS map or array that you have previously created and encodes it as a JSON string which you can then use as (for example) part of an <a href=""../../Asynchronous_Functions/HTTP/http_post_string.htm""><tt>http_post_string()</tt></a> call, or - so it can be stored externally - it can be written to a file. If using an array as the top level structure, then the array can only contain valid values or other arrays, and <em>not</em> data structures. For that you should use the appropriate DS functions."
json_encode.htm+html.body.p:95-3,"<strong>IMPORTANT!</strong> JSON is agnostic about numbers. In any programming language, there can be a variety of number types of various capacities and complements, fixed or floating, binary or decimal. That can make interchange between different programming languages difficult. JSON instead offers only the representation of numbers that humans use: a sequence of digits. All programming languages know how to make sense of digit sequences even if they disagree on internal representations. For more information see the <a href=""http://www{-dot-}ecma-international{-dot-}org/publications/standards/Ecma-404.htm"">ECMA JSON Standard</a>."
json_encode.htm+html.body.p:98-3,"Note that care should be taken when writing JSON to an ini file, as the ini specifications can cause issues when using quotes and escape characters. See the function <a href=""../Ini_Files/ini_write_string.htm""><tt>ini_write_string()</tt></a> for more information. Also note that if you encode an int64 to JSON it will write it as an <i>int</i> if it is in the valid range for an int32, as a <i>double</i> if it can do so without losing precision or (if neither of those cases is applicable) as a <i>string</i> with an identifier ""<tt>@i64@</tt>"" before it and ""<tt>$i64$</tt>"" after it. When you come to decode the JSON to a map again GameMaker Studio 2 will pick these identifiers up and re-convert the value to an int64. This does mean that if the JSON is intended for a server or some other non-GameMaker target, these values will not be appropriate and so should be avoided."
json_encode.htm+html.body.p:101-3,"<b>NOTE</b>: The hierarchical functionality of JSON is available through special DS map and DS list functions (for example <span class=""inline""><a href=""../../Data_Structures/DS_Maps/ds_map_add_list.htm"" style=""font-size: 14px"">ds_map_add_list()</a></span> or <span class=""inline""><a href=""../../Data_Structures/DS_Lists/ds_list_mark_as_map.htm"" style=""font-size: 14px"">ds_list_mark_as_map()</a></span>), so you are able to encode sub-lists and maps."
json_encode.htm+html.body.h4:104-3,Syntax:
json_encode.htm+html.body.p:105-3,json_encode(map)
json_encode.htm+html.body.table.tbody.tr.th:109-9,Argument
json_encode.htm+html.body.table.tbody.tr.th:110-9,Description
json_encode.htm+html.body.table.tbody.tr.td:113-9,map
json_encode.htm+html.body.table.tbody.tr.td:114-9,a DS map with the information to encode (or an array)
json_encode.htm+html.body.h4:119-3,Returns:
json_encode.htm+html.body.p:120-3,string
json_encode.htm+html.body.h4:122-3,Example:
json_encode.htm+html.body.p:123-3,"{ANY_CODE} var hiscore_map, i, str;<br /> hiscore_map = ds_map_create();<br /> for (i = 0; i &lt; 10; i ++;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}ds_map_add(hiscore_map, name[i], score[i]);<br /> {nbsp_x4}} <br /> str = json_encode(hiscore_map);<br /> get[0] = http_post_string(""http://www.angusgames.com/game?game_id="" + string(global.game_id), str)<br /> ds_map_destroy(hiscore_map);"
json_encode.htm+html.body.p:127-3,"The above code creates a DS map and then loops through the name and score arrays, adding each key/value pair to the new map. Next, this map is encoded using <tt>json_encode()</tt> and stored as a string in the variable ""str"". This string is then sent to a web server using <tt>http_post_string()</tt> and the DS map is destroyed to prevent a memory leak as it is no-longer needed."
json_encode.htm+html.body.div.div.div.div:135-9,"Back: <a href=""Encoding_And_Hashing.htm"">File Encoding</a>"
json_encode.htm+html.body.div.div.div.div:136-9,"Next: <a href=""json_decode.htm"">json_decode</a>"
json_encode.htm+html.body.p:148-1,{SEARCH_RESULT} Reference page for json_encode
