ini_open.htm+html.head.title:55-3,ini_open
ini_open.htm+html.head.title:59-3,ini_open
ini_open.htm+html.body.div.div.div[title]:73-7,ini_open
ini_open.htm+html.body.div.div.div:73-7,ini_open
ini_open.htm+html.body.h1:86-3,ini_open
ini_open.htm+html.body.p:87-3,"This opens an ini_file for reading and/writing. If the ini_file does not exist at the location you are checking, GameMaker Studio 2 may create one, but only if you write data to it. If you have only read information from the ini file, then the default values for the read function will be returned, but the ini file will <i>not</i> actually be created."
ini_open.htm+html.body.p:89-3,"Please note that you can only have <b>one</b> ini file open at any one time and remember to use <a href=""ini_close.htm""><tt>ini_close()</tt></a> once you're finished reading/writing from the .ini file as the information is not actually stored to disk until then (it is also stored in memory until the file is closed)."
ini_open.htm+html.body.p:91-3,"<b>WARNING!</b> This function may not work as you expect due to GameMaker Studio 2 being sandboxed! Please see the section on the <a href=""../../../../Additional_Information/The_File_System.htm"">File System</a> for more information."
ini_open.htm+html.body.h4:93-3,Syntax:
ini_open.htm+html.body.p:94-3,ini_open(name);
ini_open.htm+html.body.table.tbody.tr.th:98-9,Argument
ini_open.htm+html.body.table.tbody.tr.th:99-9,Description
ini_open.htm+html.body.table.tbody.tr.td:102-9,name
ini_open.htm+html.body.table.tbody.tr.td:103-9,The filename for the .ini file.
ini_open.htm+html.body.h4:108-3,Returns:
ini_open.htm+html.body.p:109-3,N/A
ini_open.htm+html.body.h4:111-3,Example:
ini_open.htm+html.body.p:112-3,"{ANY_CODE} ini_open(""Settings/savedata.ini"");<br /> score = ini_read_real(""save1"", ""score"", 0);<br /> ini_close();"
ini_open.htm+html.body.p:114-3,"This will open 'savedata.ini' and read the score value under the section ""save1"" with the key ""score"" in it, then close the .ini again. Should there be no value under ""save1"", ""score"" or there is no ""savedata.ini"" file present, score will be set to 0 (the default value). Note that the ini file has been placed in the sub-directory ""Settings"", which is the folder that holds the ini file in the Asset Browser included files."
ini_open.htm+html.body.div.div.div.div:122-9,"Back: <a href=""Ini_Files.htm"">Ini Files</a>"
ini_open.htm+html.body.div.div.div.div:123-9,"Next: <a href=""ini_close.htm"">ini_close</a>"
ini_open.htm+html.body.p:135-1,{SEARCH_RESULT} Reference page for ini_open
