time	ver	lines	tr_lines	pct_lines	words	tr_words	pct_words	add_lines	add_pct_lines	add_words	add_pct_words
2022/02/13
2021/02/13	231	82057	12926	15.752	778237	98554	12.664	18	0.022	548	0.071
2021/02/12	231	82057	12908	15.731	778237	98006	12.593	11	0.013	144	0.018
2021/02/11	231	82057	12897	15.717	778237	97862	12.575	102	0.125	1561	0.2
2021/02/10	231	82057	12795	15.593	778237	96301	12.374	92	0.112	1420	0.183
2021/02/09	231	82057	12703	15.481	778237	94881	12.192	155	0.189	1787	0.229
2021/02/08	231	82057	12548	15.292	778237	93094	11.962	155	0.188	2207	0.285
2021/02/07	231	82057	12393	15.103	778237	90887	11.679	31	0.038	778	0.1
2021/02/06	231	82057	12362	15.065	778237	90109	11.579	50	0.061	634	0.081
2021/02/05	231	82057	12312	15.004	778237	89475	11.497	6	0.007	76	0.01
2021/02/04	231	82057	12306	14.997	778237	89399	11.487	29	0.035	1064	0.137
2021/02/03	231	82057	12277	14.962	778237	88335	11.351	27	0.033	1274	0.164
2021/02/02	231	82057	12250	14.929	778237	87061	11.187	20	0.024	513	0.066
2021/02/01	231	82057	12230	14.904	778237	86548	11.121	54	0.066	1356	0.174
2021/01/29	231	82057	12176	14.838	778237	85192	10.947	73	0.089	1748	0.225
2021/01/28	231	82057	12103	14.750	778237	83444	10.722	44	0.054	1386	0.178
2021/01/27	231	82057	12059	14.696	778237	82058	10.544	58	0.071	1493	0.192
2021/01/26	231	82057	12001	14.625	778237	80565	10.352	46	0.056	1564	0.202
2021/01/25	231	82057	11955	14.569	778237	79001	10.151	38	0.047	1455	0.187
2021/01/23	231	82057	11917	14.523	778237	77546	9.964	0	0.0	0	0.0
2021/01/22	231	82057	11917	14.523	778237	77546	9.964	42	0.051	1607	0.206
2021/01/21	231	82057	11875	14.472	778237	75939	9.758	64	0.078	1632	0.21
2021/01/20	231	82057	11811	14.394	778237	74307	9.548	52	0.063	1422	0.183
2021/01/19	231	82057	11759	14.330	778237	72885	9.365	1	0.001	17	0.002
2021/01/18	231	82057	11758	14.329	778237	72868	9.363	1	0.001	17	0.002
2021/01/16	231	82057	11757	14.328	778237	72851	9.361	59	0.071	1297	0.167
2021/01/15	231	82057	11698	14.256	778237	71554	9.194	71	0.086	1123	0.144
2021/01/14	231	82057	11627	14.169	778237	70431	9.050	8	0.01	260	0.033
2021/01/13	231	82057	11619	14.160	778237	70171	9.017	2	0.002	158	0.02
2021/01/12	231	82057	11617	14.157	778237	70013	8.996	3	0.004	54	0.007
2021/01/11	231	82057	11614	14.154	778237	69959	8.989	15	0.018	937	0.12
2021/01/09	231	82057	11599	14.135	778237	69022	8.869	0	0.0	0	0.0
2021/01/08	231	82541	11791	14.285	779227	70319	9.024	68	0.082	1822	0.233
2021/01/07	231	82541	11723	14.203	779227	68497	8.790	116	0.141	1611	0.207
2021/01/06	231	82541	11607	14.062	779227	66886	8.584	73	0.088	1577	0.202
2021/01/05	231	82541	11534	13.974	779227	65309	8.381	71	0.086	1419	0.182
2021/01/04	231	82541	11463	13.888	779227	63890	8.199	26	0.032	1121	0.144
2021/01/02	231	82541	11437	13.856	779227	62769	8.055	38	0.045	1255	0.161
2020/12/31	231	82541	11399	13.810	779227	61514	7.894	5	0.006	356	0.046
2020/12/30	231	82541	11394	13.804	779227	61158	7.849	5	0.006	316	0.041
2020/12/29	231	82541	11389	13.798	779227	60842	7.808	63	0.076	1352	0.174
2020/12/28	231	82541	11326	13.722	779227	59490	7.634	10	0.012	340	0.044
2020/12/25	231	81542	11128	13.647	776942	58705	7.556	115	0.141	1797	0.232
2020/12/24	231	81542	11013	13.506	776942	56908	7.325	37	0.045	923	0.119
2020/12/23	231	81542	10976	13.461	776942	55985	7.206	6	0.007	80	0.01
2020/12/18	231	81542	10970	13.453	776942	55905	7.196	1	0.001	2	0.0
2020/12/17	231	81542	10969	13.452	776942	55903	7.195	23	0.028	752	0.096
2020/12/16	231	81542	10946	13.424	776942	55151	7.098	51	0.063	1035	0.134
2020/12/14	231	81530	10973	13.459	776795	54185	6.975	2	0.002	6	0.0
2020/12/11	231	81530	10971	13.456	776795	54179	6.975	15	0.018	348	0.045
2020/12/10	231	81530	10956	13.438	776795	53831	6.930	48	0.059	1305	0.168
2020/12/09	231	81530	10908	13.379	776795	52526	6.762	32	0.039	975	0.126
2020/12/08	231	81530	10876	13.34	776795	51551	6.636	20	0.025	869	0.112
2020/12/07	231	81530	10856	13.315	776795	50682	6.525	32	0.039	745	0.096
2020/12/06	231	81530	10824	13.276	776795	49937	6.429	0	0.0	0	0.0
2020/12/05	231	81530	10824	13.276	776795	49937	6.429	24	0.029	419	0.053
2020/12/04	231	81530	10800	13.247	776795	49518	6.375	46	0.057	1969	0.254
2020/12/03	231	81530	10754	13.19	776795	47549	6.121	5	0.006	5	0.001
2020/12/02	231	81530	10749	13.184	776795	47544	6.121	38	0.046	1139	0.146
2020/12/01	231	81530	10711	13.137	776795	46405	5.974	61	0.075	1615	0.208
2020/11/30	231	81530	10650	13.063	776795	44790	5.766	51	0.063	1245	0.16
2020/11/29	231	81530	10599	13	776795	43545	5.606	24	0.029	209	0.028
2020/11/28	231	81530	10575	12.971	776795	43336	5.579	4	0.005	20	0.003
