Audio_Groups.htm+html.head.title:55-3,Audio Groups,オーディオグループ
Audio_Groups.htm+html.head.title:59-3,Audio Groups,オーディオグループ
Audio_Groups.htm+html.body.div.div.div[title]:73-7,Audio Groups,オーディオグループ
Audio_Groups.htm+html.body.div.div.div:73-7,Audio Groups,オーディオグループ
Audio_Groups.htm+html.body.h1:86-3,Audio Groups,オーディオグループ
Audio_Groups.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Audio Group Editor,{IMG_TXT} オーディオグループエディタ
Audio_Groups.htm+html.body.p:87-3,"The <strong>Audio Group Manager</strong> is available from the <a href=""../IDE_Navigation/Menus/The_Tools_Menu.htm"">Tools Menu</a> in the IDE. Here you can <em>add</em>, <em>delete </em>and <em>rename </em><strong>Audio Groups</strong>, as well as set their platform export options. GameMaker Studio 2 permits you to assign each of the audio resources (sound effects and music) to different audio groups to try and optimise the number of sounds that are being played at any one time, as well as give you further control over what platforms they are exported to.","<strong>オーディオグループマネージャー</strong>はIDEの<a href=""../IDE_Navigation/Menus/The_Tools_Menu.htm"">ツールメニュー</a>から呼び出すことができます。ここでは<strong>オーディオグループ</strong>の<em>追加</em>、<em>削除</em>、<em>名前変更</em>ができ、出力するプラットフォームを設定できます。GameMaker Studio 2ではオーディオリソース（効果音およびBGM）にさまざまなオーディオグループを割り当てることで、同時に再生されるサウンドの数を最適化したり、プラットフォームごとにより詳細な制御を可能とします。"
Audio_Groups.htm+html.body.p:90-3,"To define an audio group you need to click <img_tag=LMB_Icon:0> on the <strong>Add New</strong> button which will create new group that you can then name. To change group, click <img_tag=LMB_Icon:0> on the drop-down menu and select the one you wish to edit.",オーディオグループを定義するには、<strong>新規追加</strong>ボタンをクリック<img_tag=LMB_Icon:0>して新しいグループを作成し、名前を入力しましょう。グループを切り替えたくなったら、ドロップダウンメニューをクリック<img_tag=LMB_Icon:0>すると編集グループを選択できます。
Audio_Groups.htm+html.body.p:92-3,"<strong>NOTE</strong>: If you select streamed audio for a sound in the <a href=""../The_Asset_Editors/Sounds.htm"">Sound Editor</a>, you will not be able to assign the sound to an Audio Group as streamed sounds are not packaged in the same way as other sounds and you have full control over when they are loaded, played and unloaded using code.","<strong>注意</strong>: <a href=""../The_Asset_Editors/Sounds.htm"">サウンドエディタ</a>からストリーミングオーディオとして指定している場合、オーディオグループを割り当てることはできません。ストリーミングされるサウンドは他のサウンドと同じようにパッケージ化されず、読み込み、再生、読み込み破棄されるタイミングはコードから制御することになります。"
Audio_Groups.htm+html.body.p:94-3,"To add a sound to an audio group, you need to open the <a href=""../The_Asset_Editors/Sounds.htm"">Sound Editor</a> for that sound and then select the group from the option you will find there, or alternatively you can add assets to an audio group via the right mouse button <img_tag=RMB_Icon:0> menu in the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a>. You can select one or more sound assets (or an entire asset group folder) and then use the RMB menu to add the sounds to any group. You can also click the <strong>Add Resource</strong> button at the bottom of the Audio Group Editor to add assets that way.","サウンドをオーディオグループに追加するには、<a href=""../The_Asset_Editors/Sounds.htm"">サウンドエディタ</a>で開いてグループを選ぶか、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>に表示されているサウンドを右クリック<img_tag=RMB_Icon:0>し、オーディオグループに追加しましょう。サウンドアセットは複数選択し（またはグループフォルダを選択）、右クリックメニューからオーディオグループに追加することも可能です。また、オーディオグループエディタの一番下にある<strong>リソース追加</strong>ボタンをクリックしてもアセットを追加できます。"
Audio_Groups.htm+html.body.p:97-3,"Once you have a sound added to a custom audio group then you can use this window to selectively choose which platform to export that sound to. It may be that by default you have all your sounds at the highest quality, but that for HTML5 (for example) you want to use a lower quality sound file set to use less memory. In that case you add the lower quality files to GameMaker Studio 2 and then assign them to a new audio group. You would then select that audio group from the drop down menu and set it to export <em>only </em>to HTML5, and remove the HTML5 export from the higher quality audio group export options. It is important to note that you cannot change the export options for the ""default"" audio group and that it will always be exported to all available platforms when you build a final game package.",サウンドを作成したオーディオグループに追加すると、出力するプラットフォームを指定できるようになります。どのサウンドも標準では高品質に設定されていることでしょうが、HTML5などでは低品質にしてメモリを削減しなくてはならないかもしれません。そのようなときは低品質のファイルを追加し、別のオーディオグループに割り当ててみてください。それからオーディオグループエディタを開き、そのグループを選んでHTML5に<em>のみ</em>出力するよう設定し、さらに高品質のオーディオグループからHTML5を除外するといいでしょう。注意点として、デフォルト（default）のオーディオグループは出力設定を変更できないため、ゲームの最終パッケージビルド時にはすべてのプラットフォームにアセットを出力します。
