Included_Files.htm+html.head.title:55-3,Included Files,インクルードファイル
Included_Files.htm+html.head.title:59-3,Included Files,インクルードファイル
Included_Files.htm+html.body.div.div.div[title]:74-7,Included Files,インクルードファイル
Included_Files.htm+html.body.div.div.div:74-7,Included Files,インクルードファイル
Included_Files.htm+html.body.h1:87-3,Included Files,インクルードファイル
Included_Files.htm+html.body.p:88-3,"GameMaker Studio 2 is not just limited to the assets that you create within the program, since you can add files to the project as <strong>Included Files</strong> so that they can then be accessed as the game is running. What files you add will depend on what you want to do, but things like default <span class=""inline"">*.ini</span> files, sprites and background images, or language text files are commonly used as included files.","GameMaker Studio 2にはプログラム内から作成したアセットだけではなく、ゲーム実行中に利用できる<strong>インクルードファイル</strong>を追加できます。どのようなファイルも追加できますが、標準の<span class=""inline"">*.ini</span>ファイル、スプライト、背景画像、言語テキストファイルといったものがよく利用されています。"
Included_Files.htm+html.body.p:90-3,To add these things to your project there is an editor window that can be opened from the Asset Browser <b>Extras</b> menu <img_tag=Extras_Menu_Icon:0>:,インクルードファイルは、アセットブラウザの<b>追加メニュー</b><img_tag=Extras_Menu_Icon:0>からエディタを開いて追加します。
Included_Files.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Open The Included Files Editor,{IMG_TXT} インクルードファイルエディタの展開
Included_Files.htm+html.body.p:91-3,Selecting this will open the Included Files Editor:,メニューの項目を選ぶと、このようにインクルードファイルエディタが開きます。
Included_Files.htm+html.body.p.img[alt]:92-6,{IMG_TXT} The Included Files Editor,{IMG_TXT} インクルードファイルエディタ
Included_Files.htm+html.body.p:92-3,"To add a file to your resources you simply use the <strong>Open In Explorer</strong> button, which will open a file explorer on the datafiles folder for your project. You can then add directories and files as required and GameMaker Studio 2 will update the indluded files editor with these automatically.",リソースに含めるファイルを追加するには、<strong>エクスプローラーで開く</strong>ボタンをクリックしましょう。するとファイルエクスプローラーによってプロジェクトのdatafilesフォルダが開かれます。あとは必要なディレクトリやファイルを追加すれば、エディタが自動的に更新されるでしょう。
Included_Files.htm+html.body.p.img[alt]:94-6,{IMG_TXT} Included Files Example,{IMG_TXT} インクルードファイルの例
Included_Files.htm+html.body.p:94-3,"Note that all editing (renaming, organisation, etc...) <em>should be done from the default file explorer</em>.",なお、名前の変更、ロケーションの整理といった編集はすべて<em>標準のファイルエクスプローラー上で行わなくてはなりません</em>。
Included_Files.htm+html.body.p:95-3,"Once you have added files to the editor, you can double-click <img_tag=LMB_Icon:0> on them to open up the <strong>File Properties</strong>:",エディタにファイルが追加されると、ダブルクリック<img_tag=LMB_Icon:0>して<strong>ファイルプロパティ</strong>を開けるようになります。
Included_Files.htm+html.body.p.img[alt]:96-6,{IMG_TXT} Included Files Properties,{IMG_TXT} インクルードファイルのプロパティ
Included_Files.htm+html.body.p:96-3,"This window shows the name of the file, its size on disk, and also the platforms that it should be exported to when you compile/test your game. You have buttons to select ""All"" or ""None"", or you can go down the list and check/uncheck the tragets that you want the file to be exported to, as required.",このウィンドウにはファイルの名前、ディスク上でのサイズ、ゲームのコンパイル/テスト時にエクスポートされるプラットフォーム一覧が表示されます。「すべて」または「無効」ボタンをクリックするか、一覧のチェックを切り替えることで出力するプラットフォームを切り替えることができます。
Included_Files.htm+html.body.p:98-3,"For further information on how included files are stored with your game and how they are accessed please see the section of the manual dedicated to the <a href=""../Additional_Information/The_File_System.htm"">File System</a>.","インクルードファイルがゲームにどう保存され、どのように利用できるかについては、<a href=""../Additional_Information/The_File_System.htm"">ファイルシステム</a>のページで詳しく解説されています。"
Included_Files.htm+html.body.p:99-3,"<strong>IMPORTANT!</strong> When including sound files, you should ensure that the files avoid names that clash with streaming sound assets. For example, a sound asset called ""main_music"" and an included file called ""main_music.ogg"" is going to be undefined when the project runs. This is becuase streamed files are also stored outside of the main project bundle, so care must be taken in these situations.","<strong>重要！</strong>サウンドファイルを追加する場合、各ストリーミングサウンドアセットと異なる名前にしないといけません。たとえば""main_music""というサウンドアセットがあるのに""main_music.ogg""というインクルードファイルが追加されると、プロジェクト実行時に未定義となります。これはストリーミングファイルもメインプロジェクトのバンドル外に保存されるためです。サウンドファイルを追加する際はご注意ください。"
Included_Files.htm+html.body.p:101-3,"It is worth noting that you can include <span class=""inline"">DLL</span> (on Windows) or <span class=""inline"">DyLib</span> (on macOS) files as included files and then create your own custom functions to deal with them using <a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/external_define.htm""><span class=""inline"">external_define()</span></a>. These can then be used calling the <a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/external_call.htm""><span class=""inline"">external_call()</span></a> function.","インクルードファイルには<span class=""inline"">DLL</span>（Windows上）や<span class=""inline"">DyLib</span>（macOS上）を含めることも可能で、<a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/external_define.htm""><span class=""inline"">external_define()</span></a>によって独自の関数を作成できます。こうして作成した関数は<a href=""../GameMaker_Language/GML_Reference/OS_And_Compiler/external_call.htm""><span class=""inline"">external_call()</span></a>によって呼び出せます。"
Included_Files.htm+html.body.p:103-3,"<strong>WARNING!</strong> Using included files to create extra functionality in this way is incompatible with the <a href=""../The_Asset_Editors/Extensions.htm"">Extension</a> system, in so much as you cannot use use the <span style=""font-size:1px;""><span class=""inline"" style=""font-size: 14px"">external_*()</span></span> functions with files added in an extension, since extensions already have a method for adding constants and functions.","<strong>警告！</strong>インクルードファイルから関数を作成した場合、<a href=""../The_Asset_Editors/Extensions.htm"">拡張機能</a>システムとは互換性がなくなります。拡張機能には定数や関数を追加するためのメソッドがすでに用意されているため、拡張機能に追加したファイルを<span style=""font-size:1px;""><span class=""inline"" style=""font-size: 14px"">external_*()</span></span>関数で扱うことはできません。"
Included_Files.htm+html.body.div.div.div.div:111-9,"Back: <a href=""Game_Settings.htm"">Game Settings</a>","戻る: <a href=""Game_Settings.htm"">ゲーム設定</a>"
Included_Files.htm+html.body.div.div.div.div:112-9,"Next: <a href=""Audio_Groups.htm"">Audio Groups</a>","次へ: <a href=""Audio_Groups.htm"">オーディオグループ</a>"
Included_Files.htm+html.body.p:124-1,{SEARCH_RESULT} Page that explains how to use Included Files,{SEARCH_RESULT} インクルードファイルの使い方についての解説ページ
Included_Files.htm+html.body.p:125-5,{INDEX_KEYWORD} Included Files,{INDEX_KEYWORD} インクルードファイル
Included_Files.htm.img_tag+Extras_Menu_Icon:0,{IMG_TXT} Extras Menu Icon,{IMG_TXT} 追加メニューアイコン
Included_Files.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
