iOS.htm+html.head.title:55-3,iOS
iOS.htm+html.head.title:59-3,iOS
iOS.htm+html.body.div.div.div[title]:73-7,iOS
iOS.htm+html.body.div.div.div:73-7,iOS
iOS.htm+html.body.h1:86-3,iOS Game Options
iOS.htm+html.body.p:87-3,This section outlines the different options available to you that control how your iOS game projects will be compiled. The different sections are:
iOS.htm+html.body.h2:89-3,General
iOS.htm+html.body.p.img[alt]:90-6,{IMG_TXT} iOS General Options
iOS.htm+html.body.p:90-3,The first part of the General section covers <strong>Build Settings</strong> for your game. To start with you set the <strong>Orientations </strong>that your game can be run on for the best user experience. The available options are:
iOS.htm+html.body.ul.li:93-5,Portrait
iOS.htm+html.body.ul.li:94-5,Flipped Portrait
iOS.htm+html.body.ul.li:95-5,Landscape
iOS.htm+html.body.ul.li:96-5,Flipped Landscape
iOS.htm+html.body.p:98-3,"You can then go to the <strong>Device Support</strong> section, with the following options available for setting what type of device to target:"
iOS.htm+html.body.ul.li:100-5,<strong>iPhone or iPod Touch</strong>: iPhone 6 and above or iPod Touch devices
iOS.htm+html.body.ul.li:101-5,<strong>iPad</strong>: iPad devices
iOS.htm+html.body.ul.li:102-5,<strong>Both</strong>: Both iPhone/iPod and iPad
iOS.htm+html.body.p:104-3,"The second thing to do is fill in the <strong>Product Information</strong> about your game, including its <strong>Display Name</strong>, its <strong>Bundle ID</strong> and the <strong>Version</strong> info. Note that the Bundle ID must be in the correct reverse URL format for the final build of the game to work correctly, EG: <span class=""inline"">com.[Company].[GameName]</span>. Here you can also give the <strong>Team Identifier</strong> that you wish to use for signing the final application that GameMaker Studio 2 creates for you. Setting it here will override the Team ID that you have supplied in the <a href=""../../Setting_Up_And_Version_Information/Platform_Preferences/iOS.htm"">iOS Preferences</a>."
iOS.htm+html.body.p:107-3,"Next, you can check or un-check the option to <strong>Defer Home Indicator Output</strong>. When this is checked, the home bar will always be shown at low a alpha, and the first swipe wakes the bar and the second swipe takes you home. If the option is un-checked, then the bar is not shown in-game, but the first edge swipe will take you home. Default is un-checked."
iOS.htm+html.body.p:109-3,"Finally, you have the option to generate a <strong>Podfile</strong> and a <strong>Podfile.lock</strong>. These files are required if you are adding CocoaPods to an <a href=""../../The_Asset_Editors/Extension_Creation/iOS_Extensions.htm"">iOS extension</a> using the <a href=""../../The_Asset_Editors/Extensions.htm"">Extension Editor</a>. The files contain specific macros required by GameMaker Studio 2 to setup any listed CocaoPods when building your game. Clicking the buttons will create the files with the macros pre-generated, and also open a file explorer on the location of the files, should you wish to manual edit them. There is also a button that will take you to the following guide:"
iOS.htm+html.body.ul.li:112-5,iOS and tvOS: Using Cocoa Pods
iOS.htm+html.body.h2:115-3,Graphics
iOS.htm+html.body.p.img[alt]:116-6,{IMG_TXT} iOS Graphics Options
iOS.htm+html.body.p:116-3,"Here you can change the following details related to how your game will be displayed, with the following options available:"
