Non-Bitmap_Sprites.htm+html.head.title:55-3,Non-Bitmap Sprites,非ビットマップスプライト
Non-Bitmap_Sprites.htm+html.head.title:60-3,Non-Bitmap Sprites,非ビットマップスプライト
Non-Bitmap_Sprites.htm+html.body.div.div.div[title]:74-7,Non-Bitmap Sprites,非ビットマップスプライト
Non-Bitmap_Sprites.htm+html.body.div.div.div:74-7,Non-Bitmap Sprites,非ビットマップスプライト
Non-Bitmap_Sprites.htm+html.body.h1:86-3,Non-Bitmap Sprites,非ビットマップスプライト
Non-Bitmap_Sprites.htm+html.body.p:87-3,"GameMaker Studio 2 has support for non-<a class=""tooltip"" title=""TITLE_KEY::bitmap"">bitmap</a> sprites in the form of <a class=""tooltip"" title=""TITLE_KEY::vector"">vector</a> <span class=""inline"">SWF </span>files or <strong>Spine Skeletal Animation</strong> files. Both these formats have their pros and cons, and the two sections below explain how to import them into the <a href=""../../The_Asset_Editors/Sprites.htm"">Sprite Editor</a> as well as a bit of information about how they are drawn.","GameMaker Studio 2は、<a class=""tooltip"" title=""TITLE_KEY::vector"">ベクター</a>からなる<span class=""inline"">SWF</span>形式ファイル、<strong>Spineスケルタルアニメーション</strong>形式ファイルといった、非<a class=""tooltip"" title=""TITLE_KEY::bitmap"">ビットマップ</a>スプライトにも対応しています。どちらの形式にも長所と短所がありますが、ここでは<a href=""../../The_Asset_Editors/Sprites.htm"">スプライトエディタ</a>にインポートする方法を説明しながら、描画の流れについて軽く触れていきましょう。"
Non-Bitmap_Sprites.htm+html.body.h2:89-3,Skeletal Animation Sprites (Spine),スケルタルアニメーション・スプライト (Spine)
Non-Bitmap_Sprites.htm+html.body.p:90-3,"A sprite made using skeletal animation, is one in which a base ""skeleton"" has been created and animated using key-frames to move the component parts of the skeleton over time. This skeleton is then skinned from a <a class=""tooltip"" title=""TITLE_KEY::texture_atlas"">texture atlas</a> and the resulting animation exported in one of many file types. GameMaker Studio 2 permits you to import this type of sprite as long as it has been exported as a <span class=""inline"">*.json</span> format file and has the correctly associated texture atlas file (<span class=""inline"">*.atlas</span>) and image file (as a <span class=""inline"">*.png</span>) <em>in the same directory</em>.","スケルタルアニメーション方式のスプライトとは、骨格となる「スケルトン」を作成し、キーフレームによってその構成パーツを時間とともにアニメーションさせるというものです。スケルトンのスキニング（画像との動きの関連付け）は<a class=""tooltip"" title=""TITLE_KEY::texture_atlas"">テクスチャアトラス</a>から行われるため、1つのアニメーションは複数種類のファイルに出力されます。GameMaker Studio 2にスプライトとしてインポートするには、<span class=""inline"">*.json</span>形式のファイルとして出力され、そのファイルが<em>同じディレクトリ内にある</em>テクスチャアトラスファイル（<span class=""inline"">*.atlas</span>）、画像ファイル（<span class=""inline"">*.png</span>など）と正しく関連付けされている必要があります。"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Spine UI,{IMG_TXT} SpineのUI
Non-Bitmap_Sprites.htm+html.body.p:92-3,"Currently GameMaker Studio 2 can <strong>only import vector images from JSON format files made by the program <a href=""http://esotericsoftware{-dot-}com/"">Spine</a></strong>, however the way to import them into the program is almost identical to that for adding a normal bitmap image. To add a skeletal animation, you need to create a new sprite, which will bring up the standard <strong>Load Sprite</strong> dialogue, only here you need to make sure that you have selected <span class=""inline"">*.json</span> from the file filter at the bottom:","現時点では、<strong><a href=""http://esotericsoftware.com/"">Spine</a>によって作成されたJSON形式ファイルのベクター画像のみインポート可能</strong>です。インポートするまでの手順は普通のビットマップ画像とほとんど変わりません。スケルタルアニメーションを追加するにはまず新しいスプライトを作成し、<strong>スプライト読み込み</strong>ダイアログが開いたら右下にある表示対象ファイルを<span class=""inline"">*.json</span>に切り替えてください。"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:95-6,{IMG_TXT} Import Spine Sprite,{IMG_TXT} Spineスプライトのインポート
Non-Bitmap_Sprites.htm+html.body.p:96-3,"Hitting the ""load"" button will add the skeletal animation to the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> as a sprite, with a progress bar being shown as the file is processed. Note that, depending on the complexity of the file, this may take a moment or two. When processing has finished you'll be returned to the sprite properties dialogue, which will now look like this:","あとは「開く」ボタンを押せば、スプライトとして<a href=""../../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>に追加されます。読み込み中はプログレスバーが表示されますが、複雑なファイルのため少し時間がかかるかもしれません。読み込みが終わると、このようにスプライトプロパティのダイアログに戻ります。"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:98-6,{IMG_TXT} Spine SPrite In The Sprite Editor,{IMG_TXT} スプライトエディタで開かれたSpineスプライト
Non-Bitmap_Sprites.htm+html.body.p:98-3,"Once you have imported the animation, you can set the collision properties, but note that you are limited here to simply using precise collisions or bounding box collisions, and that the collision data for a skeletal animation is explicitly taken from the data provided. GameMaker Studio 2 does not generate any collision mask if the data is missing from imported file, meaning you simply won't get working collisions if the masks are not set correctly in the program used to create the image being imported.",アニメーションのインポート後はコリジョンプロパティの設定を行えますが、利用できるのは精密（Precise ）または境界ボックス（Bounding Box）のコリジョンのみであり、スケルタルアニメーションのコリジョンデータは与えられたデータから明示的に取得されます。インポートしたファイルにデータがなければコリジョンマスクは生成されないため、画像を作成したプログラム側で正しくマスクが設定されていないとコリジョンは機能しません。
Non-Bitmap_Sprites.htm+html.body.p:101-3,"<strong>NOTE</strong>: Due to the complexity of skeletal animations, the preview image shown in the sprite editor is not intended to accurately represent your animation, but rather give you a simple image that represents the animation for visualising in the room editor.",<strong>注意</strong>: スケルタルアニメーションは複雑なため、スプライトエディタに表示されるプレビュー画像ではアニメーションを正確に再現せず、ルームエディタに表示されるものと同じ画像を表示します。
Non-Bitmap_Sprites.htm+html.body.p:103-3,"Unlike bitmap sprites, the imported skeletal animation sprite <strong>cannot be modified in the editor</strong> in any way, but there are a number of functions available within the GameMaker Language (GML) which can be used to change skins, set properties, and control other aspects of the animation. You also cannot set any of the texture options for the sprite, as GameMaker will use the supplied texture atlas that was made by the program that generated the sprite.",ビットマップスプライトと異なり、インポートしたスケルタルアニメーション・スプライトは<strong>エディタでは編集できない</strong>ものの、GameMaker Language（GML）の一部関数によってスキンの変更、プロパティの設定に加えて、アニメーションのその他の要素をコントロールできます。テクスチャオプションも設定不可となりますが、これはスプライトを生成したプログラムによって構築されたテクスチャアトラスが利用されるためです。
Non-Bitmap_Sprites.htm+html.body.p:105-3,"There are a number of things that you should be aware of when importing skeleton animation sprites, with the most important being that some of the sprite drawing and sprite management functions are not supported for technical reasons, particularly those draw functions that draw only part of a sprite, or that ""skew"" the position in some way (see the individual <a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/Sprites_And_Tiles.htm""><span class=""inline"">draw_sprite_*()</span></a> functions for exact details of which). However the basic sprite drawing functions are fully supported as are the built in sprite variables. Apart from these functions and variables, you can also set and change animation properties using special <span class=""inline"">skeleton_*</span> functions, which are listed and explained in the reference section on <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Skeletal_Animation/Skeletal_Animation.htm"">Skeletal Animations</a>.","スケルタルアニメーション・スプライトをインポートするにあたって注意しておきたい点はいくつかありますが、もっとも重要な点は、一部のスプライト描画、スプライト管理関数が技術的な理由によってサポートされていないということです。具体的にはスプライトの一部だけを描画したり、配置を歪ませる関数が利用できません（正確な詳細については各<a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/Sprites_And_Tiles.htm""><span class=""inline"">draw_sprite_*()</span></a>関数のページを参照してください）。とはいえ基本的なスプライト描画関数、組み込みスプライト変数はすべてサポートされており、さらには専用の<span class=""inline"">skeleton_*</span>関数によってアニメーションのプロパティを変更可能です。この関数グループについては<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Skeletal_Animation/Skeletal_Animation.htm"">スケルタルアニメーション</a>のリファレンスで個別に説明されています。"
Non-Bitmap_Sprites.htm+html.body.h2:110-3,Vector Sprites (SWF)
Non-Bitmap_Sprites.htm+html.body.p:111-3,"Generally all sprites in GameMaker use bitmaps which - while flexible in terms of content - place limitations on both the size and number of frames possible in a sprite before memory usage can become prohibitive. Vector sprites work around these limitations by storing and drawing their contents differently: instead of a grid of pixels, which can become blocky or fuzzy when scaled, they are drawn as triangles using vector maths and these can be scaled up (or down) without losing definition, as illustrated in the image below:"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:114-6,{IMG_TXT} Vector And Bitmap Sprite Comparison
Non-Bitmap_Sprites.htm+html.body.p:114-3,"To help you visualise how this is done, the image below is of the same vector Fireman sprite only now we can see the polygons that are used to make the image within GameMaker Studio 2:"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:116-6,{IMG_TXT} Polygons Of A Vector Sprite
Non-Bitmap_Sprites.htm+html.body.p:116-3,"However, nothing is ever for free when it comes to programming games, and the tradeoff here with vector sprites is that they are more CPU expensive to draw than bitmap sprites and this speed difference increases as the complexity of the animation being imported increases. Also, their memory usage is affected by their visual complexity, unlike bitmap sprites. Baring that in mind, they do make it possible to add large animated graphics in ways that would be impossible using traditional bitmapped sprites."
Non-Bitmap_Sprites.htm+html.body.p:119-3,"On the flipside of the performance equation, because vector sprites only draw the pixels absolutely required (unlike bitmap sprites which also ""draw"" the empty space around the image) they can be cheaper from a GPU perspective. Also, in general vector sprites are much smaller than their bitmap equivalents - for the fireman example above the sizes of the various sprite types are as follows:"
Non-Bitmap_Sprites.htm+html.body.p:121-3,{ANY_CODE} Bitmap at 70x68 = 4x70x68 bytes x 12 frames = 223k<br /> Vector = 54k
Non-Bitmap_Sprites.htm+html.body.p:122-3,If you quadruple the resolution of the sprite:
Non-Bitmap_Sprites.htm+html.body.p:123-3,{ANY_CODE} Bitmap at 280x272 = 4x280x272 bytes x 12 frames = 3570k<br /> Vector = 54k
Non-Bitmap_Sprites.htm+html.body.p:124-3,"So, as you can see, a lot of memory can potentially be saved by using vector sprites, and we still have a lot of potential for future space savings."
Non-Bitmap_Sprites.htm+html.body.p:125-3,"Currently GameMaker Studio 2 has <em>limited </em>support for vector sprites. and can only import vector images from <span class=""inline"">SWF</span> format files. The way of importing them into the program is almost identical to that for adding a normal bitmap image. To add a vector sprite, create a new sprite, which will bring up the standard Load Sprite dialogue, but make sure that you have selected <span class=""inline"">*.swf</span> from the file filter at the bottom."
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:127-6,{IMG_TXT} Import Vector Image
Non-Bitmap_Sprites.htm+html.body.p:127-3,"Hitting the ""load"" button will add the vector image or animation to the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a>, with a progress bar being shown as the file is processed. Note that, depending on the complexity of the file, this can take a while (up to a minute for more complex animations). When processing has finished you'll be returned to the sprite properties dialogue, which will now look like this:"
Non-Bitmap_Sprites.htm+html.body.p.img[alt]:130-6,{IMG_TXT} Disabled Texture Settings
Non-Bitmap_Sprites.htm+html.body.p:130-3,"The sprite editor won't have changed much, but now the <strong>Edit Image</strong> button has been greyed out and can't be clicked since there aren't any bitmaps to edit in this sort of sprite. Secondly, all the texture options have been greyed out too. SWF sprites are maths-based and as such don't usually have textures associated with them, so none of the available options are applicable for this kind of sprite."
Non-Bitmap_Sprites.htm+html.body.p:133-3,"<strong>NOTE</strong>: How the image looks in your chosen preview editor will not be the same as how it looks in your game, nor how it looks in the preview window of the sprite editor. The vector image will be imported at the size it was created at, which is not necessarily the size that the preview is shown at (browsers will normally scale the image to fit, for example)."
Non-Bitmap_Sprites.htm+html.body.p:135-3,"One addition to the Sprite Editor is that you can set the <em>quality </em>of the vector sprite when drawn using the <strong>SWF Precision</strong> slider at the top. This will simply reduce or increase the number of triangles used to generate the sprite - with a value of about 50% being sufficient normally for most games - however you should experiment with this value if you are using extreme scaling, or are having performance issues."
Non-Bitmap_Sprites.htm+html.body.p:137-3,"There are a number of things that you should be aware of when importing vector sprites, with the most important being that some of the sprite drawing and sprite management functions are not supported for technical reasons, particularly those draw functions that draw only part of a sprite, or that ""skew"" the position in some way (see the individual <a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/Sprites_And_Tiles.htm""><span class=""inline"">draw_sprite_*()</span></a> functions for exact details of which). However the basic sprite drawing functions are fully supported as are the built in sprite variables. You can also set different <a class=""tooltip"" title=""TITLE_KEY::anti-aliasing"">anti-aliasing</a>(AA) values for the SWF sprites being drawn using the functions <span class=""inline""><a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/draw_enable_swf_aa.htm"">draw_enable_swf_aa()</a></span>, <span class=""inline""><a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/draw_get_swf_aa_level.htm"">draw_get_swf_aa_level()</a></span> or <span class=""inline""><a href=""../../GameMaker_Language/GML_Reference/Drawing/Sprites_And_Tiles/draw_set_swf_aa_level.htm"">draw_set_swf_aa_level()</a></span>."
Non-Bitmap_Sprites.htm+html.body.p:141-3,You should also be aware of the following:
Non-Bitmap_Sprites.htm+html.body.ul.li:143-5,"When importing a <span class=""inline"">*.SWF</span> file, Actionscript is <em>not </em>supported, so if your SWF relies on it to work correctly then it probably won't turn out right. Similarly, any embedded movie clips that have their own timeline will only have their first frame shown throughout the animation - all animation must be on the main timeline."
Non-Bitmap_Sprites.htm+html.body.ul.li:145-5,"If your vector file has particularly fine detail you may occasionally find that holes or strange triangles will appear in the resulting sprites. This is because at small scales geometry can sometimes collapse together to create shapes that just don't triangulate well. In this case you have two options - you can scale up the contents of the vector file which will give the importer more room to play with, or you can try to reduce the level of detail in the object that is breaking."
Non-Bitmap_Sprites.htm+html.body.ul.li:147-5,"GameMaker Studio 2 uses the stage size of the SWF as the bounds of the resulting sprite. However, if you have anything on the stage outside these bounds it is still drawn. This means that you should either try to avoid putting anything outside your stage bounds if you don't want it to be shown, or use a mask layer to limit drawing to this area."
Non-Bitmap_Sprites.htm+html.body.ul.li:149-5,"The stage size also affects the size of any collision masks that are generated, therefore if you have a large stage size and a lot of frames in your animation you can potentially eat up a lot of memory. So, only use precise collision masks if you really need it."
Non-Bitmap_Sprites.htm+html.body.ul.li:151-5,"As a SWF file is created from multiple layers, some of which potentially overlap, alpha doesn't work quite the way it does with bitmap sprites - overlapping areas will not look as transparent as other parts of the sprite, as the pixels there are being drawn over multiple times."
Non-Bitmap_Sprites.htm+html.body.ul.li:153-5,"Bitmap fills <em>are </em>supported, though if you use tiled bitmap fills as part of your SWF file you need to make sure the bitmap is a power-of-two in size, otherwise it won't tile properly. Text rendering is also supported, but you need to embed the font in your SWF file for it to show up in the resulting sprite. Also, currently only left-aligned single line text is supported."
Non-Bitmap_Sprites.htm+html.body.div.div.div.div:162-9,"Back: <a href=""../Texture_Groups.htm"">Texture Groups</a>"
Non-Bitmap_Sprites.htm+html.body.div.div.div.div:163-9,"Next: <a href=""Texture_Pages.htm"">Texture Pages</a>"
Non-Bitmap_Sprites.htm+html.body.p:169-1,{SEARCH_RESULT} Section explaining non-bitmap sprites in GameMaker
Non-Bitmap_Sprites.htm+html.body.p:169-74,{INDEX_KEYWORD} Texture Goups - Non-Bitmap Sprites
Non-Bitmap_Sprites.htm+html.body.p:169-131,{INDEX_KEYWORD} SWF
Non-Bitmap_Sprites.htm+html.body.p:169-157,{INDEX_KEYWORD} Spine
