Submission_Guidelines.htm+html.head.title:55-3,Submission Guidelines
Submission_Guidelines.htm+html.head.title:59-3,Submission Guidelines
Submission_Guidelines.htm+html.body.div.div.div[title]:73-7,Submission Guidelines
Submission_Guidelines.htm+html.body.div.div.div:73-7,Submission Guidelines
Submission_Guidelines.htm+html.body.h1:86-3,Submission Guidelines
Submission_Guidelines.htm+html.body.p:87-3,"It's the goal of YoYo Games to allow anyone with a passion for creating game related content to share their creations with the GameMaker community. However we want both the publisher and the end user of the products to get the best experience possible from our <a href=""../The_Marketplace.htm"">Marketplace</a>, which means that all assets being uploaded for publishing need to meet some minimum requirements, and not contain anything that may be restricted by Marketplace policy. Content that is not appropriate will be flagged as such by other users and the offending content removed from the store. To find out more information on flagging assets please see the following article:"
Submission_Guidelines.htm+html.body.ul.li:91-5,Rating And Flagging Assets
Submission_Guidelines.htm+html.body.p:93-3,"Therefore we have created this short list of guidelines for publishing that covers areas like content restrictions, quality control and best practice guidelines to ensure that your assets are successful:"
Submission_Guidelines.htm+html.body.ul.li:95-5,"<strong>Quality Not Quantity</strong>: To ensure the YoYo Marketplace is of value to both our publishers and our customers, there is a level of quality that we need to maintain throughout all our store offerings so you should ensure that anything you upload is of the highest quality possible and of genuine use to the customer. To that end, we value the overall quality of an asset, rather than the quantity of them, so, for example, a pack of 25 beautifully animated sprites would be preferred over a poor selection of 100 average sprites."
Submission_Guidelines.htm+html.body.ul.li:98-5,"<strong>Value To Developers</strong>: This is one of the most important points to note about the YoYo Marketplace - The ultimate goal is a satisfied customer, so only those assets which provide developers with something they would otherwise not have been able to create themselves, or would have cost them money or time to produce, will be accepted onto the Marketplace. So, before submitting an asset, ask yourself ""Will people actually want what I have to offer?""."
Submission_Guidelines.htm+html.body.ul.li:100-5,"<strong>Quality Product</strong>: All assets on the store must represent quality. Only well produced sprites, animations, audio and code should be uploaded to the Marketplace (see the Asset Specific Information section below). Therefore code must be well commented, audio well balanced and extensions well documented. Assets that are flagged as not meeting our minimum standards of quality will be removed from the market."
Submission_Guidelines.htm+html.body.ul.li:102-5,"<strong>Value For money</strong>: The YoYo Marketplace aims to offer great value for money, so simple assets such as single sprites, animations or sounds will not be permitted onto the Marketplace. All sprites, animations, sounds, scripts, etc... must be presented as a set or pack, and be versatile and of actual use to a developer."
Submission_Guidelines.htm+html.body.ul.li:104-5,"<strong>Easy To Use</strong>: Making your assets accessible and easy to use is of paramount importance, which means that you should strive to make your assets well documented, commented and presented. This will mean developers are more likely to use them, which in turn ensures good ratings, and ultimately increased sales."
Submission_Guidelines.htm+html.body.ul.li:106-5,"<strong>Your Own Work</strong>: All assets submitted to the store must be the work of the publisher and no one else. Do not submit assets downloaded or copied from other services, even if they are free. Publishers suspected of, or found to be, infringing copyrights, trademarks or any other type of intellectual property will be suspended and banned from the store if found to be in breach of the YoYo EULA. As a publisher on the YoYo Marketplace you are legally liable and can be sued by YoYo Games Ltd., the IP owner and by anyone who purchases and uses the asset."
Submission_Guidelines.htm+html.body.ul.li:109-5,"<strong>Stand Out From The Crowd</strong>: Make sure your asset stands out with clear, well-made icons, screenshots and feature graphics. Those users that have already published games to the various app stores, or those of you that have published assets through other sites, will now know how important the final presentation of a product is and how it can influence sales. Assets with poor visual appeal are less likely to be purchased or downloaded, so take some time to design your icons and create screenshots and videos (if applicable) for the assets you wish to sell."
Submission_Guidelines.htm+html.body.ul.li:112-5,"<strong>Naming</strong>: Ensure your asset name appropriately describes your asset allowing developers to quickly identify your asset as the solution they are looking for. Names must be unique and should not contain any non-standard characters or underscores. Names must not use trademarked brands, and we cannot accept names which include YoYo, YoYo Games, Marketplace, GameMaker or GameMaker: Studio."
