Creating_A_Publisher_Account.htm+html.head.title:55-3,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.head.title:59-3,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.body.div.div.div[title]:73-7,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.body.div.div.div:73-7,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.body.h1:86-3,Creating A Publisher Account
Creating_A_Publisher_Account.htm+html.body.p:87-3,"Before you can use the YoYo Games Marketplace to buy or sell assets, you must have made a YoYo Account, and if you wish to <em>sell </em>asset packages you will also need to have purchased a GameMaker Studio 2 licence (Creator, Desktop, Web, Mobile or Console) and registered for a Marketplace <strong>Publisher </strong>account."
Creating_A_Publisher_Account.htm+html.body.p:89-3,"<strong>NOTE</strong>: The 30 day Trial licence for GMS2 gives you Marketplace access to buy and download free or paid assets, but you cannot create a publisher account with it."
Creating_A_Publisher_Account.htm+html.body.p:90-3,The steps you need to follow to register as a publisher are as follows:
Creating_A_Publisher_Account.htm+html.body.ul.li:92-5,"Sign in to your <a href=""https://accounts{-dot-}yoyogames{-dot-}com/login"">YoYo Account</a>."
Creating_A_Publisher_Account.htm+html.body.ul.li:93-5,"Once you are in your account dashboard, visit the <strong>Publisher Registration</strong> page. This can be found from your YoYo Account dashboard <strong>Publisher</strong> section, where you need to click the section <strong>Sell Your Assets</strong>:"
Creating_A_Publisher_Account.htm+html.body.ul.li.img[alt]:94-7,{IMG_TXT} Sell Assets Link
Creating_A_Publisher_Account.htm+html.body.ul.li:95-5,"On the next page, click the <strong>Register</strong> button and then enter some basic information about your <strong>Publisher identity</strong>, like your publisher name, email and types of asset that you are planning on uploading."
Creating_A_Publisher_Account.htm+html.body.p:97-3,"You must read and accept the Marketplace Publisher Agreement before you can finalise your publisher account registration. When you do, your submission will be complete, but note that all registrations have to be verified by YoYo Games, so your new Publisher will not be available to you straight away. When your registration is verified you will be notified via the email address you provided. (Please note that we operate standard UK business hours, so weekend applications, etc., will see a delay in your approval.)"
Creating_A_Publisher_Account.htm+html.body.p.img[alt]:100-6,{IMG_TXT} New Publisher Page
Creating_A_Publisher_Account.htm+html.body.p:100-3,"Once you submit the registration you will be taken to your Publisher Account, where you can see the details already given and edit them, as well as upload an avatar:"
Creating_A_Publisher_Account.htm+html.body.p.img[alt]:102-6,{IMG_TXT} Publisher Account Details
Creating_A_Publisher_Account.htm+html.body.p:102-3,You should now go the Payment Details section and fill out the form there:
Creating_A_Publisher_Account.htm+html.body.p.img[alt]:103-6,{IMG_TXT} Payment Details Form
Creating_A_Publisher_Account.htm+html.body.p:103-3,Please note that:
