Purchasing_An_Asset.htm+html.head.title:55-3,Purchasing An Asset
Purchasing_An_Asset.htm+html.head.title:59-3,Purchasing An Asset
Purchasing_An_Asset.htm+html.body.div.div.div[title]:73-7,Purchasing An Asset
Purchasing_An_Asset.htm+html.body.div.div.div:73-7,Purchasing An Asset
Purchasing_An_Asset.htm+html.body.h1:86-3,Purchasing An Asset
Purchasing_An_Asset.htm+html.body.p:87-3,"To purchase an asset from the Marketplace you must first be logged in to your <a href=""../../Setting_Up_And_Version_Information/Licencing_Information.htm"">YoYo Account</a>. Once you have created your account and logged into Marketplace, you can then browse the asset packages available. You can download <a href=""https://marketplace{-dot-}yoyogames{-dot-}com/publishers/23/yoyo-games"">official YoYo Games content</a>, or content created by other community members, and the content can be either paid or free."
Purchasing_An_Asset.htm+html.body.p:89-3,"If you are buying an asset package for GameMaker Studio 2 then you simply have to select it from the market listings and click the ""<strong>Buy for [<em>price</em>]</strong>"" button. This will add the product to your shopping cart, and you can either proceed to the checkout or continue to browse the assets and add further purchases."
Purchasing_An_Asset.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Buy Asset Button
Purchasing_An_Asset.htm+html.body.p:92-3,"<strong>NOTE</strong>: Assets that are Free will not be added to your cart, and instead you will simply be asked to agree to the terms of the <a class=""tooltip"" title=""TITLE_KEY::EULA"">EULA</a> and then, once accepted, the asset will be added to your library."
Purchasing_An_Asset.htm+html.body.p:94-3,"When you are ready to proceed with the payment, you can select the ""Cart"" option from the top right of the screen and you'll be taken to an overview of the products in your cart. Here you can pay through a <strong>credit card </strong>purchase or though <strong>PayPal</strong>, or modify the purchases you are making:"
Purchasing_An_Asset.htm+html.body.p.img[alt]:96-6,{IMG_TXT} Purchase Report
Purchasing_An_Asset.htm+html.body.p:96-3,"When you have completed the payment, you will be shown a ""Purchase Complete"" screen where you can print out the receipt. You will also be sent an email with the payment confirmation details. Once you have completed a purchase (either of a free asset or a paid one), you can go back to the GameMaker Studio 2 <a href=""../../IDE_Navigation/Menus/The_Marketplace_Menu.htm"">Marketplace Menu</a> and click on the ""My Library"" menu item where you can download and install the assets you've purchased. See the page on the <a href=""Your_Marketplace_Library.htm"">Library</a> for more details on how to install assets."
Purchasing_An_Asset.htm+html.body.div.div.div.div:104-9,"Back: <a href=""../The_Marketplace.htm"">The Marketplace</a>"
Purchasing_An_Asset.htm+html.body.div.div.div.div:105-9,"Next: <a href=""Creating_A_Publisher_Account.htm"">Creating A Publisher Account</a>"
Purchasing_An_Asset.htm+html.body.p:118-1,{SEARCH_RESULT} Page outlining how to purchase a Marketplace asset
Purchasing_An_Asset.htm+html.body.p:118-74,{INDEX_KEYWORD} Marketplace - Purchasing An Asset
