Steam.htm+html.head.title:55-3,Steam,Steam
Steam.htm+html.head.title:59-3,Steam,Steam
Steam.htm+html.body.div.div.div[title]:73-7,Steam,Steam
Steam.htm+html.body.div.div.div:73-7,Steam,Steam
Steam.htm+html.body.h1:86-3,Steam,Steam
Steam.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Steam Event,{IMG_TXT} Steamイベント
Steam.htm+html.body.p:87-3,"This event can only be triggered by <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a><span class=""glossextra""></span> from some of the <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam.htm"">Steam API</a> functions and will return a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> stored in the variable <a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>, containing different key/value pairs depending on the call-back from the function that has triggered the event. The map will always contain the key ""<span class=""inline"">event_type</span>"" which can then be parsed to find the type of function that triggered the event and change the code required to suit.","一部の<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam.htm"">Steam API</a>関数からの<a class=""tooltip"" title=""TITLE_KEY::callback"">コールバック</a><span class=""glossextra""></span>によってのみ作動するイベントで、<a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>変数に格納される<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>が返されます。このマップには、イベントを作動させた関数のコールバックに応じたキー/値ペアが含まれます。このうち""<span class=""inline"">event_type</span>""キーは必ず追加され、このキーを解析することでイベントを作動させた関数のタイプを特定し、それに合わせて必要コードを変更できます。"
Steam.htm+html.body.p:91-3,"When calling any function that triggers this event, it will generate a unique async ID value which should be stored in a variable and checked, as the async_load map will always contain an ID key which you can then parse and ensure that you are responding to the correct event. In fact, the map will always hold the following keys, regardless of the Steam function used to generate the async response:",イベントを作動させる関数が呼び出されると、変数に格納してチェックされる固有の非同期IDが生成されます。async_loadマップには必ずIDキーが追加されるため、このキーを解析すれば正しいイベントに応答できます。実際にはどのSteam関数によって非同期応答が起きたかを問わず、DSマップには以下のキーが必ず含まれます。
Steam.htm+html.body.ul.li:94-5,"""<span class=""inline"">id</span>"" - The async ID returned by the function that triggered the event","""<span class=""inline"">id</span>"" - イベントを作動させた関数から返される非同期IDです。"
Steam.htm+html.body.ul.li:95-5,"""<span class=""inline"">result</span>"" - The result of the operation (a real value). This will either be the GML constant <span class=""inline"">ugc_result_success</span> or some other real number. You should check for this constant to ensure that the call was successful, and if another value is returned something has not worked correctly. The rest of the possible values returned are shown as the result of the Steam ""<span class=""inline"">EResult</span>"" value and you should see <span class=""inline"">steamclientpublic.h</span> in the SDK headers for all possible values.","""<span class=""inline"">result</span>"" - 処理の結果となる実数値です。<span class=""inline"">ugc_result_success</span> GML定数、あるいはそれ以外の実数となります。この定数と同じ値であることをチェックし、呼び出しに成功したかを確認してください。別の値が返された場合、何らかの理由で正しく動作していません。別の値はいずれもSteamの""<span class=""inline"">EResult</span>""値の結果として示されており、SDKヘッダーの<span class=""inline"">steamclientpublic.h</span>から確認できます。"
Steam.htm+html.body.ul.li:98-5,"""<span class=""inline"">event_type</span>"" - A string denoting the type of event (see below for the details)","""<span class=""inline"">event_type</span>"" - イベントのタイプを表す文字列です（詳しくは以下を参照）。"
Steam.htm+html.body.h2:101-3,Uploading Data,データのアップロード
Steam.htm+html.body.p:102-3,"When using the Steam functions for uploading a leaderboard (either <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_upload_score.htm""><span class=""inline"">steam_upload_score()</span></a> or <a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_upload_score_buffer.htm""><span class=""inline"">steam_upload_score_buffer()</span></a>) the returned DS map will have the following key/value pairs:","Steam関数によってリーダーボードをアップロードすると、DSマップには以下のキー/値ペアが含まれます（<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_upload_score.htm""><span class=""inline"">steam_upload_score()</span></a>、<a href=""../../../GameMaker_Language/GML_Reference/Steam/Steam_Leaderboards/steam_upload_score_buffer.htm""><span class=""inline"">steam_upload_score_buffer()</span></a>のどれでも同様です）。"
Steam.htm+html.body.ul.li:105-5,"""<span class=""inline"">event_type</span>"" - This key will hold the value ""<span class=""inline"">leaderboard_upload</span>""","""<span class=""inline"">event_type</span>"" - ""<span class=""inline"">leaderboard_upload</span>""という値を保持するキーです。"
