Extensions.htm+html.head.title:55-3,Extensions,拡張機能
Extensions.htm+html.head.title:59-3,Extensions,拡張機能
Extensions.htm+html.body.div.div.div[title]:73-7,Extensions,拡張機能
Extensions.htm+html.body.div.div.div:73-7,Extensions,拡張機能
Extensions.htm+html.body.h1:86-3,The Extension Editor,拡張機能エディタ
Extensions.htm+html.body.p:87-3,"An <strong>extension package</strong> can be used to add a number of additional functions and <a class=""tooltip"" title=""TITLE_KEY::constant"">constant</a><span class=""glossextra""></span> to the GameMaker Language (GML), or as a way to transfer game assets or even whole projects easily between people. If the extension is to add extra functionality, then the functions used can link your game to external <a class=""tooltip"" title=""TITLE_KEY::SDK"">SDK</a><span class=""glossextra""></span> or <a class=""tooltip"" title=""TITLE_KEY::source_code"">source code</a> written in other languages (like Java for Android, for example), as well as native GML.","<strong>拡張機能パッケージ</strong>を利用するとGameMaker Language (GML)に関数や<a class=""tooltip"" title=""TITLE_KEY::constant"">定数</a><span class=""glossextra""></span>を追加したり、ゲームのアセットやプロジェクトそのものを他の人と簡単にやり取りすることができます。新しく機能を追加するものであれば、外部<a class=""tooltip"" title=""TITLE_KEY::SDK"">SDK</a><span class=""glossextra""></span>や、他の言語（Android向けのJavaなど）あるいはGMLで書かれた<a class=""tooltip"" title=""TITLE_KEY::source_code"">ソースコード</a>をゲームに結び付けることも可能です。"
Extensions.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Extensions Properties,{IMG_TXT} 拡張機能プロパティ
Extensions.htm+html.body.p:89-3,"Normally 3rd party extensions will be from the <a href=""https://marketplace{-dot-}yoyogames{-dot-}com/"">GameMaker Marketplace</a> and those you have subscribed to will then be listed in the <a href=""../Introduction/The_Marketplace.htm"">Marketplace Library</a> window and can be installed from there. If you did not get your extension package from the Marketplace, you can still add it to a project by again right-clicking <img_tag=RMB_Icon:0> anywhere in the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and this selecting <em>Add Existing</em>, then browsing to the location of the extension to select it.","サードパーティーの拡張機能は基本的に<a href=""https://marketplace{-dot-}yoyogames{-dot-}com/"">GameMakerマーケットプレイス</a>にあり、サブスクライブすると<a href=""../Introduction/The_Marketplace.htm"">マーケットプレイスライブラリ</a>のウィンドウに登録されてインストールできるようになります。マーケットプレイスから拡張機能パッケージを入手しなくても、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>を右クリック<img_tag=RMB_Icon:0>して「<em>既存のアセットを追加</em>」を選び、場所を指定することでも拡張機能をプロジェクトに追加できます。"
Extensions.htm+html.body.p:93-3,"If you have a <span class=""inline"">*.GMEZ</span> created with a previous version of GameMaker Studio you can add these by selecting the right mouse button <img_tag=RMB_Icon:0> menu option <em>Import Extension</em>.","以前のバージョンのGameMaker Studioで作成された<span class=""inline"">*.GMEZ</span>ファイルがある場合、右クリック<img_tag=RMB_Icon:0>メニューから「<em>拡張機能のインポート</em>」を選んで追加できます。"
Extensions.htm+html.body.p:94-3,"<strong>NOTE</strong>: Legacy format <span class=""inline"">*.GEX</span> extensions are no longer supported and cannot be imported in to GameMaker Studio 2 projects.","<strong>注意</strong>: <span class=""inline"">*.GEX</span>の拡張機能は古い形式であり、GameMaker Studio 2のプロジェクトには対応していないためインポートできません。"
Extensions.htm+html.body.p:95-3,"Once you have added an extension to the Asset Browser, you should give it a name and a version number and also set which platforms you want to export it to. By un-ticking selected platforms, you can tell GameMaker Studio 2 not to export the extension as part of the executable for those platforms. You should also ensure that the extension properties match up with the target platform(s), and edit the export targets for the extension files based on the following:",アセットブラウザに拡張機能を追加できたら、名前とバージョン番号、出力させるプラットフォームを設定しましょう。チェックを外したプラットフォームでは、実行ファイルの一部として拡張機能が出力されなくなります。また、拡張機能のプロパティを各プラットフォームと一致させたのち、拡張機能のファイル出力先を以下に合わせて編集しなくてはなりません。
Extensions.htm+html.body.ul.li:98-5,<strong>All targets</strong>: GML extensions. These are extensions made using the GameMaker Language (GML) and are compatible with all target platforms.,<strong>すべての対象</strong>: GML拡張機能です。GameMaker Language (GML)で作られた拡張機能のため、すべての対象プラットフォームと互換性があります。
