Animated_Tiles.htm+html.head.title:55-3,Animated Tiles,アニメーションタイル
Animated_Tiles.htm+html.head.title:59-3,Animated Tiles,アニメーションタイル
Animated_Tiles.htm+html.body.div.div.div[title]:73-7,Animated Tiles,アニメーションタイル
Animated_Tiles.htm+html.body.div.div.div:73-7,Animated Tiles,アニメーションタイル
Animated_Tiles.htm+html.body.h1:86-3,Animated Tiles,アニメーションタイル
Animated_Tiles.htm+html.body.p:87-3,"Tiles are generally considered to be static cells within the game room, however with GameMaker Studio 2 it is possible to animate them, just as you would a sprite. Why not just use sprites, you ask? Well, sprites have a certain processing overhead due to them being associated with a bounding box and the way in which they are rendered, but tiles have a much lower processing overhead and so are faster to render. This does come at a price however, in that with tile set animations you are limited to creating animations that must be a power of two in length - ie: of 2, 4, 8, 16, etc... frames - and they must obviously be created within the tile grid, <em>and </em>they must all animate at the same speed (on a per-tile set basis). However, even with these limitations, animated tiles are a powerful feature that can be used to add life and colour to otherwise static environments and backgrounds.",タイルは基本的に、ゲーム内のルームでは静的なセルとして見なされますが、GameMaker Studio 2ではスプライトと同じようにアニメーションさせることも可能です。単にスプライトを使えばいいのでは？もっともな疑問ですが、スプライトには境界ボックスが割り当てられていたり、レンダリング方法の違いがあるため処理上の負荷がかかります。しかしタイルはずっと負荷が少ないため、高速にレンダリングできるのです。とはいえ制限も伴います。タイルセットでは2、4、8、16といったようにフレームの長さが2の乗数のアニメーションしか作成できず、タイルのグリッド内にしか置けないことに<em>加えて</em>、タイルセットごとに同じ速さでアニメーションさせなくてはなりません。このように制限もありますが、アニメーションタイルはとても役に立つ機能であり、動きのない景色や背景を生き生きと彩ることができます。
Animated_Tiles.htm+html.body.p:91-3,"To create a tile animation you must first have a tile set that has the required tiles all within the one sprite image (but not as sprite frames, so a single large sprite frame with all the animation images within it), and then in the <a href=""../Tile_Sets.htm"">Tile Set Editor</a> you click on the <strong>Tile Animation</strong> button to bring up the Animation Editor:","アニメーションタイルを作るには、まず必要なタイルがすべて単一のスプライト画像内（フレームは追加せず、単一のフレーム内にすべてのアニメーション画像を含めたもの）に揃っているタイルセットを用意しましょう。それから<a href=""../Tile_Sets.htm"">タイルセットエディタ</a>の<strong>タイルアニメーション</strong>ボタンをクリックすると、このようにアニメーションエディタが開きます。"
Animated_Tiles.htm+html.body.p.img[alt]:92-6,{IMG_TXT} Tile Animation Window,{IMG_TXT} タイルアニメーションウィンドウ
Animated_Tiles.htm+html.body.p:92-3,"The example image above is a single image with all animation frames contained within it, but it should be noted that the image could also contain other non-animation tiles too, since you can use a single massive tile set and then ""cherry pick"" the parts of it that you want to create the animation from. For example, you could have a large landscape tile set with trees, earth and water, and within the tile set have multiple tiles to be animated to make the water ripple.",この例はすべてのアニメーションフレームが含まれている1枚の画像ですが、画像にはアニメーションしないタイルを含めることができ、1つの大きなタイルセットから一部分だけを選んでアニメーションさせることも可能です。たとえば木や土地、水のタイルがある広い地形タイルセットなら、水の波紋を再生する複数のタイルを含めることができます。
Animated_Tiles.htm+html.body.p:95-3,"To create a tile animation you first have to add an animation to the animation library by clicking the <strong>Add Animation </strong>button <img_tag=Add_Animation_Icon:0>, which will add an empty animation strip to the library and request that you select a number of frames to be used:",タイルアニメーションを作るには、まず<strong>アニメーション追加</strong>ボタン<img_tag=Add_Animation_Icon:0>をクリックし、アニメーションライブラリにアニメーションを追加しなくてはなりません。クリックすると空のアニメーションがライブラリに追加され、フレーム数を指定するよう求められます。
Animated_Tiles.htm+html.body.p.img[alt]:97-6,{IMG_TXT} Add Animation,{IMG_TXT} アニメーション追加
Animated_Tiles.htm+html.body.p:97-3,"You will then be presented with a view of each empty animation frame, with the initial frame highlighted for you:",すると空のフレームが一覧表示され、初期フレームがこのように強調されます。
Animated_Tiles.htm+html.body.p.img[alt]:98-6,{IMG_TXT} An Empty Animation,{IMG_TXT} 空のアニメーション
Animated_Tiles.htm+html.body.p:98-3,"If you then go back to the tile set image on the left of the editor you can click <img_tag=LMB_Icon:0> on any tile to add it into the animation and the frame will advance to the next one. Clicking <img_tag=LMB_Icon:0> on successive tiles will fill up the animation, which you can then preview by clicking on the ""play"" button beside the frames:",そのままエディタの左側にあるタイルセットの画像に戻り、タイルをクリック<img_tag=LMB_Icon:0>するとアニメーションに追加でき、次のフレームに進みます。タイルを続けてクリック<img_tag=LMB_Icon:0>すればアニメーションを埋められ、フレームの横に表示されている「再生」ボタンをクリックするとプレビューできます。
Animated_Tiles.htm+html.body.p.img[alt]:100-6,{IMG_TXT} Add Animation Frames,{IMG_TXT} アニメーションフレームを追加
Animated_Tiles.htm+html.body.p:100-3,"Once you have done that your animation will become part of the animation library and when you enter the <a href=""../Rooms.htm"">Room Editor</a> you can select it and place it within the room. Note that if you select any of the tiles from an animation to place in a room, that tile will animate from the selected tile onwards, so you can ""desynchronise"" an animation by placing separate frames within the room and they will all animate. The only caveat to this is that the animation speed will always be the same, since it is defined for the whole tile set and not individual animations within the library.","完成したアニメーションはアニメーションライブラリに組み込まれ、<a href=""../Rooms.htm"">ルームエディタ</a>を開くとルームに置けるようになります。なお、アニメーションに含まれているタイルをルームに置くと、そのタイルは追加されたフレームからアニメーションを開始するため、フレーム別に配置することでルームでのアニメーションを「非同期」にできます。1つだけ気を付けておきたいのは、アニメーションの速度はすべて同じだということです。これは速度をライブラリのアニメーション別にではなく、タイルセット全体に設定するためです。"
Animated_Tiles.htm+html.body.p:102-3,A few things to note about tiles that are being used in animations:,アニメーションに使われているタイルについては以下の注意点があります。
Animated_Tiles.htm+html.body.ul.li:104-5,If the tile has its own animation specified (so there is an animation where it is set as the first tile) then it will use that animation.,タイルにアニメーションが指定されている場合（最初のタイルとして設定されているアニメーションがある場合）、指定されたアニメーションを使用します。
Animated_Tiles.htm+html.body.ul.li:105-5,"If the tile doesn't have its own animation but is used in only one other animation, then it will use that animation starting at the first position that tile is present in the animation.",そのタイルだけのアニメーションがなくても他のアニメーションで使われている場合、そのタイルが最初にアニメーション内に現れる位置からアニメーションを開始します。
Animated_Tiles.htm+html.body.ul.li:106-5,"If the tile doesn't have its own animation and is used in multiple other animations, then it will not animate at all. You will need to explicitly specify an animation with it as the first tile.",そのタイルだけのアニメーションがなく、他の複数のアニメーションで使われている場合はアニメーションしません。最初のタイルとしたアニメーションを別に用意する必要があるでしょう。
