Fonts.htm+html.head.title:55-3,Fonts,フォント
Fonts.htm+html.head.title:59-3,Fonts,フォント
Fonts.htm+html.body.div.div.div[title]:73-7,Fonts,フォント
Fonts.htm+html.body.div.div.div:73-7,Fonts,フォント
Fonts.htm+html.body.h1:86-3,The Font Editor,フォントエディタ
Fonts.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Font Editor,{IMG_TXT} フォントエディタ
Fonts.htm+html.body.p:88-3,"When you want to draw text in your game this text is drawn in a standard Arial 12 point <a class=""tooltip"" title=""TITLE_KEY::font"">font</a>, but to make more interesting or unique looking texts you will probably want to use different fonts. So, to use different fonts that you have on your computer you must create a <strong>font asset</strong> in GameMaker Studio 2. This is done by right clicking <img_tag=RMB_Icon:0> on the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and selecting ""<em>Create Font</em>"". For each font resource you create you specify a particular type of font from your computer which can then be used in your game using the action or code to set a font for drawing.","ゲーム内でテキストを描画しようとすると、標準の Arial 12 ピクセル<a class=""tooltip"" title=""TITLE_KEY::font"">フォント</a>で描画されます。しかし、より目を引くような、個性あるビジュアルのテキストにするには、別のフォントを使用しなくてはならないでしょう。コンピューターにある別のフォントを使用するには、GameMaker Studio 2 の<strong>フォントアセット</strong>を作成しなくてはなりません。フォントアセットは、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>を右クリック<img_tag=RMB_Icon:0>して「<em>フォント作成</em>」を選ぶと作成できます。作成したフォントアセットにはコンピューターにある特定のフォントを指定可能で、アクションまたはコードから描画用のフォントに設定することでゲーム内でも使用できます。"
Fonts.htm+html.body.p:91-3,When you first create a font resource the font editor window will open with the following options:,フォントアセットが作成されると、フォントエディタのウィンドウが開き、次のような領域が表示されます。
Fonts.htm+html.body.p:92-3,"<span data-open-text=""true"">Details</span><span data-close-text=""true"">Details</span>","<span data-open-text=""true"">詳細</span><span data-close-text=""true"">詳細</span>"
Fonts.htm+html.body.div.p:94-5,"Here you can give your font a unique name (alpha numeric characters and the ""_"" under-bar symbol only), as well as choose the font to use. The font must be installed on your machine and due to licensing issues, GameMaker Studio 2 does not store the actual font files with the project file by default, but rather the font is <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> to a <a href=""../Settings/Texture_Information/Texture_Pages.htm"">texture page</a> as a series of bitmap glyphs. The texture page will be assigned to a <a href=""../Settings/Texture_Groups.htm"">texture group</a>, which you can choose from the <strong>Group</strong> option here too.","フォントに固有の名前（英数字および ""_"" 記号のみ利用可）をつけたり、使用フォントの指定ができます。コンピューターにインストールされているフォントのみ指定でき、またGameMaker Studio 2 ではライセンス上の問題から、デフォルトではプロジェクトファイルにフォントファイルそのものを保存せず、一連のビットマップグリフとしてフォントの<a href=""../Settings/Texture_Information/Texture_Pages.htm"">テクスチャページ</a>を<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>します。このテクスチャページは<a href=""../Settings/Texture_Groups.htm"">テクスチャグループ</a>に割り当てられ、<strong>グループ</strong>オプションから特定のグループを指定できます。"
Fonts.htm+html.body.div.p:97-5,"If you want to distribute the actual font file ( <span class=""inline"">*.ttf</span> only) along with the project when making a Marketplace asset or for any other reason, you can check the option <strong>Copy To Project</strong>. This will open the file explorer where you can select the font file and it will then be added to the files bundled with the project.","マーケットプレイスのアセットを作成するなど、何らかの理由でフォントファイルそのもの（<span class=""inline"">*.ttf</span> のみ対応）をプロジェクトに含めて配布したい場合は、<strong>プロジェクトにコピー</strong>をチェックしてください。エクスプローラーが開き、指定したフォントファイルをプロジェクトにバンドルされるファイルとして追加できます。"
Fonts.htm+html.body.div.p:99-5,<strong>IMPORTANT!</strong> You should only use fonts that you are <strong>legally permitted and licensed to redistribute or use in your project</strong>.,<strong>注意！</strong> 必ず<strong>自分のプロジェクトで使用または再配布することが法的に許可され、ライセンス上の問題がないフォント</strong>のみを利用するようにしてください。
Fonts.htm+html.body.p:103-3,"<span data-open-text=""true"">Presets</span><span data-close-text=""true"">Presets</span>","<span data-open-text=""true"">プリセット</span><span data-close-text=""true"">プリセット</span>"
Fonts.htm+html.body.div.p:105-5,"In this section you can set the size (in points - default is 12pt) and whether the font should be drawn as bold or italic or have <a class=""tooltip"" title=""TITLE_KEY::anti-aliasing"">anti-aliasing</a> applied. The preview window on the right will show you the text approximately as it will look in your game with the size and transforms you have specified.","ここではサイズ（ポイントで指定、デフォルトは 12pt） のほかに、フォントの太字、斜体、<a class=""tooltip"" title=""TITLE_KEY::anti-aliasing"">アンチエイリアス</a>を適用するかを設定できます。右側のプレビューウィンドウには指定したサイズと書体で、実際のゲームとほぼ同じようにテキストが表示されます。"
Fonts.htm+html.body.p:110-3,"<span data-open-text=""true"">Range Controls</span><span data-close-text=""true"">Range Controls</span>","<span data-open-text=""true"">範囲操作部</span><span data-close-text=""true"">範囲操作部</span>"
Fonts.htm+html.body.div.p:112-5,"When creating a font resource it's rare that you'll want to include every single glyph for the font. This is why GameMaker Studio 2 defaults to using only the characters from 32 till 127 of the chosen font as this gives us the numbers and the small and capital letters along with certain punctuation marks. You can, however, change the character range used to help optimise your games ie: if you only need the numbers from a specific font, then <em>only </em>select the numbers. To do this, you should first click the <strong>Delete </strong>button to clear the current range (you may need to select the range for this to work by clicking <img_tag=LMB_Icon:0> on it in the preview window) and then click on the <strong>Add </strong>button to add a new range. This will open the following chained window:",フォントリソースの作成時、そのフォントのグリフをすべて含める必要はほとんどの場合ありません。そのため GameMaker Studio 2 では選択されたフォントのうち、数字、小文字、大文字、特定の句読点をカバーできる 32 から 127 文字目が使用されます。ですがゲームを最適化するために使用する文字範囲を変えることも可能で、たとえば<em>数字だけ</em>を選択すれば、数字だけを使用することができます。手順としては、まず<strong>削除</strong>ボタンをクリックして現在の範囲を消去し（プレビューウィンドウをクリック<img_tag=LMB_Icon:0>して範囲を選択しなければならない場合もあります）、<strong>追加</strong>ボタンをクリックして新しい範囲を追加してください。すると次のウィンドウが隣に開きます。
