Audio_Recording.htm+html.head.title:55-3,Audio Recording,Audio Recording
Audio_Recording.htm+html.head.title:59-3,Audio Recording,Audio Recording
Audio_Recording.htm+html.body.div.div.div[title]:73-7,Audio Recording,Audio Recording
Audio_Recording.htm+html.body.div.div.div:73-7,Audio Recording,Audio Recording
Audio_Recording.htm+html.body.h1:86-3,Audio Recording,Audio Recording
Audio_Recording.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Audio Recording Event,{IMG_TXT} Audio Recordingイベント
Audio_Recording.htm+html.body.p:87-3,"This event can only be triggered by the <a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_start_recording.htm""><span class=""inline"">audio_start_recording()</span></a> function and will return a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> stored in the variable <a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>, containing different key/value pairs depending on the <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a> from the function that has triggered the event.","このイベントは<a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_start_recording.htm""><span class=""inline"">audio_start_recording()</span></a>関数によってのみ作動し、<a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>変数に格納された<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>を返します。このDSマップにはイベントを作動させた関数の<a class=""tooltip"" title=""TITLE_KEY::callback"">コールバック</a>に応じたキー/値ペアが含まれています。"
Audio_Recording.htm+html.body.p:90-3,The following keys will be available in the ds_map:,以下はds_mapにおいて利用可能なキーです。
Audio_Recording.htm+html.body.ul.li:92-5,"""<span class=""inline"">buffer_id</span>"" - the ID of the temporary <a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">buffer</a> you can use to retrieve the audio data","""<span class=""inline"">buffer_id</span>"" -オーディオデータを取得するために利用できる一時<a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">バッファ</a>のIDです。"
Audio_Recording.htm+html.body.ul.li:93-5,"""<span class=""inline"">channel_index</span>"" - the recording channel index as returned by the calling function that this data came from","""<span class=""inline"">channel_index</span>"" - データの元である呼び出し関数から返される録音チャンネルのインデックスです。"
Audio_Recording.htm+html.body.ul.li:94-5,"""<span class=""inline"">data_len</span>"" - the length of data (in bytes) you've received","""<span class=""inline"">data_len</span>"" - 受信したデータの長さです（バイト単位）。"
