Android_Extensions.htm+html.head.title:55-3,Android Extensions,Android拡張機能
Android_Extensions.htm+html.head.title:59-3,Android Extensions,Android拡張機能
Android_Extensions.htm+html.body.div.div.div[title]:73-7,Android Extensions,Android拡張機能
Android_Extensions.htm+html.body.div.div.div:73-7,Android Extensions,Android拡張機能
Android_Extensions.htm+html.body.h1:86-3,Android Extensions,Android拡張機能
Android_Extensions.htm+html.body.p:87-3,"To create an extension for Android you have to do it in two parts. The first part would be to add the extension itself, along with the required files etc... and the second is to create the functions and macros/constants that the extension requires. The functions and constants are added using <strong>placeholder </strong>files to group them together, so you'd add a placeholder and then define the functions and macros as explained in the section above. To add the rest of the files though you need to first tick the <em>Android </em>check-box in the <strong>Additional Features</strong> section of the editor:",Androidの拡張機能は2つの手順から作成します。1つ目は拡張機能および必要ファイル等の追加、2つ目は関数およびマクロ/定数の作成です。関数と定数は<strong>プレースホルダ</strong>によってグループ化して追加されるため、あらかじめプレースホルダのファイルを追加してから関数とマクロを定義しなくてはなりません。残りのファイルを追加するには、まずエディタの<strong>追加プラットフォーム</strong>領域にある<em>Android</em>にチェックを入れてプロパティを開いてください。
Android_Extensions.htm+html.body.p.img[alt]:90-23,{IMG_TXT} Android Editor,{IMG_TXT} Androidエディタ
Android_Extensions.htm+html.body.p:91-3,Here you give the following details:,以下はプロパティの詳細です。
Android_Extensions.htm+html.body.ul.li:93-5,"<strong>ClassName</strong>: Your extension can have multiple classes, with each class having its own functions and constants, so you should give it a name that reflects its purpose.",<strong>クラス名</strong>: 拡張機能には複数のクラスを用意でき、クラスごとに独自の関数、定数を追加できます。他のクラスと用途が区別できる名前をつけましょう。
Android_Extensions.htm+html.body.ul.li:94-5,"<strong>Android Permissions</strong>: Here you can add in any extra permissions that your extension requires. What these permissions are will depend entirely on the use that the extension has, and so you should <a href=""https://developer{-dot-}android{-dot-}com/reference/android/Manifest.permission.html"">check the documentation supplied by Google</a> for the Android platform, or, if you are using a third party SDK, the documentation that comes with the SDK. To add a new permission you need to click the <img_tag=Add_Argument_Icon:0> button to add a placeholder permission, and then do a slow <img_tag=LMB_Icon:0> click on that to edit it to what is required. You can remove permissions using the <img_tag=Remove_Argument_Icon:0> button.","<strong>Android権限</strong>: 拡張機能に権限を追加できます。必要となる権限は拡張機能の用途によって異なるため、<a href=""https://developer{-dot-}android{-dot-}com/reference/android/Manifest.permission.html"">GoogleのAndroidプラットフォーム用ドキュメント</a>に目を通しておくといいでしょう。サードパーティのSDKを利用しているのであれば、SDKに同梱されているドキュメントを確認しましょう。権限を追加するには、まず<img_tag=Add_Argument_Icon:0>ボタンをクリックしてプレースホルダ権限を追加してください。追加した権限はゆっくりダブルクリック<img_tag=LMB_Icon:0>すると編集できますので、必要な権限に変更しましょう。権限は<img_tag=Remove_Argument_Icon:0>ボタンで削除可能です。"
Android_Extensions.htm+html.body.ul.li:95-5,<strong>Inject To Gradle Dependencies</strong>: Here you can add any extra code that needs to be injected (added) into the Gradle build dependencies.,<strong>Gradle依存関係へ挿入</strong>: Gradleビルド依存関係に挿入（追加）しておきたいコードを入力します。
Android_Extensions.htm+html.body.ul.li:96-5,"<strong>Inject to AndroidManifest.xml Manifest</strong>: Here you set any extra code to be injected (added) to the Android Manifest XML file when your game is built for testing or final release. Make sure to revise this (and your permissions) carefully before submitting any games to the store, as incorrect settings will cause your game to be failed for submission.",<strong>AndroidManifest.xmlマニフェストへ挿入</strong>: ゲームのテストビルドおよび最終ビルド時に、AndroidマニフェストXMLファイルに挿入（追加）されるコードを入力します。ゲームをストアに申請する際、必ずこの設定（および権限）を見直すようにしてください。設定ミスがあれば申請失敗となるでしょう。
Android_Extensions.htm+html.body.ul.li:98-5,"<strong>Inject to AndroidManifest.xml Application</strong>: Here you set any extra code to be injected (added) to the Android Manifest XML file under the Application heading when your game is built for testing or final release. Make sure to revise this (and your permissions) carefully before submitting any games to the store, as incorrect settings will cause your game to be failed for submission.",<strong>AndroidManifest.xmlアプリケーションへ挿入</strong>: ゲームのテストビルドおよび最終ビルド時に、AndroidマニフェストXMLファイルのアプリケーションヘッダー以下に挿入（追加）されるコードを入力します。ゲームをストアに申請する際、必ずこの設定（および権限）を見直すようにしてください。設定ミスがあれば申請失敗となるでしょう。
Android_Extensions.htm+html.body.ul.li:100-5,"<strong>Inject to AndroidManifest.xml RunnerActivity</strong>: Here you set any extra code to be injected (added) to the Android Manifest XML file under the RunnerActivity heading when your game is built for testing or final release. Make sure to revise this (and your permissions) carefully before submitting any games to the store, as incorrect settings will cause your game to be failed for submission.",<strong>AndroidManifest.xml RunnerActivityへ挿入</strong>: ゲームのテストビルドおよび最終ビルド時に、AndroidマニフェストXMLファイルのRunnerActivityヘッダー以下に挿入（追加）されるコードを入力します。ゲームをストアに申請する際、必ずこの設定（および権限）を見直すようにしてください。設定ミスがあれば申請失敗となるでしょう。
Android_Extensions.htm+html.body.p:103-3,"Once you have set this up correctly, you will need to add the required files for your extension package to work. To do this you need to click on the buttons at the bottom, either <em>Add SDK</em> or <em>Add Source</em> and then browse to the files you wish to add. Added files will be stored in the <span class=""inline"">AndroidSource</span> directory along with your extension. You can open this location at any time by right clicking <img_tag=RMB_Icon:0> on the extension and selecting <em>Open Extension Directory</em>.","正しく設定できたら、拡張機能のパッケージ動作に必要なファイルを追加しましょう。一番下にある「<em>SDKを追加</em>」または「<em>ソースを追加</em>」ボタンをクリックすれば、指定したファイルを追加できます。ファイルは拡張機能の<span class=""inline"">AndroidSource</span>ディレクトリに保存され、拡張機能を右クリック<img_tag=RMB_Icon:0>して「<em>拡張機能のディレクトリを開く</em>」を選ぶと保存先を開くことができます。"
Android_Extensions.htm+html.body.p:105-3,"For more information on creating Android extensions, please see the <a href=""https://help{-dot-}yoyogames{-dot-}com/hc/en-us/articles/360012504971-iOS-and-Android-Creating-A-Simple-Extension"">YoYo Games Knowledge Base</a>.","ndroid拡張機能のより詳しい作成方法については、<a href=""https://help{-dot-}yoyogames{-dot-}com/hc/en-us/articles/360012504971-iOS-and-Android-Creating-A-Simple-Extension"">YoYo Gamesナレッジベース</a>を参照してください。"
Android_Extensions.htm+html.body.div.div.div.div:112-9,"Back: <a href=""../Extensions.htm"">The Extension Editor</a>","戻る: <a href=""../Extensions.htm"">拡張機能エディタ</a>"
Android_Extensions.htm+html.body.div.div.div.div:113-9,"Next: <a href=""iOS_Extensions.htm"">iOS Extensions</a>","次へ: <a href=""iOS_Extensions.htm"">iOS拡張機能</a>"
Android_Extensions.htm+html.body.p:125-1,{SEARCH_RESULT} Page detailing how Android extensions work,{SEARCH_RESULT} Android拡張機能の詳しい仕組みについてのページ
Android_Extensions.htm+html.body.p:125-66,{INDEX_KEYWORD} Extensions - Creating Android Extensions,{INDEX_KEYWORD} 拡張機能 - Android拡張機能の作り方
Android_Extensions.htm.img_tag+Add_Argument_Icon:0,{IMG_TXT} Add Argument Icon,{IMG_TXT} 引数を追加アイコン
Android_Extensions.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Android_Extensions.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Android_Extensions.htm.img_tag+Remove_Argument_Icon:0,{IMG_TXT} Remove Argument Icon,{IMG_TXT} 引数を削除アイコン
