The_Track_Panel.htm+html.head.title:55-3,The Track Panel,トラックパネル
The_Track_Panel.htm+html.head.title:59-3,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.div.div.div[title]:73-7,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.div.div.div:73-7,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.h1:86-3,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Track Panel,{IMG_TXT} トラックパネル
The_Track_Panel.htm+html.body.p:87-3,What your sequences do are governed by the assets and parameters that have been added to the <strong>Track Panel</strong>. You can add a track to the editor by either:,シーケンスの動作は<strong>トラックパネル</strong>に追加されたアセットとパラメーターによって制御されます。以下のいずれかの手順でエディタにトラックを追加することができます。
The_Track_Panel.htm+html.body.ul.li:90-5,"dragging an asset into the sequence <a href=""The_Sequence_Canvas.htm"">Canvas</a>","アセットをシーケンス<a href=""The_Sequence_Canvas.htm"">キャンバス</a>にドラッグ"
The_Track_Panel.htm+html.body.ul.li:91-5,dragging an asset into the Track Panel itself,アセットをトラックパネルにドラッグ
The_Track_Panel.htm+html.body.ul.li:92-5,"by clicking the ""Add Asset"" <img_tag=Add_Track_Icon:0> button at the bottom of the Track Panel.",トラックパネルの下にある「アセットを追加」<img_tag=Add_Track_Icon:0>ボタンをクリック
The_Track_Panel.htm+html.body.p:94-3,This last method will open the Asset Explorer for you where you can choose the asset to add.,3番目の手順ではアセットエクスプローラーが開きますので、そこから追加したいアセットを選択しましょう。
The_Track_Panel.htm+html.body.p:95-3,"Regardless of the method you choose, a new <a class=""tooltip"" title=""TITLE_KEY::asset_track"">asset track</a> will be made for the asset. This track is the main track for the asset in the sequence and will have a corresponding <a class=""tooltip"" title=""TITLE_KEY::asset_key"">asset key</a> track created for the asset in the Dope Sheet at the <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> position:","どの手順で追加した場合も、アセットには新しい<a class=""tooltip"" title=""TITLE_KEY::asset_track"">アセットトラック</a>が与えられます。このトラックはシーケンスに追加されたアセットのメイントラックであり、ドープシートの<a class=""tooltip"" title=""TITLE_KEY::playhead"">再生ヘッド</a>位置に作成される<a class=""tooltip"" title=""TITLE_KEY::asset_key"">アセットキー</a>トラックと対応しています。"
The_Track_Panel.htm+html.body.p.img[alt]:96-6,{IMG_TXT} Add An Asset To The Track Panel,{IMG_TXT} トラックパネルにアセットを追加
The_Track_Panel.htm+html.body.p:96-3,Note that the colour of the Asset Key in the Dope Sheet can be set from the Track Panel by clicking the coloured bar at the end. This will open up the <strong>Colour Picker</strong> where you can choose which colour to use for the key tracks in the Dope Sheet.,ドープシートのアセットキーの色は、トラックパネルの端にあるカラーバーをクリックすると変更できます。クリックすると開く<strong>カラーピッカー</strong>から、ドープシートのキートラックに割り当てる色を選択しましょう。
The_Track_Panel.htm+html.body.p:98-3,"Each asset in the track editor can also have a set of <a class=""tooltip"" title=""TITLE_KEY::parameter_tracks"">parameter tracks</a> added to it. These tracks are what control the various different properties (parameters) that can be modified for the track over time. The different parameters available are covered in depth in the section on ""<strong>Adding Parameter Tracks</strong>"" further down this page, but to give you an idea of what's available here is a brief list:","トラックエディタのアセットには<a class=""tooltip"" title=""TITLE_KEY::parameter_tracks"">パラメータートラック</a>を追加できます。このトラックはさまざまな属性（パラメーター）を操作するためのもので、時間によって変化させることができます。利用可能なパラメーターについてはこのページの下部にある「<strong>パラメータートラックの追加</strong>」セクションで詳しく説明されていますが、どういうパラメーターがあるのかここで簡単に紹介しておきましょう。"
The_Track_Panel.htm+html.body.ul.li:101-5,<strong>All Assets</strong>: <em>Position </em>and <em>rotation</em>.,"<strong>すべてのアセット</strong>: <em>位置</em>, <em>回転</em>"
The_Track_Panel.htm+html.body.ul.li:102-5,<strong>Sounds</strong>: <em>Pitch </em>and <em>Volume</em>.,"<strong>サウンド</strong>: <em>ピッチ</em>, <em>ボリューム</em>"
The_Track_Panel.htm+html.body.ul.li:103-5,<strong>Sequences</strong>: <em>Origin </em>and <em>Scale</em>.,"<strong>シーケンス</strong>: <em>原点</em>, <em>スケール</em>"
The_Track_Panel.htm+html.body.ul.li:104-5,"<strong>Sprites and Objects</strong>: <em>Origin</em>, <em>Scale</em>, <em>Image Index</em>, <em>Image Speed</em>, and <em>Colour Blend</em>.","<strong>スプライトとオブジェクト</strong>: <em>原点</em>, <em>スケール</em>, <em>画像のインデックス</em>, <em>画像の速度</em>, <em>カラーブレンド</em>"
The_Track_Panel.htm+html.body.p:106-3,"To add a parameter track in the editor you can enable ""<strong>Automatically Record Changes</strong>"" <img_tag=Record_Changes_Icon:0> in the Track Panel, which will then add parameter keys for any changes you make to an asset in the Canvas at the current playhead position, as shown here:",エディタにパラメータートラックを追加するには、トラックパネルから「<strong>変更の自動記録</strong>」<img_tag=Record_Changes_Icon:0>を有効にします。有効にしたままキャンバスのアセットに変更を加えると、再生ヘッドの位置にパラメーターキーが追加されます。以下の画像がその例です。
The_Track_Panel.htm+html.body.p.img[alt]:108-6,{IMG_TXT} Adding A Parameter Key To An Asset In The Canvas,{IMG_TXT} キャンバスのアセットにパラメーターキーを追加
The_Track_Panel.htm+html.body.p:108-3,"Alternatively, you can click the ""<strong>Add Parameter Track</strong>"" <img_tag=Add_Parameter_Track_Button:0> button, which will open up a menu showing you the different options available:",ほかにも「<strong>パラメータートラックを追加</strong>」<img_tag=Add_Parameter_Track_Button:0>ボタンをクリックするとメニューが開き、以下の選択項目が現れます。
The_Track_Panel.htm+html.body.p.img[alt]:109-6,{IMG_TXT} Adding A Parameter Track To An Asset In The Track Panel,{IMG_TXT} トラックパネルのアセットにパラメータートラックを追加
The_Track_Panel.htm+html.body.p:109-3,"Selecting any option from this menu, or recording directly from the IDE, will create one or more parameter tracks underneath the main asset track, and also add a <a class=""tooltip"" title=""TITLE_KEY::parameter_key"">parameter key</a> to the Dope Sheet, coloured the same as the main asset track colour:","メニューの項目を選ぶ、またはIDEから直接記録を行うと、メインアセットトラックの下にパラメータートラックが1つ以上作成され、<a class=""tooltip"" title=""TITLE_KEY::parameter_key"">パラメーターキー</a>がドープシートに追加されます。このキーの色はメインアセットトラックと同一になります。"
The_Track_Panel.htm+html.body.p.img[alt]:111-6,{IMG_TXT} Parameter Tracks In The Track Panel And Dope Sheet,{IMG_TXT} トラックパネルとドープシートのパラメータートラック
