Layer_Properties.htm+html.head.title:55-3,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.head.title:59-3,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.body.div.div.div[title]:73-7,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.body.div.div.div:73-7,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.body.h1:86-3,Layer Types And Properties,レイヤーの種類とプロパティ
Layer_Properties.htm+html.body.p:87-3,"Everything that goes into the room you create in the <a href=""../Rooms.htm"">Room Editor</a> is placed on a <strong>layer</strong>. Layers can be added, removed, and sorted from the Layers Editor, and come in a variety of different types, each with their own set of options and way of working. You aren't limited to the number of each type of layer, and can have multiple tile layers, or path layers, or instance layers, etc... Each type of layer has it's own <strong>properties window</strong> where you can set different things depending on the layer type. You can also toggle the layers visibility, with invisible layers <em>not </em>being processed at runtime (but you can make them visible again at any time using the appropriate <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Rooms/General_Layer_Functions/layer_set_visible.htm"">layer function</a>).","<a href=""../Rooms.htm"">ルームエディタ</a>で作成したものはすべて<strong>レイヤー</strong>の中に置かれます。レイヤーはいずれもレイヤーエディタから追加・削除したり、整理することができます。レイヤーにはタイルレイヤー、パスレイヤー、インスタンスレイヤーといった種類があり、それぞれに専用の設定、仕組みがあります。数には上限がなく、どんな種類のレイヤーでも複数追加可能です。レイヤーには種類ごとに<strong>プロパティウィンドウ</strong>があり、レイヤーの種類によって設定できる内容は異なります。レイヤーは表示の切り替えも可能で、非表示にしたレイヤーは実行時に<em>処理されません</em>（ただし専用の<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Rooms/General_Layer_Functions/layer_set_visible.htm"">レイヤー関数</a>によっていつでも再表示できます）。"
Layer_Properties.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Room Layers,{IMG_TXT} ルームのレイヤー
Layer_Properties.htm+html.body.p:89-3,"The image above shows the layer editor, with the current layers being listed at the top, and the different buttons for creating layers at the bottom. You can rename any layer from this editor by doing a slow double click on the name (note that you cannot use anything except letters numbers and the underbar ""_"" character for names) and you can also switch its visibility on or off by clicking the eye icon <img_tag=Eye_Icon:0>. If the room has inherited layers from a parent room, you can toggle the inheritance from the button at the bottom, but note that this will affect all layers (see <a href=""Room_Inheritance.htm"">here</a> for more information on inheritance). You can also use <img_tag=Shift_Icon:0> or <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and left click <img_tag=LMB_Icon:0> on multiple layers to select them for duplication or deletion (these options are also available from the right mouse <img_tag=RMB_Icon:0> Menu).","レイヤーエディタはこのような見た目をしています。上部はレイヤーリスト、下部はレイヤー作成ボタンとなります。表示されている名前をゆっくりダブルクリックするとレイヤーの名前を変更でき（英数字および""_""記号のみ受け付けます）、目アイコン<img_tag=Eye_Icon:0>をクリックするとレイヤーの表示を切り替えられます。親ルームから継承されたレイヤーがある場合、下のボタンから継承の切り替えができますが、すべてのレイヤーに影響するためご注意ください（<a href=""Room_Inheritance.htm"">こちら</a>で詳しく解説されています）。なお、<img_tag=Shift_Icon:0>または<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらレイヤーをクリック<img_tag=LMB_Icon:0>すると複数選択でき、まとめて複製したり削除できるようになります（ボタンだけでなく右クリック<img_tag=RMB_Icon:0>メニューからも同じ操作が可能です）。"
Layer_Properties.htm+html.body.p:93-3,"To help with ordering your layers and keeping them tidy, you can create groups of layers in a layer folder by clicking the folder icon <img_tag=Folder_Icon:0>. You can also delete one or more selected layers by clicking the delete button <img_tag=Delete_Layer_Icon:0>. All layers will have a <strong>depth </strong>value, which defines where in the draw order that layer will be placed when its contents are <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> in the room. Layers are drawn from the <em>highest </em>depth to the <em>lowest</em>, so a layer at a depth of -100 will be drawn <em>over </em>a layer with a depth of 200.","レイヤーの並びを整理したくなったら、フォルダボタン<img_tag=Folder_Icon:0>をクリックしてレイヤーフォルダを作成し、レイヤーをフォルダの中に入れましょう。削除ボタン<img_tag=Delete_Layer_Icon:0>を押した場合は、選択中のレイヤーをまとめて削除できます。すべてのレイヤーには<strong>深度</strong>値という、ルームにレイヤーの内容が<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>されたときに、そのレイヤーが描画順のどこに置かれるかを決める値があります。レイヤーは<em>高い</em>深度から<em>低い</em>深度へと描画されるため、深度が-100のレイヤーがある場合、深度が200のレイヤーより<em>前</em>に描画されます。"
Layer_Properties.htm+html.body.p:97-3,<strong>IMPORTANT!</strong> There is a minimum and maximum layer depth of -16000 to 16000. Anything placed on a layer outside that range will not be drawn although all events will still run as normal for anything on the layer.,<strong>重要！</strong>レイヤーの深度には-16000から16000までの上限値があり、上限外のレイヤーに置かれたインスタンスは描画されません。ただしレイヤー上にあるもののイベントはすべて通常どおりに実行されます。
Layer_Properties.htm+html.body.p:98-3,If you right-click <img_tag=RMB_Icon:0> on any layer you get the layer menu:,レイヤーを右クリック<img_tag=RMB_Icon:0>すると、以下のレイヤーメニューが開きます。
