HTTP.htm+html.head.title:55-3,HTTP,HTTP
HTTP.htm+html.head.title:59-3,HTTP,HTTP
HTTP.htm+html.body.div.div.div[title]:73-7,HTTP,HTTP
HTTP.htm+html.body.div.div.div:73-7,HTTP,HTTP
HTTP.htm+html.body.h1:86-3,HTTP,HTTP
HTTP.htm+html.body.p.img[alt]:87-6,{IMG_TXT} HTTP Event,{IMG_TXT} HTTPイベント
HTTP.htm+html.body.p:87-3,"The HTTP Event is one that is triggered by the <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a> from one of the <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/HTTP.htm""><span class=""inline"">http_*()</span> functions</a>, like <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_post_string.htm""><span class=""inline"">http_post_string()</span></a>. It actually generates a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> that is exclusive to this event and is stored in the special variable <span class=""inline""><a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm"">async_load</a> </span>(please see the individual functions for code examples that explain the use of this event in further detail). This DS map has the following general structure:","HTTPイベントは、<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_post_string.htm""><span class=""inline"">http_post_string()</span></a>のような<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/HTTP.htm""><span class=""inline"">http_*()</span></a>系関数からの<a class=""tooltip"" title=""TITLE_KEY::callback"">コールバック</a>によって作動するイベントです。作動時にはイベント内だけで使える<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>が生成され、<span class=""inline""><a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm"">async_load</a></span>という専用の変数に含まれます（イベントの詳しい使い方については、各関数のページにあるサンプルコードを参照してください）。このDSマップは次のような構造となっています。"
HTTP.htm+html.body.ul.li:92-5,"""<span class=""inline"">id</span>"": The id which was returned from the command. If you fire off a series of <span class=""inline"">http_</span> requests then you need to know which one you are getting the reply to, and so you would use this value to compare to the value you stored when you originally sent the request to find the right one.","""<span class=""inline"">id</span>"": コマンドから返されるIDです。<span class=""inline"">""http_""</span>リクエストを連続して送信した場合、どのリクエストに応答するかを確認する必要があります。最初にリクエストを送信したときに保存された値とこの値を比較すれば、該当するリクエストを調べることができます。"
HTTP.htm+html.body.ul.li:94-5,"""<span class=""inline"">status</span>"": Returns a value of less than 0 for an error, 0 for success and 1 if content is being downloaded.","""<span class=""inline"">status</span>"": 返された値が0より小さければエラー、0なら成功、1ならコンテンツのダウンロード中となります。"
HTTP.htm+html.body.ul.li:95-5,"""<span class=""inline"">result</span>"": The data received (string only), or the path to the file downloaded if you have used <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_get_file.htm""><span class=""inline"">http_get_file()</span></a>.","""<span class=""inline"">result</span>"": 受信したデータ（文字列のみ）、または<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/HTTP/http_get_file.htm""><span class=""inline"">http_get_file()</span></a>からの場合はダウンロードされたファイルのパスとなります。"
HTTP.htm+html.body.ul.li:96-5,"""<span class=""inline"">url</span>"": The complete URL you requested.","""<span class=""inline"">url</span>"": リクエストした正式なURLです。"
