Rooms.htm+html.head.title:55-3,Rooms,ルーム
Rooms.htm+html.head.title:59-3,Rooms,ルーム
Rooms.htm+html.body.div.div.div[title]:73-7,Rooms,ルーム
Rooms.htm+html.body.div.div.div:73-7,Rooms,ルーム
Rooms.htm+html.body.h1:86-3,The Room Editor,ルームエディタ
Rooms.htm+html.body.p:88-3,"The room editor is where you create your game <strong>rooms</strong>. Every game requires <em>at least one room to run</em>, and in the room you can place instances, sprites, tiles, paths and backgrounds. Each of these different assets can be placed on their own unique <strong>layer </strong>which can then be ordered however you wish in the <strong>Layers Editor</strong>. Due to the complexity of the room editor, we'll give you first a brief overview of the most important features, and then you can find more in-depth details from the section links listed below.",ルームエディタでは、ゲームの<strong>ルーム</strong>を作成できます。どんなゲームでも<em>実行するには1つ以上のルームが必要</em>となり、ルームにはインスタンスやスプライト、タイル、背景、パスといったアセットを置くことができます。それぞれのアセットは専用の<strong>レイヤー</strong>に置かれることになり、<strong>レイヤーエディタ</strong>からはレイヤーの順番を並び替えることが可能です。ルームエディタは複雑なツールため、ここでは一番大事な機能について簡単に紹介しましょう。詳しい領域については下側に並べられているリンク先を見てください。
Rooms.htm+html.body.p:91-3,"When you create a room resource, you can right click <img_tag=RMB_Icon:0> on it in the Asset Browser to open the context menu, which will permit you to create <strong>child rooms </strong>(see the page on <a href=""Room_Properties/Room_Inheritance.htm"">Inheritance</a> for more information), open up the room for editing, add a new resource group to better organise the rooms, rename the room or delete it. Note that to change the room order and/or inheritance you need to use the <a href=""../Settings/The_Room_Manager.htm"">Room Manager</a>, which you can open using the menu in the top right of the Asset Browser.","ルームリソースを作成するには、アセットブラウザを右クリック<img_tag=RMB_Icon:0>してメニューを開きます。メニューからは<strong>子ルーム</strong>（詳しくは<a href=""Room_Properties/Room_Inheritance.htm"">継承関係</a>のページを参照）を作成したり、作成したルームをエディタから編集できるほか、グループを追加してルームを整理したり、ルームの名前変更や削除ができます。なお、ルームの順番、継承関係については<a href=""../Settings/The_Room_Manager.htm"">ルームマネージャー</a>から変更しなくてはなりません。このツールはアセットブラウザ右上のメニューから開けます。"
Rooms.htm+html.body.p:94-3,"The room editor is itself a <a href=""../Introduction/Workspaces.htm"">workspace</a> and as such you can click <img_tag=LMB_Icon:0> on the tab and drag it off of the main window into a new window of its own - perhaps in another display, for example. You can also place it back into the main window by dragging the tab to the top of the IDE and releasing the mouse button.","ルームエディタは1つの<a href=""../Introduction/Workspaces.htm"">ワークスペース</a>であるため、タブをクリック<img_tag=LMB_Icon:0>してメインウィンドウの外にドラッグすれば新しいウィンドウとして分離できます（別のディスプレイまで動かすことも可能です）。分離したウィンドウは、タブをクリックしてIDEの上部にドラッグすればメインウィンドウに戻せます。"
Rooms.htm+html.body.p:95-3,"The user interface for the room editor is simple to navigate and split in various discrete sections. Those parts of the editor that are docked - the <strong>room properties</strong> and the <strong>layer editor</strong> as well as the different layer property sections - can also be removed from the dock by simply dragging them out into the workspace, and they can be added back into the docks again by dragging them to the sides or the bottom of the workspace.",ルームエディタには簡単に操作できるインターフェースが備わっています。インターフェースは複数の領域に分かれており、そのうち<strong>ルームプロパティ</strong>、<strong>レイヤーエディタ</strong>、レイヤープロパティの領域はエディタにドックされていますが、ワークスペースの外にドラッグすればドックを解除できます。元に戻したいときは、ワークスペースの上下左右の端にドラッグしてください。
Rooms.htm+html.body.p:97-3,Below is a brief overview of each of the Room Editor sections:,以下の節は、ルームエディタの各領域についての概要です。
Rooms.htm+html.body.p:98-3,"<span data-open-text=""true"">Rulers / Guides</span><span data-close-text=""true"">Rulers / Guides</span>","<span data-open-text=""true"">定規 / ガイド</span><span data-close-text=""true"">定規 / ガイド</span>"
