Auto_Tiles.htm+html.head.title:55-3,Auto Tiles,オートタイル
Auto_Tiles.htm+html.head.title:59-3,Auto Tiles,オートタイル
Auto_Tiles.htm+html.body.div.div.div[title]:73-7,Auto Tiles,オートタイル
Auto_Tiles.htm+html.body.div.div.div:73-7,Auto Tiles,オートタイル
Auto_Tiles.htm+html.body.h1:86-3,Auto Tiles,オートタイル
Auto_Tiles.htm+html.body.p:87-3,"The <strong>Auto Tile</strong> feature is an incredibly powerful tool that can be used to make level building much easier, whether it is for a top down or side on view project. Essentially, you create an auto tile <em>library</em>, and then whenever you lay down a tile from that library it will ""connect"" with those tiles that are around it to create a seamless wall or platform.",<strong>オートタイル</strong>は非常に強力なツールで、プロジェクトが横視点でも、見下ろし型でも、レベルをずっと楽に構築できるようになります。簡単に言えば、オートタイルの<em>ライブラリ</em>を作成すると、ライブラリのタイルを敷くたびに周囲のタイルとつなぎ合わされ、継ぎ目のない壁や足場を作ることができます。
Auto_Tiles.htm+html.body.p:89-3,"Before you start using the auto tile feature however, it is very important that you have set up the tile set sprite correctly and that you choose an appropriate type of auto tile. The types available to you are <strong>47 tile </strong>auto tiles, or <strong>16 tile </strong>auto tiles, with (in general) 16 tiles being used for top down or landscapes (since they give nicer transitions) and 47 being used for platformer/side on views or topdown where walls require multiple connections, but that is by no means a hard and fast rule and will depend on how you want your final project to look.",ただしオートタイル機能を使い始めるには欠かせない事があり、それはタイルセットのスプライトを正しく設定し、適切なオートタイルのタイプを指定することです。オートタイルの利用可能タイプは<strong>47タイル</strong>、<strong>16タイル</strong>のいずれかであり、基本的に16タイルは見下ろし型または景観用であり（より適切に切り替わるため）、47タイルは横スクロールや、見下ろし型でも複数つなぎ合わせる壁がある場合などに向いています。とはいえ厳密な決まりではなく、プロジェクトを最終的にどのような見た目にするか次第です。
Auto_Tiles.htm+html.body.p:92-3,The image below shows a typical 47 tile and 16 tile tile set for autotiling:,以下の画像は、47タイルおよび16タイルの一般的なタイルセットによるオートタイルです。
Auto_Tiles.htm+html.body.p.img[alt]:93-6,{IMG_TXT} Two Autotile Examples,{IMG_TXT} 2つのオートタイル例
Auto_Tiles.htm+html.body.p:93-3,"Now, just looking at the images doesn't really tell you how they will fit together so we'll open the <strong>Autotile Editor</strong> from the <a href=""../Tile_Sets.htm"">Tile Set Editor</a> and add them. The Autotile Editor looks like this:","この画像を見ただけではどのように組み合わされるのか分かりませんから、<a href=""../Tile_Sets.htm"">タイルセットエディタ</a>から<strong>オートタイルエディタ</strong>を開いてタイルを追加していきましょう。するとこのように表示されます。"
Auto_Tiles.htm+html.body.p.img[alt]:94-6,{IMG_TXT} Autotile Editor,{IMG_TXT} オートタイルエディタ
Auto_Tiles.htm+html.body.p:94-3,"Note that the tile set sprite being used has ALL the tiles we require, and can also have other tiles, since you can pick and choose which ones to be in the auto tile. You can now click <img_tag=LMB_Icon:0> on the 47 tile button in the Templates area to create a new 47 tile library entry and it will bring up the template to use for selecting the tiles you need:",このタイルセットに使用されているスプライトには必要なタイルがすべて含まれていますが、オートタイルに加えるタイルを選択できるため、別のタイルを追加することもできます。テンプレート領域に表示されている47タイルボタンをクリック<img_tag=LMB_Icon:0>すると47タイルライブラリの項目が作成され、タイルを指定するためのテンプレートが表示されます。
Auto_Tiles.htm+html.body.p.img[alt]:97-6,{IMG_TXT} 47 Tile Template,{IMG_TXT} 47タイルテンプレート
Auto_Tiles.htm+html.body.p:97-3,"In the template, the light grey area represents the outside edge of the tile being used and the darker grey is the ""fill"" area. To add a tile into the template, simply click on the first available template cell and then select the tile to add from the left:",テンプレートは灰色で表示されており、明るいところはタイルの外側、暗いところは塗りつぶされる領域となります。タイルをテンプレートに追加するには、まずテンプレートのセルをクリックし、それから左側のタイルを選択してください。
Auto_Tiles.htm+html.body.p.img[alt]:99-6,{IMG_TXT} Adding Auto Tiles To The Library,{IMG_TXT} オートタイルをライブラリに追加
Auto_Tiles.htm+html.body.p:99-3,"If you make a mistake, simply select the autotile that you want to remove and select the ""empty"" tile from the tile set. After you have added them all in you can check the tiles against the template by clicking the ""Show Template"" button <img_tag=Show_Template_Icon:0> at the top, and this will toggle the template overlay on the final autotile, as shown in the image below:",間違えて追加してしまったなら、削除したいオートタイルを選択し、タイルセットから「空のタイル」を選ぶと削除できます。タイルをすべて追加できたら、一番上にある「テンプレート表示」ボタン<img_tag=Show_Template_Icon:0>をクリックし、タイルとテンプレートを照らし合わせてみましょう。クリックするとテンプレートをオートタイルに重ねるかを切り替えることができ、次のように表示されます。
Auto_Tiles.htm+html.body.p.img[alt]:102-6,{IMG_TXT} Show The Autotile Template,{IMG_TXT} オートタイルのテンプレートを表示
Auto_Tiles.htm+html.body.p:102-3,"If you want to make a 16 tile autotile, the proceedure is exactly the same as that explained above, only instead of using the 47 tile template you use the 16 tile template:",16タイルのオートタイルでも上記とまったく同じ手順で、テンプレートのみ47タイルではなく16タイルのものとなります。
Auto_Tiles.htm+html.body.p.img[alt]:104-6,{IMG_TXT} 16 Tile Template,{IMG_TXT} 16タイルテンプレート
Auto_Tiles.htm+html.body.p:104-3,"We now have some auto tiles in our auto tile library taken from a tile set. These can be used in the room editor by simply creating a tile map layer and then selecting one of the auto tiles from the library (which will select automatically the auto tile brush from the top of the room editor) and painting in your room. The tiles will now ""auto-magically"" connect up to create properly sequenced tile maps.",これでタイルセットから作られたライブラリにオートタイルが追加されました。オートタイルはルームエディタでタイルマップレイヤーを作成し、ライブラリから選択して描くことができます（同時にルームエディタ上部のオートタイルブラシが自動的に選択されます）。これでタイルが魔法のようにつなぎ合わされ、きちんと並べられたタイルマップを作れるようになります。
Auto_Tiles.htm+html.body.p.img[alt]:107-6,{IMG_TXT} Autotile In The Room Editor,{IMG_TXT} ルームエディタのオートタイル
Auto_Tiles.htm+html.body.p:107-3,"Please note that the behaviour of an autotile around the room edges will depend on the <strong>Open Or Closed Edges</strong> button <img_tag=Open_Close_Edges_Icon:0>. By default when an auto tile is placed along the edge of a room, it will choose a tile as if the outside of the room was empty (ie: it'll give the room an ""edge""). However if you click this button, the autotile will tile the room as if the area outside was filled with tiles and so choose tiles that blend and have no ""edge"".",なお、オートタイルのルームの一番端にオートタイルを置いたときの動作は<strong>端の部分を開く/閉じる</strong>ボタン<img_tag=Open_Close_Edges_Icon:0>を押したかによって変わります。デフォルトでは、ルームの外側に何もない（ルームに端がある）と見なしてタイルが置かれます。ボタンを押した場合は、ルームの外側がタイルによって塗りつぶされていると見なしてタイルが並べられることになり、一体となる「端」のないタイルが選ばれます。
