Tile_Sets.htm+html.head.title:55-3,Tile Sets,タイルセット
Tile_Sets.htm+html.head.title:59-3,Tile Sets,タイルセット
Tile_Sets.htm+html.body.div.div.div[title]:73-7,Tile Sets,タイルセット
Tile_Sets.htm+html.body.div.div.div:73-7,Tile Sets,タイルセット
Tile_Sets.htm+html.body.h1:86-3,The Tile Set Editor,タイルセットエディタ
Tile_Sets.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Tile Set Editor,{IMG_TXT} タイルセットエディタ
Tile_Sets.htm+html.body.p:87-3,"A <strong>tile set</strong> is a graphic resource for drawing levels and other static components of your game. A tile set is comprised of a single image that is then split into different ""cells"" (tiles), and each tile can then be placed into the room editor to create a complete image. Below you can see two example sprites that can be used as tile sets:",<strong>タイルセット</strong>とはレベル（ステージ）や、それ以外の動かない要素を描画するためのグラフィックリソースです。タイルセットはセル（各タイル）ごとに分けられた1枚の画像からなり、それぞれのタイルをルームエディタで配置して新しい画像を作り上げることになります。以下はタイルセットとして扱えるスプライトの例です。
Tile_Sets.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Tile Set Example,{IMG_TXT} タイルセットの例
Tile_Sets.htm+html.body.p:90-3,"Images by <a href=""http://www{-dot-}lostgarden{-dot-}com/2006/07/more-free-game-graphics.html"">Lost Garden</a>","画像提供: <a href=""http://www{-dot-}lostgarden{-dot-}com/2006/07/more-free-game-graphics.html"">Lost Garden</a>"
Tile_Sets.htm+html.body.p:91-3,"These are the most common ways that people create tile sets - either all jammed up together or with little spaces separating them out, and GameMaker Studio 2 can handle both types. Essentially all tile sets must be comprised of images that fit within a clearly defined grid, with each cell of the grid being the <em>exact same size</em> (note that while the images shown above are all made up of square tiles, a tile set can be made from rectangular tiles too).",タイルセットを作る上でもっとも一般的な形式は、タイルをすき間なく詰め込むか、少しの余白を空けるというもので、GameMaker Studio 2ではこの両方を扱うことができます。基本的にあらゆるタイルセットは明確に定義された、各セルが<em>同じ大きさ</em>のグリッドに収まる画像で作られています（なお上記の画像ではすべてのタイルが真四角ですが、タイルセットは長方形のタイルでも作成できます）。
Tile_Sets.htm+html.body.p:93-3,"When creating your tile sets, keep in mind that <strong>the top left grid cell must <em>always </em>be empty</strong> as this is the tile that GameMaker Studio 2 will use for ""empty"" tiles in a room and for erasing existing tiles (and even if you have pixels in that part of the image they will be ignored).",タイルセットを作成する際は、<strong>一番左上のグリッドセルが<em>必ず</em>空</strong>になることを忘れないでください。このタイルはGameMaker Studio 2では「空のタイル」として扱われ、既存のタイルを消すためのものとなります（そのため画像の左上部分にあるピクセルは無視されます）。
Tile_Sets.htm+html.body.p:95-3,When you first create a tile set resource the Tile Set Editor window will open with the following options:,タイルセットリソースを作成すると、タイルセットエディタのウィンドウが開いて以下の項目が表示されます。
Tile_Sets.htm+html.body.p:97-3,"<span data-open-text=""true"">Name</span><span data-close-text=""true"">Name</span>","<span data-open-text=""true"">名前</span><span data-close-text=""true"">名前</span>"
Tile_Sets.htm+html.body.div.p:99-5,"Here you can give a name to your tile set. Names can only be alpha-numeric and may only use the underbar ""_"" symbol, and they cannot start with a number.","タイルセットに名前を付けることができます。英数字および""_""記号のみ利用可能で、先頭の文字は数字以外にしなくてはなりません。"
Tile_Sets.htm+html.body.p:102-3,"<span data-open-text=""true"">Sprite</span><span data-close-text=""true"">Sprite</span>","<span data-open-text=""true"">スプライト</span><span data-close-text=""true"">スプライト</span>"
Tile_Sets.htm+html.body.div.p:104-5,"Here you can select the <a href=""../Quick_Start_Guide/Creating_Sprites.htm"">sprite</a> asset from which to create our tile set. Clicking on the main button will open the Asset Explorer where you can choose the sprite you wish to use for the tile set:","タイルセットを構成する<a href=""../Quick_Start_Guide/Creating_Sprites.htm"">スプライト</a>アセットを選択できます。大きいボタンをクリックするとアセットエクスプローラーが開きますので、タイルセットに利用するスプライトを指定しましょう。"
Tile_Sets.htm+html.body.div.p.img[alt]:105-25,{IMG_TXT} The Asset Explorer Window,{IMG_TXT} アセットエクスプローラーのウィンドウ
Tile_Sets.htm+html.body.div.p:105-5,"You can also click on the <strong>New Sprite</strong> button <img_tag=New_Sprite_Icon:0> button to create a new sprite asset (which will open the <a href=""Sprites.htm"">Sprite Editor</a> for the new asset within the workspace for editing), or you can edit the currently selected sprite using the <strong>Edit Sprite</strong> button <img_tag=Edit_Sprite_Icon:0>, or even choose to edit the sprite image itself in the <a href=""Image_Editor.htm"">Image Editor</a> by pressing the <img_tag=Edit_Image_Icon:0> button.","また、<strong>スプライト新規作成ボタン</strong><img_tag=New_Sprite_Icon:0>をクリックすると新しいスプライトアセットを作成できます（ワークスペースに<a href=""Sprites.htm"">スプライトエディタ</a>も開かれます）。<strong>スプライト編集</strong>ボタン<img_tag=Edit_Sprite_Icon:0>をクリックした場合はスプライトを編集でき、<img_tag=Edit_Image_Icon:0>ボタンの場合はスプライトの画像を<a href=""Image_Editor.htm"">イメージエディタ</a>で編集できます。"
Tile_Sets.htm+html.body.div.p:106-5,"By default when you open a tile set the <strong>Tile Set Properties</strong> window will also be shown (see below), but if you close it then you can click the button here to reopen it again.",タイルセットを開いた際、デフォルトでは<strong>タイルセットプロパティ</strong>のウィンドウも表示されます。このウィンドウは閉じてしまっても、ボタンをクリックして開き直すことができます。
Tile_Sets.htm+html.body.p:109-3,"<span data-open-text=""true"">Properties</span><span data-close-text=""true"">Properties</span>","<span data-open-text=""true"">プロパティ</span><span data-close-text=""true"">プロパティ</span>"
Tile_Sets.htm+html.body.div.p:111-5,"The <strong>Tile Set Properties</strong> window is for designating the base tile size (default is 16px square), the offset amount and the separation between tiles (these last two options are for use with sprites like the one shown in the example image further up this page where there are gaps between the individual parts of the tiles). You can also set the <strong>Output Border</strong> values for the tile set image, which controls how the image will be stored on disk and add extra pixels around each tile as required.",<strong>タイルセットプロパティ</strong>のウィンドウでは、タイルの基本サイズ、オフセット量、タイル間の余白を指定できます（最後の2つはページ上部のサンプル画像のような、各部分にすき間があるタイルセット用のオプションです）。また、<strong>出力境界</strong>の値を設定するとタイルセット画像をディスク上にどう保存するかを制御し、必要に応じて各タイルの周囲にピクセルを追加できます。
Tile_Sets.htm+html.body.div.p:114-5,"Due to how tiles are rendered they need to be prepared beforehand with a border around each one to ""smear"" the edges. The image shown below illustrates how tiles are generally mapped by the device graphic drivers, with the red line around the tile showing where the U,V coordinates are mapped to (The letters ""U"" and ""V"" are used to describe the 2D texture mesh because ""X"", ""Y"" and ""Z"" are already used to describe room and object spatial coordinates):","タイルのレンダリング方法にまつわる理由で、タイルには縁を「塗り伸ばす」ための境界をあらかじめ用意しなくてはなりません。以下の画像は、デバイスのグラフィックドライバーによってタイルが通常どのようにマッピングされるかを示したもので、タイルの周りにある赤線がマッピングされるU,V座標となります（""U""と""V""は2Dテクスチャメッシュを言い表す文字で、これはすでにX、Y、Zがルームとオブジェクトの空間座標を表す文字として使われているためです）。"
Tile_Sets.htm+html.body.div.p.img[alt]:118-25,{IMG_TXT} Single Tile,{IMG_TXT} 1つのタイル
Tile_Sets.htm+html.body.div.p:118-5,"As you can see it picks the center of the <a class=""tooltip"" title=""TITLE_KEY::texel"">texel</a> to map directly when drawing the image in the room. Now at a scale of 1:1, this is all well and good, but what will happen when we scale this tile down? The issue with scaling down is that when you shrink the image, the UVs also scale down and try to fit into a more compressed space, but this obviously can't happen, so the graphics driver picks which texels to draw based on the available pixel centers.","ルームに画像を描画する際は、<a class=""tooltip"" title=""TITLE_KEY::texel"">テクセル</a>の中心を選んで直接マッピングを行います。これが等倍なら何も問題ありませんが、タイルを縮小している場合はどうでしょう？ここで問題となるのは、縮小されるのは画像だけでなくUVも同じで、UVはより狭くなった空間に押し込まれるものの、決して収まらないということです。そのため利用可能なピクセル中心に基づき、グラフィックドライバーによって描画するテクセルが選択されます。"
Tile_Sets.htm+html.body.div.p:121-5,"So, if we are ""just"" moving into a new screen pixel then, because the graphics drivers use the center of the pixel to decide what to draw with, it'll pick a texel surrounding the tile, not a texel on the tile itself.",そして新しい画面ピクセルに移動しかかっている場合、グラフィックドライバーによってピクセルの中心から描画内容が決められることになり、タイル上のテクセルではなく、タイルの周りのテクセルが選択されます。
Tile_Sets.htm+html.body.div.p.img[alt]:122-25,{IMG_TXT} Texel Tile,{IMG_TXT} テクセルタイル
Tile_Sets.htm+html.body.div.p:123-5,"Shown above is a tile being draw scaled down into 6 screen pixels, and this shows that when you overlap a little into the next screen pixel, the graphics driver has to make a choice to either drop that texel, or it try and fill it with what it thinks is a valid texel. Let's just say that in this case it decides to draw the overlapped texel into the screen pixel, and, since it's now clearly outside our tile it gets this pixel from either the next tile, or the little bits of space you provided around the tiles, which means that when it shrinks you'll get cracks between tiles ""glitches"" in how they are drawn and this is where a lot of confusion arises... Each graphics driver and device actually does this in its own way, meaning that the results can be unpredictable and look terrible... but if you're careful and plan ahead you can work around it.",上記の画像は、6つの画面ピクセルに縮小描画されたタイルで、隣の画面ピクセルに少しだけ重なっている場合、グラフィックドライバーによってテクセルを切り捨てるか、有効と見なしたテクセルによって塗りつぶすか選ばれることを示しています。この場合、重なってしまったテクセルを画面ピクセルに描画することになりますが、見てのとおりタイルの外に出ているため、隣のタイル、または指定したタイル周辺のわずかな空間からピクセルが取得されます。つまりタイルを縮小すると「異常」な描画によってタイルの間に亀裂が入ることがあり、場合によっては多くの乱れが生じてしまいます。グラフィックドライバーとデバイスはそれぞれ独自の方法で描画を行うため、予想のつかない悪い見た目となる場合がありますが、あらかじめ気をつけて対処することは可能です。
Tile_Sets.htm+html.body.div.p:127-5,"With high end games if you draw from a single texture (not on a texture page or texture atlas), you have the option of using a texture mode called <strong>clamp </strong>and what this does is repeats the last row of texels infinitely off into the distance, allowing you to scale without problems as it forces the hardware to get the last row of pixels no matter what. This is what the <strong>Output Border </strong>settings here do for you:",ハイエンドゲームで1枚のテクスチャ（テクスチャページおよびテクスチャアトラス上にないもの）から描画する場合、<strong>クランプ</strong>というテクスチャモードを使用するオプションがあります。このオプションはテクセルの最終行を無限に繰り返すというもので、ハードウェアによって強制的に最終行のピクセルが取得されるようになるため、問題なくスケーリングできるようになります。これこそが<strong>出力境界</strong>設定の働きです。
Tile_Sets.htm+html.body.div.p.img[alt]:129-25,{IMG_TXT} Smear Tile,{IMG_TXT} タイルの塗り伸ばし
Tile_Sets.htm+html.body.div.p:129-5,"Shown above is a ""fixed"" tile sprite and you can see it now has a repeated section around each tile meaning that when the hardware overruns, it will always pick the last texel from the tile rather than one of the spaces or the tile after that. So, when creating a tile set, keep in mind that if you are going to be zooming the game view in or out or are going to be rendering the tiles scaled, you may need to have a higher Output Border width or height than the default value of 2.",画像に表示されているのは「固定」されたタイルスプライトで、見てのとおりタイルの周辺部分が繰り返されています。これはハードウェア側での超過が起きた場合、直後にある空間かタイルのいずれかではなく、必ずタイルの最終テクセルが選択されるということを意味します。ですから、ビューのズーム操作をしたり、タイルを拡大縮小してレンダリングするつもりなら、タイルセットを作成するときに出力境界の縦横幅をデフォルト値の2より大きくする必要があることを忘れないでください。
Tile_Sets.htm+html.body.div.p:132-5,"Next, you can chose the <strong>texture group</strong> that you wish the tileset resource to belong to. Basically, a texture group (previously defined in the <a href=""../Settings/Texture_Groups.htm"">Texture Group Manager</a>) is something that you can set up so that all the image assets that you need for specific rooms or levels of your game can be stored together. So, for example, you can have all your level 1 images in one texture group, all your level 2 images in another etc... and GameMaker Studio 2 will try to place all those grouped assets on the same <a class=""tooltip"" title=""TITLE_KEY::texture_page"">texture page</a> to reduce texture page swapping while your game is running on the chosen target platform.","下のオプションからは、タイルセットリソースの帰属先となる<strong>テクスチャグループ</strong>を指定できます（あらかじめ<a href=""../Settings/Texture_Groups.htm"">テクスチャグループマネージャー</a>から作成する必要があります）。テクスチャグループとは、特定のルームあるいはレベルに使われる画像アセットをまとめて保存するためのもので、レベル1用の画像をあるグループに、レベル2用の画像を別のグループに入れるといったように設定します。こうしてまとめられたアセットは同じ<a class=""tooltip"" title=""TITLE_KEY::texture_page"">テクスチャページ</a>に置かれ、指定したターゲットプラットフォームでの実行時、テクスチャページのスワップ（切り替え）を減らすことができます。"
Tile_Sets.htm+html.body.div.div:135-5,<strong>NOTE</strong>: This may not always be necessary and the performance increase from this method will depend on whether the target device is CPU bound or GPU bound.,<strong>メモ</strong>: テクスチャページの設定は必須ではなく、パフォーマンスを向上できるかは対象デバイスがCPU、GPUのどちらに依存しているかによって異なります。
