iOS_Extensions.htm+html.head.title:55-3,iOS Extensions,iOS拡張機能
iOS_Extensions.htm+html.head.title:59-3,iOS Extensions,iOS拡張機能
iOS_Extensions.htm+html.body.div.div.div[title]:73-7,iOS Extensions,iOS拡張機能
iOS_Extensions.htm+html.body.div.div.div:73-7,iOS Extensions,iOS拡張機能
iOS_Extensions.htm+html.body.h1:86-3,iOS / tvOS Extensions,iOS / tvOS拡張機能
iOS_Extensions.htm+html.body.p:87-3,"To create an extension for iOS or tvOS you have to do it in two parts. The first part would be to add the extension itself, along with the required files etc... and the second is to create the functions and macros/constants that the extension requires. The functions and constants are added using <strong>placeholder </strong>files to group them together, so you'd add a placeholder and then define the functions and macros as explained in the section <a href=""Creating_An_Extension.htm"">here</a>. To add the rest of the files though you need to first tick the <em>iOS </em>and/or the <em>tvOS </em>check-box in the <strong>Additional Features</strong> section of the editor to open up the relevant <strong>Extension Properties</strong> window (the image below shows the iOS properties window, but the tvOS window is exactly the same):","iOSおよびtvOSの拡張機能は2つの手順から作成します。1つ目は拡張機能および必要ファイル等の追加、2つ目は関数およびマクロ/定数の作成です。関数と定数は<strong>プレースホルダ</strong>によってグループ化して追加されるため、<a href=""Creating_An_Extension.htm"">こちら</a>で説明されているようにプレースホルダのファイルを追加してから関数とマクロを定義しなくてはなりません。残りのファイルを追加するには、まずエディタの<strong>追加プラットフォーム</strong>領域にある<em>iOS</em>および（または）<em>tvOS</em>をチェックし、<strong>拡張機能プロパティ</strong>のウィンドウを開いてください（下の画像はiOSのプロパティウィンドウですが、tvOSのウィンドウもまったく同じものです）。"
iOS_Extensions.htm+html.body.p.img[alt]:91-23,{IMG_TXT} iOS Editor,{IMG_TXT} iOSエディタ
iOS_Extensions.htm+html.body.p:92-3,Here you give the following details:,以下はプロパティの詳細です。
iOS_Extensions.htm+html.body.ul.li:94-5,<strong>Linker Flags / Compiler Flags</strong>: Some frameworks and third party SDKs require the addition of extra linker flags and compiler flags to work which can be specified here (see the documentation that accompanies the SDK or framework in question for details).,<strong>リンカーフラグ / コンパイラフラグ</strong>: 一部のフレームワークやサードパーティSDKを動作させるには、リンカーフラグおよびコンパイラーフラグをこちらに入力する必要があります（詳しくはSDKまたはフレームワークの同梱ドキュメントを参照してください）。
iOS_Extensions.htm+html.body.ul.li:96-5,"<strong>Class Name</strong>: Your extension can have multiple classes, with each class having its own functions and constants, so you should give it a name that reflects its purpose",<strong>クラス名</strong>: 拡張機能には複数のクラスを用意でき、クラスごとに独自の関数、定数を追加できます。他のクラスと用途が区別できる名前をつけましょう。
iOS_Extensions.htm+html.body.ul.li:97-5,<strong>App Delegate Class Name</strong>: The name of your custom app delegate class. Setting this allows the extension to override/extend core app functionality. To use this feature you need to do the following:,<strong>アプリデリゲートクラス名</strong>: アプリのカスタムデリゲートクラス名です。この設定をすると、拡張機能によってコアアプリの機能をオーバーライド/拡張できるようになります。利用するには次の手順を踏んでください。
iOS_Extensions.htm+html.body.ul.li.ol.li:99-9,"Ensure that the delegate source files have the same name as the delegate class (e.g. <span class=""inline"">@interface MyCustomAppDelegate</span> should be defined in "" <span class=""inline"">MyCustomAppDelegate.h</span>"")","すべてのデリゲートソースファイル名をデリゲートクラスの名前に合わせます（例: <span class=""inline"">@interface MyCustomAppDelegate</span>は""<span class=""inline"">MyCustomAppDelegate.h</span>""で定義）"
