Shaders.htm+html.head.title:55-3,Shaders,シェーダー
Shaders.htm+html.head.title:59-3,Shaders,シェーダー
Shaders.htm+html.body.div.div.div[title]:73-7,Shaders,シェーダー
Shaders.htm+html.body.div.div.div:73-7,Shaders,シェーダー
Shaders.htm+html.body.h1:86-3,The Shader Editor,シェーダーエディタ
Shaders.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Shader Editor,{IMG_TXT} シェーダーエディタ
Shaders.htm+html.body.p:87-3,"Shaders are a very powerful tool that can be used to manipulate the graphics that your game renders to the screen, permitting incredibly fast effects that can range from, for example, adding a subtle colour hue to a sprite, right up to full screen distortion effects. But what is a shader?",シェーダーとは、ゲームによって画面上にレンダリングされるグラフィックを加工できる非常に強力なツールで、スプライトの色相をわずかに加算させるといったものから、ディストーションによって画面全体を歪ませるといったものまで、きわめて高速にエフェクトを適用可能です。そんなシェーダーですが、具体的にはどういったものなのでしょうか？
Shaders.htm+html.body.p:89-3,"A shader is basically a two-part program that runs directly on the graphics card itself, making it very fast since the GPU is doing all the work and freeing up CPU cycles for your game code. The full shader is comprised of a vertex shader program, and a fragment shader program (also known as a pixel shader). Both of these tiny programs work together in order to manipulate what the graphics card renders to the screen. This then permits you to manipulate in real time, the position, colour and alpha values that are actually <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> onto the <a class=""tooltip"" title=""TITLE_KEY::display_buffer"">display buffer</a>.","簡単に言うと、シェーダーとはグラフィックカードから直接実行される2つで一組のプログラムです。GPUがすべての処理を行うため非常に高速であり、ゲームコードによるCPUサイクルも解消できます。1つのシェーダーは、頂点シェーダープログラム、フラグメントシェーダープログラム（ピクセルシェーダーとも）という2つのプログラムによって構成されています。グラフィックカードから画面上にレンダリングされる対象をこれらの小さなプログラムに共同処理させることで、<a class=""tooltip"" title=""TITLE_KEY::display_buffer"">表示バッファ</a>に<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>される実際の位置、色、アルファ値をリアルタイムで加工できるのです。"
Shaders.htm+html.body.p:92-3,"<span data-open-text=""true"">Vertex Shader</span><span data-close-text=""true"">Vertex Shader</span>","<span data-open-text=""true"">頂点シェーダー</span><span data-close-text=""true"">頂点シェーダー</span>"
Shaders.htm+html.body.div.p:94-5,"The Vertex Shader is the programmable shader stage in the rendering pipeline that handles the processing of individual vertices (the points of the triangles used to render any image), and when you are rendering a geometry - like a sprite or a surface - GameMaker Studio 2 creates a stream of vertices - called a <strong>Vertex Buffer </strong>- that defines the geometry of these triangles. A sprite for example would have a geometry of two triangles (normally called <em>polygons</em>) rendered together to form a ""quad"". This vertex stream from the Vertex Buffer is fed as an input to the Vertex Shader, which can process the vertices data in a programmable way. The Vertex Shader output is used by the GPU to assemble triangles, which are then properly clipped and culled to the view port and view camera, and then sent on to the rasterizer block of the GPU which generates a new output stream, constituted by something called <strong>Fragments</strong>. These are tiny data structures, each of which is relative to a single pixel that appears on the screen.",頂点シェーダーは、頂点（画像をレンダリングする三角形内にある3つの点）を扱うレンダリングパイプラインにおけるプログラマブル・シェーダーステージです。スプライトやサーフェスといったジオメトリ（形状）をレンダリングする際、GameMaker Studio 2によって<strong>頂点バッファ</strong>という、三角形それぞれのジオメトリを定義する頂点ストリームが生成されます。たとえばスプライトには2つの三角形からなるジオメトリ（一般的には<em>ポリゴン</em>と呼ぶ）があり、三角形を合わせるようにレンダリングすることで「四角形」を成します。こうした頂点バッファのストリームは頂点シェーダーに入力として送られ、頂点データをプログラミングして処理できるようにします。頂点シェーダーの出力をもとにGPU側ですべての三角形が組み立てられ、ビューポートおよびビューカメラに収まるよう適切にクリップ&カリングされたのち、GPUのラスタライザーブロックに送信されます。そしてこのラスタライズブロックから、<strong>フラグメント</strong>で構成された新しい出力ストリームが生成されます。フラグメントとはとても小さなデータ構造で、画面上に表示される一つ一つのピクセルに対応しています。
Shaders.htm+html.body.p:100-3,"<span data-open-text=""true"">Fragment Shader</span><span data-close-text=""true"">Fragment Shader</span>","<span data-open-text=""true"">フラグメントシェーダー</span><span data-close-text=""true"">フラグメントシェーダー</span>"
Shaders.htm+html.body.div.p:102-5,"The Fragment Shader is the programmable shader stage in the rendering pipeline that deals with ""fragments"" - the interpolated pixels used to texture any given polygon - and they are responsible for outputting the final pixel colour of each rendered triangle pixel. Basically it works like this: the Fragment Shader receives as its input all those fragments (the individual pixels of the triangle being rendered) that have been passed along the pipeline by the Vertex Shader. It can then process these fragments to change the colour and alpha of the final destination pixel that will be drawn to the screen.",フラグメントシェーダーは、「フラグメント」を処理するレンダリングパイプラインにおけるプログラマブル・シェーダーステージです。フラグメントとは小片を意味する言葉で、各ポリゴンのテクスチャに使われている補間されたピクセル群のことを指します。これらのフラグメントには、レンダリングされた三角形ピクセルの最終的なピクセルカラーを出力する役割があります。フラグメントシェーダーの仕組みを簡単に説明すると、頂点シェーダーのパイプラインを経たすべてのフラグメント（レンダリングされた三角形の各ピクセル）を入力として受け取り、最終的に画面上へ描画されるピクセルの色やアルファを変更するというものです。
Shaders.htm+html.body.p:107-3,"A complete overview of how shaders really work and what place they have in the graphics pipeline is outside the scope of this, but you can find a bried guide here:",シェーダーの具体的な動作や、グラフィックパイプラインにおける役割はここでは扱いませんが、以下に簡単なガイドがあります。
Shaders.htm+html.body.ul.li:110-5,Guide To Using Shaders,シェーダーの利用ガイド
