Image_Editor.htm+html.head.title:55-3,Image Editor,イメージエディタ
Image_Editor.htm+html.head.title:59-3,Image Editor,イメージエディタ
Image_Editor.htm+html.body.div.div.div[title]:73-7,Image Editor,イメージエディタ
Image_Editor.htm+html.body.div.div.div:73-7,Image Editor,イメージエディタ
Image_Editor.htm+html.body.h1:86-3,The Image Editor,イメージエディタ
Image_Editor.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Image Editor,{IMG_TXT} イメージエディタ
Image_Editor.htm+html.body.p:87-3,"The <strong>image editor </strong>is where you can create your own <a class=""tooltip"" title=""TITLE_KEY::sprites"">sprites</a> or edit those you have imported or created previously. If you have used any other image tools then this should be familiar to you but there are a few things to note when using the GameMaker Studio 2 image editor which may not be immediately apparent:","<strong>イメージエディタ</strong>では専用の<a class=""tooltip"" title=""TITLE_KEY::sprites"">スプライト</a>を作成したり、インポートまたは作成済みのイメージ（画像）を編集できます。画像編集ソフトを使ったことのある方にとっては見慣れたツールですが、GameMaker Studio 2のイメージエディタには、なかなか気付きにくい機能がいくつかあります。"
Image_Editor.htm+html.body.ul.li:90-5,"When you create multiple frames, you can draw to them as they animate! So, if you press the play button<img_tag=Play_Icon:0> on the <strong>Frame Control</strong> bar, and then select a brush and start to draw in the editor window, you'll see that the frames will animate in the editor and what you draw will be added to the corresponding frame in that moment. You can experiment with different frame rates until you get something you like, but once you've got the hang of how this works you'll be creating dynamic sprites and effects in no time.",複数のフレームを用意すれば、アニメーションさせながら描くことができます！<strong>フレーム操作</strong>バーの再生ボタン<img_tag=Play_Icon:0>をクリックし、ブラシを選択して描いてみてください。エディタ内でフレームのアニメーションが再生され、表示中のフレームに描かれた内容はそのままイメージに反映されます。ちょうどいいフレーム速度になるまで試す必要はありますが、コツを掴んだらあっという間に動きのあるスプライトやエフェクトを作れるでしょう。
Image_Editor.htm+html.body.ul.li:92-5,"You can pull the Image Editor tab off of the main workspace window into it's own window. This can be handy when using multiple monitors, for example.",イメージエディタのタブを引っぱると、ワークスペースのメインウィンドウから独立したウィンドウに切り離すことができます。複数のモニターを使用しているなどの場合に便利です。
Image_Editor.htm+html.body.ul.li:93-5,"When you use the <em>Copy </em>functions to, for example, copy a selection of an image, then the selection copied gets added to your <strong>brush list</strong>. This means that you can select a part of an image and then use it in the rest of the paint tools to draw lines, polygons or just paint freely. The brush can be scaled and blended with a colour too. Note that the <em>Paste </em>functionality is not intended for use internally within the editor as anything you copy is added to the brush list and so can be selected for ""pasting"" that way. Instead paste is simply for you to capture something from an external program and paste it into the Image Editor.",選択範囲を<em>コピー</em>すると、コピーした内容がそのまま<strong>ブラシリスト</strong>に追加されます。つまり画像の一部分だけを選び、直線や多角形、絵筆ツールのブラシとして使えるということです。このブラシは大きさを変えたり、色を重ねることも可能です。なお、イメージエディタの<em>貼り付け</em>機能はエディタ内に限定された機能ではありません。そもそもコピーした内容はブラシリストに追加されるため、そのブラシを選択すれば普通に貼り付けができるはずです。イメージエディタの貼り付け機能は、外部のプログラムからキャプチャーした画像をエディタに貼り付けするためのものです。
Image_Editor.htm+html.body.ul.li:96-5,You can have multiple layers for each sprite thanks to the handy <strong>layer editor</strong>. These layers can ordered and even placed in folders to make creating more complex images easier.,スプライトには<strong>レイヤーエディタ</strong>から複数のレイヤーを追加できます。レイヤーは順番を変えたりフォルダに入れられるため、複雑な画像も作りやすくなるでしょう。
Image_Editor.htm+html.body.ul.li:97-5,"You can quickly change between sub-images (frames) in the editor by using the ""<span class=""inline"">1</span>"" and ""<span class=""inline"">2</span>"" keys on the keyboard.","キーボードの""<span class=""inline"">1</span>""および""<span class=""inline"">2</span>""キーを押すと、エディタのサブイメージ（フレーム）をすぐに切り替えることができます。"
Image_Editor.htm+html.body.p:99-3,"Those are just some of the more advanced features that the image editor offers. To find out the full feature range, please read the items below detailing the functions of every part of the editor:",これらはイメージエディタに用意されている高度な機能のほんの一部です。機能のすべてを知りたいなら、下の項目を開いてエディタの各領域についての説明をお読みください。
Image_Editor.htm+html.body.p:100-3,"<span data-open-text=""true"">Frame View</span><span data-close-text=""true"">Frame View</span>","<span data-open-text=""true"">フレームビュー</span><span data-close-text=""true"">フレームビュー</span>"
