Room_Properties.htm+html.head.title:55-3,Room Properties,ルームプロパティ
Room_Properties.htm+html.head.title:59-3,Room Properties,ルームプロパティ
Room_Properties.htm+html.body.div.div.div[title]:73-7,Room Properties,ルームプロパティ
Room_Properties.htm+html.body.div.div.div:73-7,Room Properties,ルームプロパティ
Room_Properties.htm+html.body.h1:86-3,Room Properties,ルームプロパティ
Room_Properties.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Room Editor Properties,{IMG_TXT} ルームエディタのプロパティ
Room_Properties.htm+html.body.p:87-3,"The room properties section is where you can set the inheritance toggle for the settings, as well as name the room and whether it is <strong>persistent </strong>or not. Normally, when you leave a room and return to the same room later, that room is reset to its initial settings. This is usually fine for most games but it may not be what you want in, for example, an RPG or any non-linear game, where you want to come and go between rooms and have them be the way you left it the last time. Checking the box labelled <strong>Persistent </strong>will do exactly that. The room status will be remembered and when you return to it later, it will be exactly the same as you left it, with it only being reset to the start state when the game is restarted. Note that there is <em>one </em>exception to this - if you marked certain objects as being persistent, instances of this object will <em>not </em>stay in the room but move to the next room.",ルームプロパティの領域では、継承の切り替えやルームの名前、ルームを<strong>永続的</strong>にするかを設定できます。普通はルームを出てから戻ってきても、そのルームは初期設定にリセットされます。ほとんどのゲームでは問題ありませんが、RPGのような一方通行でなく、ルームを行ったり来たりするゲームの場合、最後に出ていった状態のままにしておきたいはずです。<strong>永続的</strong>はそのような場合のためのオプションで、チェックを入れるとルームの状態が記憶され、戻ってきても最後に出ていったままの状態となり、ゲームを再起動しないかぎり開始時の状態にリセットされなります。ただし永続的としてチェックしているオブジェクトは<em></em>例外であり、それらのインスタンスはルームに<em>留まらず</em>、次のルームまで移動します。
Room_Properties.htm+html.body.p:92-3,"After that you have the option to <strong>Clear Display Buffer</strong>. This option, when checked, fills the <a class=""tooltip"" title=""TITLE_KEY::display_buffer"">display buffer</a> with a colour. If you know that the views are going to be covering the whole screen at all times or that you have a fullscreen background being drawn, then you can un-check this (which saves a redraw and so helps optimise your game), but if you have overlapping views that, when on the screen leave open spaces, or your background has any transparency, you should check this so that those area where there is no view are filled in with the draw colour of your choice. Currently this colour can only be set through code using <a href=""../../GameMaker_Language/GML_Reference/Cameras_And_Display/The_Game_Window/window_set_colour.htm""><span class=""inline"">window_set_colour()</span></a>.","その下にあるのは<strong>表示バッファをクリア</strong>というオプションです。このオプションがチェックされている場合、<a class=""tooltip"" title=""TITLE_KEY::display_buffer"">表示バッファ</a>が単色で塗りつぶされます。ビューが常に画面全体を覆っていたり、背景が全画面描画されているならチェックを外しても問題ありませんが（再描画が省略されるためゲームの最適化につながります）、ビューを重ねていて画面上に空きスペースが残っている場合や、背景画像が少しでも透けている場合はチェックを入れるようにしてください。そうするとビューがない部分も指定した描画色で塗りつぶされます。なお現時点では描画色を設定するには、コードから<a href=""../../GameMaker_Language/GML_Reference/Cameras_And_Display/The_Game_Window/window_set_colour.htm""><span class=""inline"">window_set_colour()</span></a>関数を呼び出す必要があります。"
Room_Properties.htm+html.body.p:95-3,"<strong>NOTE</strong>: If you are using automatic aspect ratio correction (as set in the <a href=""../../Settings/Game_Options.htm"">Game Options</a>), then you should <strong>always </strong>have this checked otherwise you can get odd effects over the ""letterbox"" that your game is drawn in. If you do not use this option then you can un-check this and get a small boost to your games performance (especially noticeable on Android and other mobile platforms).","<strong>注意</strong>: アスペクト比の自動補正を<a href=""../../Settings/Game_Options.htm"">ゲームオプション</a>から有効にしている場合、このオプションは<strong>常に</strong>チェックしておきましょう。そうしないとゲームが描画されるレターボックス（黒枠）の表示がおかしくなります。オプションを利用しない場合はチェックを外すと、ゲームのパフォーマンスが少しだけ向上します（Androidなどのモバイルプラットフォームでは特に有効です）。"
Room_Properties.htm+html.body.p:97-3,"A room has to have a size and this is defined by the values that you input for its width and height in pixels, and once that has been set you can then go on to add <strong>Creation Code</strong>, should you require it. Creation code is added from the button at the bottom (along with the inherit toggle to say whether the room should inherit it's creation code or not), and if you click it you will open a code or DnD™ editor. This editor allows you to input functions/actions and code that will be run at the <em>start </em>of the room, after the create event of all instances but before their room start event (for more information on event order, please see <a href=""../Object_Properties/Event_Order.htm"">here</a>). This code will run every time you enter the room, unless the room is flagged as persistent, in which case it will only be run once when the room is first entered, but not on subsequent visits to the room.","ルームには大きさがあり、ピクセル単位で幅と高さを設定しなくてはなりません。あとは必要に応じて<strong>生成コード</strong>を追加しましょう。生成コードは下のボタンから追加でき（その隣にある継承ボタンからは、ルームに生成コードを引き継がせるかを切り替えできます）、ボタンをクリックするとコードエディタ、またはDnD™ エディタが開きます。エディタに入力した関数/アクションおよびコードはルームの「<em>開始時</em>」に実行され、各インスタンスのCreateイベントよりも後、Room Startイベントよりも前に実行されます（イベントの順番については<a href=""../Object_Properties/Event_Order.htm"">こちら</a>に詳しい情報があります）。生成コードはルームに入るたびに実行されます。永続的としてフラグ付けされている場合は最初に入ったときにだけ実行され、それ以降は実行されません。"
Room_Properties.htm+html.body.p:101-3,The final button in the Room Properties permits you to open the <strong>Instance Creation Order</strong> window:,一番下にあるボタンをクリックすると、このように<strong>インスタンス生成順序</strong>ウィンドウが開きます。
