Timelines.htm+html.head.title:55-3,Timelines,タイムライン
Timelines.htm+html.head.title:59-3,Timelines,タイムライン
Timelines.htm+html.body.div.div.div[title]:73-7,Timelines,タイムライン
Timelines.htm+html.body.div.div.div:73-7,Timelines,タイムライン
Timelines.htm+html.body.h1:86-3,The Timeline Editor,タイムラインエディタ
Timelines.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Timeline Editor,{IMG_TXT} タイムラインエディタ
Timelines.htm+html.body.p:87-3,"In most games you will want certain things to happen at precise moments in time. Now, you can try to achieve this by using the alarm events but when things get too complicated this won't work any more, especially as you are limited to only twelve alarms. That's why we have the <strong>timeline </strong>asset. In a timeline you specify which actions must happen at certain moments in game time, and you can use all the actions that are also available for an object in its different events or code to define this. Once you create a time line you can then assign it to an object, and the instance of that object will then execute the actions at the indicated moments of time when placed or created within a room.",多くのゲームでは、決められた瞬間にアクションを起こしたい場面があります。Alarmイベントを利用すればそのようなことも実現できますが、処理が複雑になると上手くいきません。なによりAlarmは12個までしか利用できないのです。そんなときのために用意されているのが<strong>タイムライン</strong>アセットです。タイムラインでは、ゲーム時間の決められた瞬間（モーメント）に起こすアクションを指定することができ、各アクションはオブジェクトのイベントやコードから定義して利用できます。作成したタイムラインはオブジェクトへの割り当てが可能で、インスタンスがルームに配置または生成されると、指定したタイミングでアクションを順番に実行します。
Timelines.htm+html.body.p:91-3,"For example, assume you want to make a guard and that this guard should move 20 time steps to the left, then 10 upwards, then 20 to the right, then 10 downwards and then finally stop. To achieve this you can make a timeline where you start with setting a motion to the left. You would then create moment 20 (a ""moment"" is just another way of saying ""game step"" or ""game frame"") and set a motion upward, then at moment 30 a motion to the right, at moment 50 a motion downwards and finally at moment 60 you would stop the motion. Once that is done, you can assign this timeline to the guard object and the guard instance will do exactly what you planned when placed in a room. You could even set an alarm in the time line so that it is repeated after a certain length of time and in this way your guard can patrol an area. You can also use a time line to control your game more globally, for example by creating an invisible controller object, then a time line that at certain moments creates enemies, and then assigning it to the controller object and placing an instance into the room. This is an easy way to get timed spawns of the enemies in a space shoorter game or something like that.",たとえば、20ステップかけて左に移動し、10ステップかけて上に、20ステップかけて右に、10ステップかけて下に移動してから停止する見張りのオブジェクトを作りたいとしましょう。このような処理を行うには、タイムラインを作成してまずは左に動くように設定します。次にモーメントを20で作成し（モーメント（瞬間）とは、ゲームステップやゲームフレームを言い換えた用語です）、上に動くよう設定します。そしてモーメントを30で作成して右に、50で作成して下に動くよう設定し、最後に60で動きを止めれば完成です。すべて終わったら、見張りのオブジェクトにタイムラインを割り当て、インスタンスをルームの置きたい場所に配置しましょう。タイムラインではAlarmを設定し、一定時間過ぎたら処理を繰り返すこともできるため、それによって見張りのパトロールも実現できます。タイムラインを利用すれば、ゲームをより手広くコントロールすることも可能です。たとえば透明の制御用オブジェクトを作成し、特定のタイミングで敵を生成するタイムラインを割り当て、ルームに配置するといったものです。このようにすれば、SFシューティングゲームなどで一定時間おきに敵を発生させることも簡単にできます。
Timelines.htm+html.body.p:96-3,"To create a time line, right click <img_tag=RMB_Icon:0> on <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and select ""Create Timeline"". This will open the window pictured at the top of this page with the following sections:","タイムラインを作成するには、<a href=""../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>を右クリック<img_tag=RMB_Icon:0>して「タイムラインを作成」を選びましょう。ページトップの画像にあるウィンドウが開きます。各領域は次のようになっています。"
Timelines.htm+html.body.p:99-3,"<span data-open-text=""true"">Name</span><span data-close-text=""true"">Name</span>","<span data-open-text=""true"">名前</span><span data-close-text=""true"">名前</span>"
Timelines.htm+html.body.div.p:101-5,"Here you give your timeline resource a <strong>name</strong>. This must only contain alpha-numeric characters or the ""_"" under-bar and cannot start with a number, as it will be used to reference your timeline through code. This name will also be the unique timeline ID which can be used in DnD™ actions or code functions to identify the timeline.","タイムラインリソースに<strong>名前</strong>をつけることができます。英数字または""_""記号のみ利用でき、コードから参照可能にするため数字から始まる名前をつけることはできません。また、この名前は固有のタイムラインIDとなり、DnD™アクションやコード関数からタイムラインを識別するために利用されます。"
