Audio_Playback.htm+html.head.title:55-3,Audio Playback,Audio Playback
Audio_Playback.htm+html.head.title:59-3,Audio Playback,Audio Playback
Audio_Playback.htm+html.body.div.div.div[title]:73-7,Audio Playback,Audio Playback
Audio_Playback.htm+html.body.div.div.div:73-7,Audio Playback,Audio Playback
Audio_Playback.htm+html.body.h1:86-3,Audio Playback,Audio Playback
Audio_Playback.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Audio Playback Event,{IMG_TXT} Audio Playbackイベント
Audio_Playback.htm+html.body.p:87-3,"This event can only be triggered by the <a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/Audio_Buffers.htm"">audio queue</a> play functions and will return a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> stored in the variable <a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""> <span class=""inline"">async_load</span></a>, containing different key/value pairs relating to the audio queue that has triggered the event. The event is triggered by a <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a> when you have selected an audio queue to playback and a buffer in that audio queue is finished playing.","<a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/Audio_Buffers.htm"">オーディオキュー</a>を再生する関数によってのみ作動するイベントであり、<a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>変数に保存された<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>を返します。このDSマップにはイベントを作動させたオーディオキューに関するキー/値ペアが含まれます。Audio Playbackイベントは、再生するオーディオキューが選択されており、そのオーディオキュー内のバッファが再生終了したときの<a class=""tooltip"" title=""TITLE_KEY::callback"">コールバック</a>によって実行されます。"
Audio_Playback.htm+html.body.p:90-3,The following keys will be available in the DS map:,以下はDSマップにおいて利用可能なキーです。
Audio_Playback.htm+html.body.ul.li:92-5,"""<span class=""inline"">queue_id</span>"" - the queue index for the queue that has finished playing, as returned by the function <a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_create_play_queue.htm""><span class=""inline"">audio_create_play_queue()</span></a>.","""<span class=""inline"">queue_id</span>"" - 再生を終了したキューのインデックスであり、<a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_create_play_queue.htm""><span class=""inline"">audio_create_play_queue()</span></a>関数によって返されます。"
Audio_Playback.htm+html.body.ul.li:93-5,"""<span class=""inline"">buffer_id</span>"" - the buffer ID for the <a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">buffer</a> that is no longer being played from.","""<span class=""inline"">buffer_id</span>"" - 再生されなくなった<a href=""../../../GameMaker_Language/GML_Reference/Buffers/Buffers.htm"">バッファ</a>のIDです。"
Audio_Playback.htm+html.body.ul.li:94-5,"""<span class=""inline"">queue_shutdown</span>"" - this is set to 0 during normal playback and 1 when the event is received because <a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_free_play_queue.htm""><span class=""inline"">audio_free_play_queue()</span></a> has been called. When this is set to 1, you don't want to queue up any further data.","""<span class=""inline"">queue_shutdown</span>"" - 通常再生時は0ですが、<a href=""../../../GameMaker_Language/GML_Reference/Asset_Management/Audio/Audio_Buffers/audio_free_play_queue.htm""><span class=""inline"">audio_free_play_queue()</span></a>関数の呼び出しによってイベントを受信したときは1になります。この場合、キューにデータを追加する必要はありません。"
