Brush_Builder.htm+html.head.title:55-3,Brush Builder,ブラシビルダー
Brush_Builder.htm+html.head.title:59-3,Brush Builder,ブラシビルダー
Brush_Builder.htm+html.body.div.div.div[title]:73-7,Brush Builder,ブラシビルダー
Brush_Builder.htm+html.body.div.div.div:73-7,Brush Builder,ブラシビルダー
Brush_Builder.htm+html.body.h1:86-3,The Tile Set Brush Builder,タイルセットのブラシビルダー
Brush_Builder.htm+html.body.p:87-3,"By default when you ""paint"" tiles onto a <a class=""tooltip"" title=""TITLE_KEY::tile_map"">tile map</a> layer in the room editor, you select a single tile and paint with that. However, tile sets are almost always designed to have sections that fit together in different ways to form whole areas or items. For example, an RPG tile set may have landscape feature tiles that can be connected to create larger or smaller features - like trees and buildings - depending on the number of tiles used. Now, placing multiple features like this on a room layer would require you to go back and forth many times to change tile, which is not good for your workflow. To resolve this, GameMaker Studio 2 enables you to create tile <strong>Brushes </strong>in the Tile Set editor, available when you click <img_tag=LMB_Icon:0> on the <strong>Brush Builder</strong> button:","ルームエディタの<a class=""tooltip"" title=""TITLE_KEY::tile_map"">タイルマップレイヤー</a>にタイルを描こうとすると、最初は1つのタイルを選んで描くことになります。しかし大半のタイルセットは部位ごとに分かれており、それらをさまざまな形で組み合わせて地形や物を作るようになっています。たとえばRPGのタイルセットなら、つなぎ合わせることで木や建物といった、大小さまざまな景観を作ることができる地形タイルがあるはずです（ただし扱うタイルの数にもよります）。こうした見た目が異なるタイルをルームレイヤーに置くには何度もタイルを切り替える必要があり、作業をスムーズに進めることが難しくなります。そのような事にならないよう、GameMaker Studio 2ではタイル<strong>ブラシ</strong>を作ることができます。まずはタイルセットエディタ内にある<strong>ブラシビルダー</strong>ボタンをクリックしましょう。"
Brush_Builder.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Brushes,{IMG_TXT} ブラシ
Brush_Builder.htm+html.body.p:91-3,"In the <strong>Brush Builder</strong> you have the original tile set on the left and a blank ""canvas"" on the right. You can now select any tile from the left and paint it on the right to create custom ""brushes"" which you can then use in the room editor. Note that you can click and hold the left mouse button <img_tag=LMB_Icon:0> then drag on the tile set to select multiple tiles to paint into the brush canvas and you can also hold down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> to add specific individual tiles or hold down <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0> to remove specific tiles.",ボタンをクリックすると<strong>ブラシビルダー</strong>が開き、左側には元のタイルセットが、右側には「空」のキャンバスが表示されます。左側からタイルを選択し、右側に描くことで、ルームエディタで使える自分だけのブラシを作ることができます。なお、タイルセットをドラッグ<img_tag=LMB_Icon:0>すると複数のタイルを選択してキャンバスに描くことができ、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>で個別に選択、<img_tag=Alt_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>で選択解除できます。
Brush_Builder.htm+html.body.p:93-3,The following image shows our previously mentioned landscape features as an example of three custom brushes made from a single tile set:,こちらは先ほど取り上げた地形の画像で、単一のタイルセットから作られた3つのカスタムブラシが例として示されています。
Brush_Builder.htm+html.body.p.img[alt]:94-6,{IMG_TXT} Features As Brushes Example,{IMG_TXT} ブラシ化した景観の例
Brush_Builder.htm+html.body.p:94-3,"On the right you can see three features that we've made (highlighted with an orange box in the image). Notice how we've left a gap of one tile between each feature - this is because <em>any touching group of tiles will be treated as a single brush</em> in the room editor, so we leave a gap of one tile to show that each set is a distinct brush we want to create. While creating your brushes, you paint with the left mouse button <img_tag=LMB_Icon:0> and delete with the right mouse button <img_tag=RMB_Icon:0>. You can also zoom the tile sheet or the brush canvas using <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and the mouse wheel <img_tag=MMB_Icon:0> when the mouse is over one of the windows, or you can pan around using <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:0> or the middle mouse button <img_tag=MMB_Icon:0> and dragging. Note that you can also use the zoom tools in the <strong>Toolbox</strong> within the editor windows to change the zoom levels of either window as well as toggle the grid visibility and colour.",右側にあるのは、例として作成した3つの景観です（画像ではオレンジ色の線で強調されています）。それぞれの景観にすき間を空けていることに注目してください。これはルームエディタ上では、<em>タイルの連続部分が1つのブラシとして扱われる</em>ためであり、画像ではタイル1つ分のすき間を空けて別のブラシにしています。ブラシは左クリック<img_tag=LMB_Icon:0>でタイルを描くことで作り、右クリック<img_tag=RMB_Icon:0>でタイルを消せます。また、タイルシートおよびブラシキャンバスにカーソルを合わせている間は<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらマウスホイール<img_tag=MMB_Icon:0>でズームが、<img_tag=Space_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>するか中央マウスボタン<img_tag=MMB_Icon:0>でドラッグすればスクロールができます。エディタのウィンドウ内には<strong>ツールボックス</strong>もあり、同じようにズーム倍率を変更できるほか、グリッドの表示と色を切り替えることができます。
