JSDoc_Script_Comments.htm+html.head.title:55-3,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.head.title:59-3,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.body.div.div.div[title]:73-7,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.body.div.div.div:73-7,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.body.h1:86-3,JSDoc Script Comments,JSDocスクリプトコメント
JSDoc_Script_Comments.htm+html.body.p:87-3,"If you wish your custom functions to have code completion and to show the required arguments etc... in the code editor, then you need to add some <a href=""https://www{-dot-}oracle{-dot-}com/technical-resources/articles/java/javadoc-tool.html"">JSDoc style</a> comments. These comments are used to tell the autocomplete feature how the function should be used and filled out in the <a href=""../Scripts.htm"">script editor</a>.","カスタム関数のコード補完を有効にし、引数などをコードエディタで表示したい場合は、<a href=""https://www{-dot-}oracle{-dot-}com/technical-resources/articles/java/javadoc-tool.html"">JSDoc形式</a>コメントを追加しましょう。このコメントを追加すると、<a href=""../Scripts.htm"">スクリプトエディタ</a>で関数をどのように扱い、どのように入力するかが自動補完によって認識されます。"
JSDoc_Script_Comments.htm+html.body.p:89-3,"The format for a typical function header would be to have the function name, the description of the function, and then the list of the different arguments (parameters) that the function takes, making sure to start each line with a triple backslash "" <span class=""inline"">///</span>"" as that tells GameMaker Studio 2 to parse the comment as being JSDoc style. The comments themselves need to be given an identifier (preceded by ""<span class=""inline"">@</span>"") and content, and the available identifiers are as follows:","関数のヘッダーとして一般的な形式は、関数の名前、説明、そして関数が受け取る引数（パラメーター）を並べるというもので、JSDoc形式のコメントとして解析されるように各行は"" <span class=""inline"">///</span>""で始めなくてはなりません。それぞれのコメントにも識別子（先頭に""<span class=""inline"">@</span>""を付ける）と内容を指定する必要があります。利用できる識別子は以下のとおりです。"
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.th:96-9,Identifier,識別子
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.th:97-9,Content,内容
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:100-9,"<span class=""inline"">@function</span> / <span class=""inline"">@func</span>","<span class=""inline"">@function</span> / <span class=""inline"">@func</span>"
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:101-9,"The full function name and arguments for the function, eg:<br /> <span class=""inline""><tt>my_func(x, y, colour)</tt></span>.","関数の名前と引数です。例: <br /><span class=""inline""><tt>my_func(x, y, colour)</tt></span>"
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:105-9,"<span class=""inline"">@description</span> / <span class=""inline"">@desc</span>","<span class=""inline"">@description</span> / <span class=""inline"">@desc</span>"
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:106-9,A general description of what the function does.,関数の動作についての概要です。
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:109-9,"<span class=""inline"">@param</span> / <span class=""inline"">@arg</span> / <span class=""inline"">@argument</span>","<span class=""inline"">@param</span> / <span class=""inline"">@arg</span> / <span class=""inline"">@argument</span>"
JSDoc_Script_Comments.htm+html.body.table.tbody.tr.td:110-9,"The argument type (optional), enclosed in <span class=""inline"">{}</span>, the argument name, and a short description (with space(s) in between)","引数の型（任意）は<span class=""inline"">{}</span>で囲み、あとは引数の名前、簡単な説明となります（それぞれ半角スペースで区切ります）。"
JSDoc_Script_Comments.htm+html.body.p:115-3,"To get an idea of how this would work when writing your own functions, let's take this basic example:",関数を書くにあたってどう機能するのかを掴むためにも、基本的な例を挙げましょう。
JSDoc_Script_Comments.htm+html.body.p:116-3,"{ANY_CODE} function is_same_object(_id, _obj)<br /> { <br /> if _id.object_index == _obj<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return true;<br /> {nbsp_x1} {nbsp_x1} }<br /> else return false;<br /> }","{ANY_CODE} function is_same_object(_id, _obj)<br /> { <br /> if _id.object_index == _obj<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return true;<br /> {nbsp_x1} {nbsp_x1} }<br /> else return false;<br /> }"
JSDoc_Script_Comments.htm+html.body.p:119-3,"All this script does is check to see if an instance has the same <span class=""inline"">object_index</span> as a given object and would be called simply as:","このスクリプトは指定したオブジェクトと同じ<span class=""inline"">object_index</span>がインスタンスにあるかをチェックするためのもので、このように簡単に呼び出せます。"
JSDoc_Script_Comments.htm+html.body.p:120-3,"{ANY_CODE} if is_same_object(id, obj_Player)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} instance_destroy()<br /> {nbsp_x1} {nbsp_x1} }","{ANY_CODE} if is_same_object(id, obj_Player)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} instance_destroy()<br /> {nbsp_x1} {nbsp_x1} }"
JSDoc_Script_Comments.htm+html.body.p:121-3,"However, writing that into the code editor wouldn't show you the arguments nor give you any help when using it, so we need to add in a description, a function name, and the arguments as JSDoc comments like this:",とはいえ、このように書いてもコードエディタには引数も、使い方も表示されません。よって説明と名前、引数をJSDocコメントとして追加しなくてはなりません。
