Event_Order.htm+html.head.title:55-3,Event Order,イベントの順番
Event_Order.htm+html.head.title:59-3,Event Order,イベントの順番
Event_Order.htm+html.body.div.div.div[title]:73-7,Event Order,イベントの順番
Event_Order.htm+html.body.div.div.div:73-7,Event Order,イベントの順番
Event_Order.htm+html.body.h1:86-3,Event Order,イベントの順番
Event_Order.htm+html.body.p:87-3,"When considering Events in GameMaker Studio 2, it should be noted that <strong>the exact order that ALL the events are going to occur in each step cannot be clearly stated</strong>, simply because it depends on the internal workings of GameMaker Studio 2 and this is subject to change as the software develops. However there are certain events that will <em>always </em>run in the same order.",GameMaker Studio 2のイベントを考える上で知っておいてもらいたいのは、<strong>ステップ中に起きるイベントすべての順番は明文化できないということです</strong>。イベントの順番はGameMaker Studio 2の内部構造に基づいており、ソフトウェアの開発とともに変化する可能性があるからです。ただし一部のイベントに関しては、<em></em>必ず同じ順番で実行されます。
Event_Order.htm+html.body.p:89-3,The first set of events that will always happen the same way are those that occur when a room is first entered. The order that the different events will fire is:,そのようなイベントとしてまず挙げられるのは、ルームに初めて入ったときに起きる一連のイベントです。これらのイベントは以下の順に引き起こされます。
Event_Order.htm+html.body.ul.li:91-5,"<strong>Object Variables / Instance Variables are initialised</strong> (these are the variables that you can define in the <a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a> of the <a href=""../Objects.htm"">Object Editor</a> or the <a href=""../Rooms.htm"">Room Editor</a>). If you have an object with variables attached then they will be created before anything else and then any instances that have variables attached will be defined after so you can overwrite object variables with instance specific ones in the room editor.","<strong>オブジェクト変数/インスタンス変数を初期化</strong>（<a href=""../Objects.htm"">オブジェクトエディタ</a>の<a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a>、および<a href=""../Rooms.htm"">ルームエディタ</a>から定義できる変数です）。変数付きのオブジェクトがある場合、他のものよりも先にそれらのオブジェクトが作られ、変数付きのインスタンスはその後で定義されます。そのためオブジェクト変数は、ルームエディタからインスタンスの固有変数で上書きすることが可能です。"
Event_Order.htm+html.body.ul.li:94-5,"<strong>Cr</strong><strong><strong>eate</strong> Event </strong>followed by the<strong> Instance Creation Code </strong>of <em>each </em>instance - so as each instance is created, it will run first its Create event and then its Instance Creation Code before moving on to the next instance to be created",<strong></strong><strong></strong><strong>Createイベント</strong>に続いて<em></em>各<strong>インスタンスの生成コード</strong>を実行 - インスタンス生成時、まずはCreateイベントを実行し、それからインスタンスの生成コードを実行して次のインスタンスの生成に移ります。
Event_Order.htm+html.body.ul.li:96-5,<strong>Game Start Event</strong> - this event is triggered once in the very first room of the game for all instances placed in the room from the room editor (note that calling game_restart() will trigger this event again.,<strong>Game Startイベント</strong> - このイベントはゲーム開始直後のルームで、ルームエディタから配置したすべてのインスタンスにおいて作動します（game_restart()イベントを呼び出すともう一度作動します）。
Event_Order.htm+html.body.ul.li:97-5,<strong>Room Creation Code</strong> - this is the one-off code written in the Room Editor for when a room is first entered,<strong>ルームの生成コード</strong> - ルームに最初に入ったときに一度だけ実行されるコードであり、ルームエディタから記入できます。
Event_Order.htm+html.body.ul.li:98-5,"<strong>Room Start Event of all instances</strong> - one of the ""other"" category of events and will fire for all instances, persistent or otherwise","<strong>インスタンスのRoom Startイベント</strong> - ""Other""カテゴリのイベントであり、永続的かどうかを区別せず、すべてのインスタンスで作動します。"
Event_Order.htm+html.body.p:100-3,"It is also worth noting that you can also set the order in which specific instances are created within the room editor itself by moving them up or down the list of the <a href=""../Room_Properties/Layer_Properties.htm"">Instance Layer Properties</a> window.","なお、各インスタンスが生成される順番はルームエディタを開き、<a href=""../Room_Properties/Layer_Properties.htm"">インスタンスレイヤーのプロパティ</a>に並んでいるインスタンス名をドラッグすると変更できます。"
Event_Order.htm+html.body.p:101-3,"Other than those specific events, the only known order that will always occur in the same way no matter what belongs to the three <strong>step </strong>events and the different <strong>draw </strong>events. These will always remain consistent, so if you have code that relies on specific timing during each step of your game, you should use:",上記のイベントを除くと、いかなるオブジェクトでも同じように起きるイベントは3つの<strong>Step</strong>イベント、各種の<strong>Draw</strong>イベントのみであり、これらのイベントの順番は常に一貫しています。ゲームの各ステップ間に決められたタイミングで実行されるコードがある場合、以下のイベントを利用するといいでしょう。
Event_Order.htm+html.body.ul.li:104-5,Begin Step Event,Begin Stepイベント
Event_Order.htm+html.body.ul.li:105-5,<strong>Step Event</strong> (note that the step event is executed just before instances are put in their new positions),<strong>Step Event</strong>（このStepイベントはインスタンスが新しい場所に配置される直前に実行されます）
Event_Order.htm+html.body.ul.li:106-5,End Step Event,End Stepイベント
Event_Order.htm+html.body.p:108-3,"All of the events for drawing are also always dealt with in the same order as follows (except for the <strong>Window Resize </strong>event, which is triggered differently):",描画用のイベントについては以下の順番で処理されます（ただし<strong>Window Resize</strong>イベントは別の形で作動するため例外となります）。
Event_Order.htm+html.body.ul.li:110-5,Pre Draw Event,Pre Drawイベント
Event_Order.htm+html.body.ul.li:111-5,Draw Begin Event,Draw Beginイベント
Event_Order.htm+html.body.ul.li:112-5,Draw Event,Drawイベント
Event_Order.htm+html.body.ul.li:113-5,Draw End Event,Draw Endイベント
Event_Order.htm+html.body.ul.li:114-5,Post Draw Event,Post Drawイベント
