Draw_Events.htm+html.head.title:55-3,Draw Events,Drawイベント
Draw_Events.htm+html.head.title:59-3,Draw Events,Drawイベント
Draw_Events.htm+html.body.div.div.div[title]:73-7,Draw Events,Drawイベント
Draw_Events.htm+html.body.div.div.div:73-7,Draw Events,Drawイベント
Draw_Events.htm+html.body.h1:86-3,The Draw Events,Drawイベント
Draw_Events.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Draw Event,{IMG_TXT} Drawイベント
Draw_Events.htm+html.body.p:87-3,"The Draw event category is the one that has all the events that governs what you see on the screen when you run your game. It is split into various separate events to better handle the different drawing requirements for your game, and the image below illustrates the order in which each event is performed:",Drawイベントのカテゴリは、ゲームを実行したときの画面表示内容を決めるイベントからなります。ゲームのさまざまな描画要求を処理しやすくなるようイベントは複数に分けられており、各イベントがどのような順番で実行されるかは以下の画像で示されています。
Draw_Events.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Object Editor Draw Diagram,{IMG_TXT} オブジェクトエディタの描画略図
Draw_Events.htm+html.body.p:89-3,"The normal Draw event falls into three sub-types: The <strong>Draw Begin</strong>, the standard <strong>Draw</strong> and the <strong>Draw End</strong> events. In general, you will only need to use the standard Draw event and you should be aware that all instances in a room will have this event triggered each step of the game, so this event will always be called as long as the instance has the <strong>visible </strong>flag set to true. It is important to understand that even if you have defined nothing for this sub-event in the object properties (ie: no code nor actions), <em>if the object has a sprite assigned it will still have a draw event which will be triggered</em>. This is because GameMaker Studio 2 has two ways to draw things in the Draw event:","通常のDrawイベントは<strong>Draw Begin</strong>、<strong>Draw</strong>、<strong>Draw End</strong>という3つの種類に細分化されています。基本的には標準の""Draw""イベントを使うことになりますが、このイベントは各ステップごとにルーム内のすべてのインスタンスで作動し、インスタンスの<strong>表示</strong>フラグが有効となっている間は常に呼び出されるということに注意してください。また、オブジェクトプロパティからこれらのサブイベントに何も定義していない（コードまたはアクションがない）場合であっても、<em></em>オブジェクトにスプライトが割り当てられている限りDrawイベントは作動します。これはDrawイベントでは、以下の2つの方法で描画が行われるためです。"
Draw_Events.htm+html.body.ul.li:94-5,"the <strong>default draw</strong>, which is when you define the sprite in the object properties and place no actions or code in the normal Draw event, and in this case GameMaker Studio 2 will draw the assigned sprite automatically. Note that any transforms you perform in other events to change the image scale, index, blending etc... will be reflected too as long as the draw event is empty.",<strong>デフォルト描画</strong> - オブジェクトプロパティでスプライトが定義されており、なおかつ通常のDrawイベントにコードまたはアクションがない場合に行われ、割り当てられているスプライトが自動的に描画されます。Drawイベントの内容が空であるなら、他のイベントから変更した画像のスケール、インデックス、ブレンドなどといった変形も反映されます。
Draw_Events.htm+html.body.ul.li:96-5,"the <strong>custom draw</strong>, which is when you place code or actions in the draw event. This is telling GameMaker Studio 2 "" <em>I want to control what you draw for instances of this object</em>"" and it completely overrides the default drawing. This means that, for example, you can have an object with a sprite assigned, then set the draw event to draw text and the text will be drawn on-screen, but the sprite will <em>not </em>be drawn as you have not told GameMaker Studio 2 to draw it along with the text.",<strong>カスタム描画</strong> - Drawイベントにコードまたはアクションを追加した場合、「<em></em>オブジェクトのインスタンスに描画される内容をコントロールしたい」とGameMaker Studio 2では認識され、デフォルト描画を完全に上書きすることができます。たとえばスプライトが割り当てられているオブジェクトのDrawイベントで描画テキストを設定した場合、画面にそのテキストは描画されるものの、スプライトは同時に描画するよう<em></em>指示されていないため非表示となります。
Draw_Events.htm+html.body.p:100-3,The rest of the draw events are explained in the sections listed below:,その他のDrawイベントについては以下の項を参照してください。
Draw_Events.htm+html.body.p:102-3,"<span data-open-text=""true"">Draw Begin And Draw End</span><span data-close-text=""true"">Draw Begin And Draw End</span>","<span data-open-text=""true"">Draw Begin / Draw End</span><span data-close-text=""true"">Draw Begin / Draw End</span>"
Draw_Events.htm+html.body.div.p:104-5,"Apart from the main Draw event, you also have a <strong> Draw Begin</strong> and a <strong>Draw End</strong> event too. These act exactly the same as a standard Draw event (ie: they will draw whatever you put in them every step of the game and for all viewports), but they do not ""default draw"" anything if they have not been explicitly added to an object, and they will always run before/after the standard Draw event. So, when the game is running you will <em>always</em> have the Draw Begin event for all instances, then the Draw event for all instances, then finally the Draw End event for all instances.","メインのDrawイベントとは別に、<strong>Draw Begin</strong>と<strong>Draw End</strong>という2つのイベントが用意されています。いずれも""Draw""イベントとまったく同じように動作（ゲームの各ステップごとに一連のビューポートに対して内容を描画）しますが、オブジェクトに追加していない場合はデフォルト描画を行ないません。また、必ず標準のDrawイベントの前/後に実行されます。そのためゲーム実行時、各インスタンスでは<em></em>必ず最初にDraw Beginイベント、その次にDrawイベント、最後にDraw Endイベントが作動することになります。"
Draw_Events.htm+html.body.div.p:107-5,"In this way, you can draw things or set draw properties in the Draw Begin step in one instance and be sure that all instances with a standard Draw event or Draw End event will use these properties or draw over what the first instance has drawn. Basically its a sure fire way to guarantee that certain things are drawn at certain times, much like the <strong>Begin Step</strong> and <strong>End Step </strong>events do.",このように1つのインスタンスのDraw Beginイベントで描画および設定が行われていれば、標準のDrawイベントまたはDraw Endイベントがあるインスタンスすべてに同じ設定をさせたり、最初のインスタンスの上に重ねて描画できるようになります。<strong>Begin Step</strong>や<strong>End Step</strong>イベントと同じように、常に決められたタイミングで描画を行うための手段と言えましょう。
Draw_Events.htm+html.body.div.p:109-5,"There are a few things to note when drawing things in GameMaker Studio 2, whether it's a sprite you are drawing or a shader, or a 3D buffer:",GameMaker Studio 2で行われる描画についてはいくつか注意点があり、スプライト、シェーダー、3Dバッファのいずれも該当します。
