Paths.htm+html.head.title:55-3,Paths,パス
Paths.htm+html.head.title:59-3,Paths,パス
Paths.htm+html.body.div.div.div[title]:73-7,Paths,パス
Paths.htm+html.body.div.div.div:73-7,Paths,パス
Paths.htm+html.body.h1:86-3,The Path Editor,パスエディタ
Paths.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Path Editor,{IMG_TXT} パスエディタ
Paths.htm+html.body.p:87-3,"At some point while creating your games you may need one of your instances to follow a path through a level. Now, this can be done in code by simply creating an array of positions within the room and then having an instance move between them, but that can be a chore to set up and is difficult to change, test and adapt for different instances. For this reason GameMaker Studio 2 has path resources and a dedicated path editor.",ゲーム作りを進めているうちに、インスタンスをパスに追従させたい時があるかもしれません。こうした動きは、ルームの位置情報を入れた配列を作り、インスタンスにその位置まで移動させるコードを書くことで実現できますが、位置の設定が難しいうえに、インスタンスごとに調整を加える必要があるため大変になってきます。そのような理由から、GameMaker Studio 2にはパスリソース、および専用のパスエディタが用意されています。
Paths.htm+html.body.p:90-3,"The basic idea is rather simple - you define a path by drawing it in the path editor, then you can place an action (or code) in the creation event of an object to tell the instance to follow that particular path. You can also set the speed to follow the path and a number of other actions relating to the position and orientation of the path within the room. When you first create a path resource the path editor window will open with the following options:",基本的な使い方はとてもシンプルで、パスエディタを開いてパスを描き、オブジェクトの生成イベントにアクション（またはコード）を追加して特定のパスに追従させるだけです。また、パスに追従する速度を設定したり、そのほかにもルームに置かれたパスの位置、向きを設定できるアクションがいくつかあります。パスリソースが作成されると、まずパスエディタのウィンドウが開き、次のオプションが表示されます。
Paths.htm+html.body.p:93-3,"<span data-open-text=""true"">Path Properties</span><span data-close-text=""true"">Path Properties</span>","<span data-open-text=""true"">パスのプロパティ</span><span data-close-text=""true"">パスのプロパティ</span>"
Paths.htm+html.body.div.p:95-5,"As with all resources in GameMaker Studio 2 you should give your new path a unique name as this is what will be used to identify it throughout the game you are making, and a good system that a lot of people use is to prefix (or suffix) the resource for easy recognition in code or actions (eg: <span class=""inline"">path_Enemy_1</span> or <span class=""inline"">PowerUp_path</span>).","GameMaker Studio 2の他のリソースと同じように、パスを作成したら制作中のゲームで区別のつくような固有の名前をつけなくてはなりません。よく使われている命名法は、""_""で区切られた接頭語、および接尾語を入れるというもので（例: <span class=""inline"">path_Enemy_1</span>, <span class=""inline"">PowerUp_path</span>）、このように命名すれば、コードやアクションから呼び出すときも簡単に見分けることができます。"
Paths.htm+html.body.div.p:97-5,"Once you have named the path, you can start to define it by placing points in the main editor on the right, with each point being added to the list here along with its position and speed. The speed value for path points is defined by a percentage of the speed at which you make the instance move along the path (default is 100%). So if you start an instance at a speed of 2 (2 pixels per step) along a path and then one of the path points has a speed value of 50%, the instance will reduce speed as it approaches this points to a speed of 1 (50% of the path speed). Equally, you can set the speed to 150% and the instance will accelerate as it reaches the point. In this way you can create some nice dynamic looking movement without any code whatsoever.",名前をつけたら、右側のメインエディタからポイントを置き、パスを形作りましょう。置かれたポイントはリストに追加され、位置と速度が表示されます。ポイントの速度値は、インスタンスがパスに沿って移動する速度をパーセント単位で決めるものです（デフォルトでは100%）。たとえばインスタンスのパスに沿う速度が2（ステップ毎に2ピクセル）で始まったとして、速度値が50%になっているポイントがある場合、インスタンスの速度はこのポイントに近づくにつれ1（パスの速度の50%）へと減少することになります。同じように速度が150%であれば、ポイントに近づくにつれインスタンスが加速します。このようにコードを書かなくても、ダイナミックな動きを作ることが可能です。
Paths.htm+html.body.div.p:102-5,"It is worth noting that you can fast double click <img_tag=LMB_Icon:0> on any of the defined points in the list to pan the editor to the selected point, or slow double click <img_tag=LMB_Icon:1> on one of the values to edit it manually (x, y, or speed).","覚えておきたい点として、リストに追加されたポイントを素早くダブルクリック<img_tag=LMB_Icon:0>するとビューをポイントの位置まで移動でき、ゆっくりダブルクリック<img_tag=LMB_Icon:1>すると値 （X, Y, 速度）を直接編集できます。"
Paths.htm+html.body.div.p:104-5,"You can also specify the connection kind for the whole path and whether the path should be closed or not (a closed path will connect the last point on the path with the first). The connection kind can be either <strong>straight line</strong>, or <strong>smooth </strong>where a straight line connect simply connects the points of a path in a linear basis, with angular changes at each point, while a smooth connection will create a much softer path that may not pass directly through any of the points, but rather take an approximate line, creating nice curves using <a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">smooth interpolation</a>. You can also specify the precision for the curves (default is 4) which can be from 1 to 8 with 8 being the smoothest. The image below shows an example of how these options affect the path:","さらに、パスの接続タイプと、パスを閉じるかどうかを指定可能です。パスを閉じると、最初と最後のポイントがつなぎ合わされます。接続タイプは<strong>直線</strong>または<strong>スムース</strong>から選ぶことができ、直線接続にした場合はパスのポイントが直線的につなぎ合わされ、ポイントの位置で角度が変化します。スムース接続はパスをなだらかにするため、ポイントの位置を通らない近似線になりがちですが、<a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">スムース補間</a>による自然なカーブ（曲線）を形成することができます。このカーブは1から8までの精度を指定可能で（デフォルトでは4）、8にすると最もなだらかになります。これらのオプションを設定することで、パスがどのように変化するかを示している例が次の画像です。"
Paths.htm+html.body.div.p.img[alt]:108-25,{IMG_TXT} Path Editor Examples,{IMG_TXT} パスエディタの例
Paths.htm+html.body.p:110-3,"<span data-open-text=""true"">Path Editing</span><span data-close-text=""true"">Path Editing</span>","<span data-open-text=""true"">パスの編集</span><span data-close-text=""true"">パスの編集</span>"
Paths.htm+html.body.div.p:112-5,"You can add points to the path clicking <img_tag=LMB_Icon:2> anywhere in the edit window, and all subsequent clicks will add further points. Once placed in the editor a point can be moved by clicking <img_tag=LMB_Icon:3> and dragging on it or by changing the values presented to you on the left for the X and Y position and speed (see <strong>Path Properties</strong>, above). You can use <img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0> and left click <img_tag=LMB_Icon:4> on multiple points to select them together, and this group of points can then be dragged around and placed as you require. You can press <img_tag=Delete_Key_Icon:0> to delete the selected point or points too.",ポイントは編集ウィンドウをクリック<img_tag=LMB_Icon:2>して追加します。繰り返しクリックすればどんどん追加可能です。エディタから置いたポイントはドラッグ<img_tag=LMB_Icon:3>をするか、左側に表示されているX座標、Y座標、速度を変えることで移動できます（<strong>パスのプロパティ</strong>を参照）。<img_tag=CTRL_Icon:0> / <img_tag=CMD_Icon:0>を押しながら複数のポイントを左クリック<img_tag=LMB_Icon:4>すると同時選択が可能で、ポイントをまとめて好きな位置までドラッグできます。<img_tag=Delete_Key_Icon:0>を押すと、選択しているポイントを削除できます。
Paths.htm+html.body.div.p:115-5,"There is an additional menu available to you in the editor window when you right click <img_tag=RMB_Icon:0>, shown below:",エディタのウィンドウを右クリック<img_tag=RMB_Icon:0>した場合は、次のサブメニューが開きます。
Paths.htm+html.body.div.p.img[alt]:116-25,{IMG_TXT} Path Editor RMB Menu,{IMG_TXT} パスエディタの右クリックメニュー
Paths.htm+html.body.div.p:116-5,Each of the items in this menu work as follows:,メニューの各項目には次の機能があります。
Paths.htm+html.body.div.ul.li:118-7,<strong>Delete Points</strong> - Delete the selected point or points.,<strong>ポイントを削除</strong> - 選択中のポイントを削除します。
