Dialog.htm+html.head.title:55-3,Dialog,Dialog
Dialog.htm+html.head.title:59-3,Dialog,Dialog
Dialog.htm+html.body.div.div.div[title]:73-7,Dialog,Dialog
Dialog.htm+html.body.div.div.div:73-7,Dialog,Dialog
Dialog.htm+html.body.h1:86-3,Dialog,Dialog
Dialog.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Dialog Event,{IMG_TXT} Dialogイベント
Dialog.htm+html.body.p:87-3,"The Dialog asynchronous event is only triggered when it gets a <a class=""tooltip"" title=""TITLE_KEY::callback"">callback</a> from one of the special <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/Dialog/Dialog.htm"">asynchronous dialog functions</a>, like <a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/Dialog/get_login_async.htm""><span class=""inline"">get_login_async()</span></a> (please see this function for an extended code example of how this event is used).","Dialog Asynchronousイベントは、専用の<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/Dialog/Dialog.htm"">Asynchronous Dialog関数</a>からの<a class=""tooltip"" title=""TITLE_KEY::callback"">コールバック</a>が取得されたときにのみ作動します（<a href=""../../../GameMaker_Language/GML_Reference/Asynchronous_Functions/Dialog/get_login_async.htm""><span class=""inline"">get_login_async()</span></a>などの関数が該当し、この関数のページにはイベントの使い方に関するサンプルコードもあります）。"
Dialog.htm+html.body.p:90-3,"These events are the ones that ask for some type of user input, which can be a name, login details, a number or a colour etc... As most devices do not like sitting in a loop waiting for a reply, they have to be asynchronous and GameMaker Studio 2 will continue to run in the background while these functions have a dialogue open and until they get the required user input which triggers this event. This means that if the dialog is open while a game is in progress, you should take steps to pause the game until the dialog callback has been recieved.",このイベントは名前、ログイン情報、番号、色などといったユーザー入力を要求します。多くのデバイスでは応答を待ち続けるループを受け付けないため、このようなイベントは非同期にしなくてはなりません。上記の関数によってダイアログが開かれている間、ユーザー入力によってイベントが作動するまでGameMaker Studio 2はバックグラウンドで実行されます。つまりゲームの進行中にダイアログを開く場合、そのコールバックを受信するまでゲームを一時停止させる必要があります。
Dialog.htm+html.body.p:93-3,"Again, a <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> is returned with the ID held in the special variable <a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>. The values held in this map will depend on the function used, and you should consult the individual entries for each function in this manual for more details.","また、イベントが作動すると<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>が返され、<a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><span class=""inline"">async_load</span></a>という専用の変数にそのIDが含まれます。マップに含まれる値はどの関数を利用したかによって異なります。詳しくはマニュアル内にある各関数のページを参照してください。"
Dialog.htm+html.body.div.div.div.div:101-9,"Back: <a href=""../Async_Events.htm"">Async Events</a>","戻る: <a href=""../Async_Events.htm"">Asyncイベント</a>"
Dialog.htm+html.body.div.div.div.div:102-9,"Next: <a href=""HTTP.htm"">HTTP</a>","次へ: <a href=""HTTP.htm"">HTTP</a>"
Dialog.htm+html.body.p:115-1,{SEARCH_RESULT} Page detailing the Dialog async event.,{SEARCH_RESULT} Async - Dialogイベントの詳細ページ
Dialog.htm+html.body.p:115-62,{INDEX_KEYWORD} Objects - Async Dialog Event,{INDEX_KEYWORD} オブジェクト - Async Dialogイベント
