Using_Animation_Curves.htm+html.head.title:55-3,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.head.title:59-3,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.body.div.div.div[title]:74-7,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.body.div.div.div:74-7,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.body.h1:87-3,Using Animation Curves,アニメーションカーブの使い方
Using_Animation_Curves.htm+html.body.p:88-3,"An important feature of the <a href=""Using_The_Dope_Sheet.htm"">dope sheet</a> is the ability to assign <a href=""../Animation_Curves.htm"">Animation Curves</a> to parameter tracks within the sequence to create <strong>parameter curves</strong> instead of parameter keyframes. There are two types of curves that can be used for parameter tracks:","<a href=""Using_The_Dope_Sheet.htm"">ドープシート</a>の大きな機能の1つは、シーケンスのパラメータートラックに<a href=""../Animation_Curves.htm"">アニメーションカーブ</a>を割り当て、パラメーターキーフレームの代わりに<strong>パラメーターカーブ</strong>を作成する機能です。パラメータートラックでは2つのタイプのカーブを使用できます。"
Using_Animation_Curves.htm+html.body.ul.li:91-5,<strong>Embedded Curves</strong>: These are curves that are embedded in the sequence and are unique to the parameter track they are used on.,<strong>埋め込みカーブ</strong>: シーケンスに埋め込まれ、1つのパラメータートラック専用となるカーブです。
Using_Animation_Curves.htm+html.body.ul.li:92-5,"<strong>Animation Curves</strong>: These are curves that are created independently of the sequence using the <a href=""../Animation_Curves.htm"">Animation Curve Editor</a>.","<strong>アニメーションカーブ</strong>: <a href=""../Animation_Curves.htm"">アニメーションカーブエディタ</a>で作成できる、シーケンスから独立したカーブです。"
Using_Animation_Curves.htm+html.body.p:94-3,"We'll start by explaining how to use an Animation Curve asset, which is simply a case of creating a new curve, setting up the channels in the Animation Curve Editor, and then dragging the curve asset into the dope sheet to apply it to the parameter track:",まずはアニメーションカーブアセットの使い方を説明します。簡単に説明すると、カーブを新規作成し、アニメーションカーブエディタでチャンネルを設定してから、ドープシート内のパラメータートラックにドラッグして適用するという手順になります。
Using_Animation_Curves.htm+html.body.p.img[alt]:97-5,{IMG_TXT} Add Animation Curve Asset To The Dope Sheet,{IMG_TXT} ドープシートにアニメーションカーブアセットを追加
Using_Animation_Curves.htm+html.body.p:98-3,You can also use the right mouse button <img_tag=RMB_Icon:0> menu option <strong>Set To External Anim Curve </strong>to add an animation curve asset to the selected parameter track. This will open the Asset Explorer where you can select the required curve from the ones presented to you:,また、右クリック<img_tag=RMB_Icon:0>メニューから<strong>外部アニメカーブに設定</strong>を選んでも、選択中のパラメータートラックにアニメーションカーブアセットを追加できます。アセットエクスプローラーが開きますので、使いたいカーブを候補から選びましょう。
Using_Animation_Curves.htm+html.body.p.img[alt]:100-6,{IMG_TXT} Add An Animation Curve To A Parameter Track,{IMG_TXT} パラメータートラックにアニメーションカーブを追加
Using_Animation_Curves.htm+html.body.p:100-3,"It is important to note that the Animation Curve asset <strong>must have the correct number of channels for the track it is being applied to</strong>, as each type of parameter track will require a different number of channels in the animation curve, with a different range per-channel. Below is a list of the different parameter tracks and the channels that they will require in each curve asset (channels should be added in the order given for each parameter type):",アニメーションカーブアセットには、<strong>適用させるトラックと同じ数のチャンネル</strong>を用意しなくてはなりません。これはパラメータトラックのタイプごとに必要なチャンネルの数が異なるためです。以下はカーブアセットで必要とされるパラメータートラック/チャンネルの一覧です（チャンネルはタイプ別に決められた順番で追加されます）。
Using_Animation_Curves.htm+html.body.ul.li:104-5,"<strong>Position</strong>: 2 channels, X and Y.",<strong>位置</strong>: チャンネル数2（X、Y）
Using_Animation_Curves.htm+html.body.ul.li:105-5,<strong>Rotation</strong>: 1 channel.,<strong>回転</strong>: チャンネル数1
Using_Animation_Curves.htm+html.body.ul.li:106-5,"<strong>Colour Multiply</strong>: 4 channels, Alpha, Red, Green and Blue, and the range <em>must</em> be between 0 and 255.",<strong>カラー乗算</strong>: チャンネル数 4 （アルファ、赤、緑、青） - 値は 0 から 255 までの範囲に<em>収める必要があります</em>。
Using_Animation_Curves.htm+html.body.ul.li:107-5,<strong>Image Index</strong>: 1 channel.,<strong>イメージのインデックス</strong>: チャンネル数1
Using_Animation_Curves.htm+html.body.ul.li:108-5,<strong>Image Speed</strong>: 1 channel.,<strong>イメージの速度</strong>: チャンネル数1
Using_Animation_Curves.htm+html.body.ul.li:109-5,"<strong>Origin</strong>: 2 channels, X and Y.",<strong>原点</strong>: チャンネル数2（X、Y）
Using_Animation_Curves.htm+html.body.ul.li:110-5,"<strong>Scale</strong>: 2 channels, X scale and Y scale, and note that the value is a multiplier, so the base value is 1 (no scale) and greater than one will make the image bugger, and less than 1 will make it smaller. Negative values will flip or mirror the image as well as apply scale.",<strong>スケール</strong>: チャンネル数 2 （ X スケール、Y スケール） - この値は倍率であり、1を基準値としています。1より大きくすると拡大し、小さくすると縮小されます。マイナスの値にした場合、イメージを上下/左右反転してから拡大縮小します。
Using_Animation_Curves.htm+html.body.ul.li:112-5,"<strong>Pitch</strong>: 1 channel, which <em>must</em> be scaled from 0 and 1 is the default pitch of the sound.",<strong>ピッチ</strong>: チャンネル数 1 - 値は 0 から<em>始まり</em>、1 でサウンドのデフォルトピッチになります。
Using_Animation_Curves.htm+html.body.ul.li:113-5,"<strong>Volume</strong>: 1 channel, which <em>must </em>be scaled from 0 and have a maximum of 1.",<strong>音量</strong>: チャンネル数1 - 値は 0 から<em>始まり</em>、1 で最大音量になります。
Using_Animation_Curves.htm+html.body.p:115-3,"By default, the animation curve will be applied along the entire length of the asset key it is attached to, however, much like with keyframes, you can click <img_tag=LMB_Icon:0> on a curve and drag it to re-position it on the timeline, and you can also hold down the <img_tag=Alt_Icon:0> key and and drag to resize the length of the curve (this also applies to <strong>embedded curves</strong>):",デフォルトでは、アニメーションカーブはアセットキーの全長にわたって適用されますが、キーフレームと同じようにタイムラインのカーブをドラッグ<img_tag=LMB_Icon:0>して配置を変えたり、<img_tag=Alt_Icon:0>を押しながらドラッグしてカーブの長さを変更することが可能です（<strong>埋め込みカーブ</strong>も同様）
Using_Animation_Curves.htm+html.body.p.img[alt]:117-6,{IMG_TXT} Resize and reposition anim curves,{IMG_TXT} アニメカーブの配置とサイズ変更
Using_Animation_Curves.htm+html.body.p:117-3,"The other way to add a parameter curve to a track is to embed it. This can be done by either clicking the right mouse button <img_tag=RMB_Icon:0> on the parameter track and selecting ""<em>Convert to embedded anim curve</em>"", or by clicking on the <strong>Toggle Curve Mode</strong> <img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" /> button, which will show you the track as an animation curve in the full dope sheet area, and you can then click the <strong>Convert To Curve</strong> button:","トラックにパラメーターカーブを追加するもう一つの方法、それが「埋め込み」です。パラメータートラックを右クリック<img_tag=RMB_Icon:0>し、「<em>埋め込みアニメカーブに変換</em>」を選ぶことでカーブを追加できます。また、<strong>カーブモードに切り替え</strong><img src=""../../assets/Images/Icons/Icon_Seq_ToggleCurves.png"" style=""width: 100%; max-width: 20px;"" />ボタンをクリックすると、トラックがドープシート全体にアニメーションカーブとして表示され、<strong>カーブに変換</strong>ボタンをクリックしてカーブを追加できるようになります。"
Using_Animation_Curves.htm+html.body.p.img[alt]:119-6,{IMG_TXT} Convert keyframes to a curve,{IMG_TXT} キーフレームをカーブに変換
Using_Animation_Curves.htm+html.body.p:119-3,"Once you have converted the parameter keyframe track to a curve it can be edited within the dope sheet, exactly the same way that you can edit <a href=""../Animation_Curves.htm"">animation curve assets</a>, this includes adding or removing points, changing their position, changing the curve type (linear, smooth or bezier), and renaming channels and the colour associated with it.","キーフレームトラックをカーブに変換すると、ドープシートで編集可能となります。編集のやり方は<a href=""../Animation_Curves.htm"">アニメーションカーブアセット</a>と同一で、ポイントの追加と削除、配置の変更、カーブのタイプ変更（リニア、スムース、ベジェ）、チャンネルの名前変更、色の再割り当てができます。"
