Using_The_Dope_Sheet.htm+html.head.title:55-3,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.head.title:59-3,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.body.div.div.div[title]:73-7,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.body.div.div.div:73-7,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.body.h1:86-3,Using The Dope Sheet,ドープシートの使い方
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Dope Sheet Editor,{IMG_TXT} ドープシートエディタ
Using_The_Dope_Sheet.htm+html.body.p:87-3,"The <strong>Dope Sheet </strong>is where the data from the different tracks added to the sequence is displayed over time, giving you not just an overview of each track, but also a means to edit the position of them as well as the timings for changes in parameters, etc...",<strong>ドープシート</strong>とは、シーケンスに追加されたトラックのデータが時系列表示される領域です。各トラックの全体像が見れるだけでなく、トラックの配置やパラメーターの変更タイミングなどを編集することができます。
Using_The_Dope_Sheet.htm+html.body.p:89-3,"When you add a new asset to a sequence, an <a class=""tooltip"" title=""TITLE_KEY::asset_track"">asset track</a> will be created in the Track Panel and an <a class=""tooltip"" title=""TITLE_KEY::asset_key"">asset key</a> will be added to the dope sheet at the current <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> position. This key will reflect the play length of the asset in frames:","シーケンスに新しいアセットを追加するとトラックパネルに<a class=""tooltip"" title=""TITLE_KEY::asset_track"">アセットトラック</a>が作成され、ドープシートの<a class=""tooltip"" title=""TITLE_KEY::asset_key"">再生ヘッド</a>位置に<a class=""tooltip"" title=""TITLE_KEY::playhead"">アセットキー</a>が追加されます。このキーはアセットのフレーム長を表しています。"
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Add An Asset To The Dope Sheet,{IMG_TXT} ドープシートにアセットを追加
Using_The_Dope_Sheet.htm+html.body.p:91-3,"The asset key itself can then be edited by moving the mouse to either the start or the end of the key frame and when the cursor changes clicking <img_tag=LMB_Icon:0> and dragging. This will either move the start of the key or the end of the key, depending on which you have selected, but both will affect the length of the key. Note that you can also change an asset key position by simply clicking <img_tag=LMB_Icon:1> anywhere on it and dragging left or right:",アセットキーを編集するには、キーフレームの先頭か末尾にマウスを移動させ、カーソルが変化してからドラッグ<img_tag=LMB_Icon:0>してください。この操作を行うことでキーの開始位置・終了位置を動かせますが、キーの長さも変化します。また、ほかの部分をクリック<img_tag=LMB_Icon:1>して横にドラッグするとアセットキーの配置を移動できます。
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:94-6,{IMG_TXT} Move Or Change An Asset Key In The Dope Sheet,{IMG_TXT} ドープシートのアセットキーを移動、変更
Using_The_Dope_Sheet.htm+html.body.p:94-3,"Other than asset keys, the dope sheet will also show <a class=""tooltip"" title=""TITLE_KEY::parameter_key"">parameter key</a> <span class=""glossextra""></span>. Parameter keys are initially ""points"" in time where you signal a change to a property for the asset they are related to, and the sequence will use the value for that point to change the asset. How this is done will depend on whether you have set the keys to <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a> or not in the <a href=""The_Track_Panel.htm"">Track Panel</a>. Parameter keys, like track keys, can be moved by clicking <img_tag=LMB_Icon:2> and dragging them along the timeline to a new position, and you can also extend the key to more than a single frame using the <img_tag=Alt_Icon:0> key at the same time as dragging (the cursor will change to show this). This means that you can hold key values over time before continuing with any interpolation to the next key:","ドープシートにはアセットキーだけでなく、<a class=""tooltip"" title=""TITLE_KEY::parameter_key"">パラメーターキー</a><span class=""glossextra""></span>も表示されます。パラメーターキーとは、アセットのパラメーター変更シグナルを送る「ポイント」であり、それらの値からシーケンスはアセットに変更を加えます。どのような方式で変更されるかは、<a href=""The_Track_Panel.htm"">トラックパネル</a>のキーに<a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">リニア補間</a>を設定したかによって変わります。トラックキーと同じように、パラメーターキーもドラッグ<img_tag=LMB_Icon:2>してタイムライン上の配置を変更できます。また、<img_tag=Alt_Icon:0>キーを押しながらドラッグすると（カーソルが以下の画像のように変化します）キーを複数フレームに伸ばすことができ、次のキーとの補間が行われるまでキーの値を保たせることができます。"
Using_The_Dope_Sheet.htm+html.body.p.img[alt]:99-6,{IMG_TXT} Move Or Change A Parameter Key In The Dope Sheet,{IMG_TXT} ドープシートのパラメーターキーを移動、変更
