Sounds.htm+html.head.title:55-3,Sounds,サウンド
Sounds.htm+html.head.title:59-3,Sounds,サウンド
Sounds.htm+html.body.div.div.div[title]:73-7,Sounds,サウンド
Sounds.htm+html.body.div.div.div:73-7,Sounds,サウンド
Sounds.htm+html.body.h1:86-3,The Sound Editor,サウンドエディタ
Sounds.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Sound Editor,{IMG_TXT} サウンドエディタ
Sounds.htm+html.body.p:87-3,"The <strong>Sound Editor</strong> is where you can load sounds into a new audio resource as well as set its properties. To load a sound, press the <strong>Load Sound</strong> button to the right of the sound name. A file selector dialogue pops up in which you can select the sound file. This be either a <span class=""inline"">WAV</span>, an <span class=""inline"">MP3 </span>file or an <span class=""inline"">OGG</span> file. In general <span class=""inline"">*.wav</span> are used for the short sound effects as even though they are generally larger files they will play instantaneously due to the fact that they do not need any type of decoding for playing. <span class=""inline"">*.mp3</span> or <span class=""inline"">*.ogg</span> format files should be used for background music or for sound effects that are longer or larger in size. These files are much smaller than a wave file would be but have a small CPU overhead as they have to be decoded before being played.","<strong>サウンドエディタ</strong>では、作成したオーディオリソースにサウンドを読み込んだり、プロパティの設定を行うことが可能です。サウンドを読み込むには、名前の右側にある<strong>サウンド読み込み</strong>ボタンを押しましょう。ファイル選択ダイアログが開き、<span class=""inline"">WAV</span>、<span class=""inline"">MP3</span>、<span class=""inline"">OGG</span>形式のファイルを選ぶことができます。<span class=""inline"">*.wav</span>は容量が大きくなりがちなファイルですが、再生にあたって特定のデコード処理を必要とせず、即座に再生できるという特徴があるため、おもに短い効果音に使われます。<span class=""inline"">*.mp3</span>および<span class=""inline"">*.ogg</span>形式のファイルはBGMや、長めの容量が大きい効果音に使われるファイルです。これらのファイルはwavファイルよりも容量がずっと少ないものの、再生する前にデコードを必要とするため、わずかなCPUオーバーヘッドを生じさせます。"
Sounds.htm+html.body.p:90-3,"Once you have loaded your file you can preview the sound by using the play button which will loop it continuously. This is very handy as it means you can make changes to the volume using the slider at the bottom of the window and hear what the effect it will have on the sound. There is a stop button too, so you can stop the preview at any time.",ファイルを読み込ませてから再生ボタンを押すと、サウンドをプレビュー再生できます。ウィンドウの下側にあるスライダーを動かすとサウンドの音量を変更できますが、プレビュー再生しながら動かせば音の大きさをそのまま確かめることができます。再生停止ボタンをクリックすると、好きなタイミングでプレビューを停止できます。
Sounds.htm+html.body.p:92-3,The sound window also has other options which are explained below:,サウンドウィンドウには、他にも次のようなオプションがあります。
Sounds.htm+html.body.p:94-3,"<span data-open-text=""true"">Name And File</span><span data-close-text=""true"">Name And File</span>","<span data-open-text=""true"">名前とファイル</span><span data-close-text=""true"">名前とファイル</span>"
Sounds.htm+html.body.div.p:96-5,"Here you can click the <em>Open</em> button to open the file explorer and choose an audio file to load. You can also set the name of the new resource from the ""Name"" field on the left. Names can only be alpha-numeric and may only use the underbar ""_"" symbol, and they cannot start with a number.","<em>開く</em>ボタンをクリックすると、ファイルエクスプローラーから音声ファイルを読み込むことができます。左の「名前欄」ではリソースの名前を設定できます。名前には英数字と""_""記号のみ使用可能で、数字から始まる名前をつけることはできません。"
Sounds.htm+html.body.p:100-3,"<span data-open-text=""true"">Attributes</span><span data-close-text=""true"">Attributes</span>","<span data-open-text=""true"">属性</span><span data-close-text=""true"">属性</span>"
Sounds.htm+html.body.div.p:102-5,"This section is for setting the sound attributes. These are the attributes that will be set when you export your game and will affect how the sound is played back at run-time. For sound effects (<span class=""inline"">WAV </span>format) you will want them to be <em>uncompressed </em>so that they play quickly and don't require decoding, however for <span class=""inline"">OGG</span> and <span class=""inline"">MP3</span> you'd generally want one of the other three options available.","ここではサウンドの属性を指定できます。属性はゲームがエクスポートされたときに設定され、実行時のサウンド再生方法を変化させます。効果音（<span class=""inline"">WAV</span>形式）ならすぐに再生されるようにデコードを必要としない「<em>非圧縮</em>」にするべきですが、<span class=""inline"">OGG</span>または<span class=""inline"">MP3</span>の場合は、他の3つの設定のうちいずれかを選ぶ必要があるでしょう。"
Sounds.htm+html.body.div.p:104-5,"<em>Compressed </em>audio will force all your sound files (irrespective of whether they are <span class=""inline"">*.wav</span> or <span class=""inline"">*.mp3</span> or <span class=""inline"">*.ogg</span>) to be compressed down to Ogg Vorbis <span class=""inline"">*.ogg</span> format files for <em>all </em>platforms. These sounds are smaller on disc, but will have a slight CPU overhead due to the need to be uncompressed and loaded into memory before being played, so you should keep that in mind if you wish to use <a class=""tooltip"" title=""TITLE_KEY::compression"">compression</a> in an already CPU intensive game.","オーディオの<em>圧縮</em>は、あらゆるサウンドファイルを（<span class=""inline"">*.wav</span>、<span class=""inline"">*.mp3</span>、<span class=""inline"">*.ogg</span>の区別をせず）<em>すべて</em>のプラットフォームにおいて強制的に、Ogg Vorbis（<span class=""inline"">*.ogg</span>）形式のファイルに圧縮します。圧縮されたサウンドは容量が小さくなるものの、再生する前に展開してメモリに読み込まなくてはならないため、わずかなCPUオーバーヘッドを生じさせます。CPU負荷の高いゲームで<a class=""tooltip"" title=""TITLE_KEY::compression"">圧縮</a>させる場合、その点を踏まえておいてください。"
Sounds.htm+html.body.div.p:105-5,"You can mitigate this CPU overhead somewhat by choosing to <em>uncompress on load</em>, which will place all the sounds into the device memory for faster playback, at the expense of increased memory use.",「<em>読み込み時に展開</em>」を指定するとCPUオーバーヘッドが軽減され、デバイスのメモリ上にサウンドを置くことで素早く再生できるようになりますが、そのぶんメモリの消費量は増加します。
Sounds.htm+html.body.div.p:106-5,"If you have chosen compressed audio, you can then also choose to have your sound <em>streamed from disk</em> too. A streamed sound will be one that is uncompressed and played in real time, streamed from the disc rather than loaded into memory. Streaming is ideal for music as it reduces the one-off overhead of uncompressing the whole file - which may cause a pause in the game - but is not recommended for simple sound effects where the hit on the CPU is much less. If you select streamed audio, you will <em>not</em> be able to assign the sound to an <a href=""../Settings/Audio_Groups.htm"">Audio Group</a> and this option will be disabled, as streamed sounds are not packaged in the same way as other sounds and you have full control over when they are loaded, played and unloaded using code.","オーディオを圧縮する場合、サウンドを<em>ディスク上からストリーミング</em>再生するかを決めなくてはなりません。ストリーミング再生ではサウンドを展開してメモリに読み込むのではなく、ディスク上からリアルタイム再生します。ファイル展開時に一度だけ生じる、ゲームを一時停止させるような負荷を抑えられることからBGMに向いており、CPU負荷がより少ないシンプルな効果音では非推奨となります。また、ストリーミングを選ぶとサウンドを<a href=""../Settings/Audio_Groups.htm"">オーディオグループ</a>に<em>割り当てることができなくなり</em>、オーディオグループの設定は無効となります。これは他のサウンドと同じようにパッケージングされなくなるためですが、コードを利用することで読み込み・再生・読み込み破棄のタイミングを自由にコントロールできます。"
