The_Sequence_Canvas.htm+html.head.title:55-3,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.head.title:59-3,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.body.div.div.div[title]:73-7,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.body.div.div.div:73-7,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.body.h1:86-3,The Sequence Canvas,シーケンスキャンバス
The_Sequence_Canvas.htm+html.body.p:87-3,"When creating sequences for your projects a large part of the work will be done in the <strong>canvas</strong> of the <a href=""../Sequences.htm"">Sequence Editor</a>. The canvas is simply the area that will be used to contain the sequence elements, and it also defines what will be shown when the sequence is added to a room to be displayed. When you first create a sequence, the canvas will be set to the default size of 1366px by 768px, but this can be changed from the <strong>Toolbox </strong>by clicking the <img_tag=Icon_Grid_Menu:0> beside the <strong>Canvas Frame Toggle</strong> <img_tag=Toggle_Canvas_Frame_Icon:0> button:","プロジェクトのシーケンスを作る上で、大部分の作業は<a href=""../Sequences.htm"">シーケンスエディタ</a>の<strong>キャンバス</strong>で行われます。キャンバスとはシーケンス要素が入れられる場所であり、シーケンスがルームに追加されたときにどう表示されるかを決める領域です。最初にシーケンスを作成すると、キャンバスのデフォルトサイズは1366px * 768pxに設定されます。このサイズは、<strong>ツールボックス</strong>の<strong>キャンバスフレーム切替</strong><img_tag=Toggle_Canvas_Frame_Icon:0>ボタンの横にある<img_tag=Icon_Grid_Menu:0>をクリックすると変更可能です。"
The_Sequence_Canvas.htm+html.body.p.img[alt]:90-6,{IMG_TXT} Sequence Editor Canvas Options,{IMG_TXT} シーケンスエディタのキャンバス設定
The_Sequence_Canvas.htm+html.body.p:90-3,"The canvas size defines a visual area within which to place the assets that make up the sequence, but the frame is simply a guide to size and will not affect how things are rendered, ie: if you place a sprite asset outside the frame and add the sequence to a room, the asset will still be rendered.",キャンバスのサイズはシーケンスの構成アセットを配置するうえでの視覚的範囲となりますが、このフレームはいわば大きさの目安であり、レンダリングの結果には影響しません。たとえば、スプライトアセットがフレームの外に配置されているシーケンスをルームに追加した場合でも、そのスプライトアセットはレンダリングされます。
The_Sequence_Canvas.htm+html.body.p:92-3,"The frame is also used to house any <strong>reference images</strong> that you want to use to guide the positioning of assets within the sequence. A reference image can be added from the same <strong>Canvas Options</strong> menu where you set the size of the canvas frame, and will be used as a background image for the sequence canvas. This permits you to position things according to - for example - a UI mock-up from a project artist:",フレームには<strong>参考画像</strong>を割り当てることができ、シーケンスのアセット配置を合わせるためのガイドとして扱えます。参考画像はキャンバスのフレームサイズと同じく<strong>キャンバスオプション</strong>から設定でき、設定した画像はシーケンスキャンバスの背景画像となります。このオプションを利用することで、たとえばプロジェクトのアーティストが制作したUIモデルに合わせて配置を行うということができます。
The_Sequence_Canvas.htm+html.body.p.img[alt]:94-6,{IMG_TXT} The Canvas With A Reference Image,{IMG_TXT} 参考画像つきキャンバス
The_Sequence_Canvas.htm+html.body.p:94-3,Note that reference images are not stored with the project and will not be rendered when the sequence is added to a room.,参考画像はプロジェクトには含まれず、シーケンスに追加してもレンダリングされないためご注意ください。
The_Sequence_Canvas.htm+html.body.p:95-3,"Once you have the canvas set up how you want you can start to add assets to it. This is done simply by dragging them from the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> into the canvas, which will create an <a class=""tooltip"" title=""TITLE_KEY::asset_track"">asset track</a> in the <a href=""The_Track_Panel.htm"">Track Panel</a>:","キャンバスの設定ができたら今度はアセットを追加しましょう。アセットは<a href=""../../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>からキャンバスにドラッグすると追加できます。アセットを追加すると、<a href=""The_Track_Panel.htm"">トラックパネル</a>に<a class=""tooltip"" title=""TITLE_KEY::asset_track"">アセットトラック</a>が作成されます。"
The_Sequence_Canvas.htm+html.body.p.img[alt]:96-6,{IMG_TXT} Adding An Asset To The Canvas,{IMG_TXT} キャンバスにアセットを追加
The_Sequence_Canvas.htm+html.body.p:96-3,The assets that can be added to a sequence are as follows:,キャンバスには以下のアセットを追加できます。
The_Sequence_Canvas.htm+html.body.ul.li:98-5,Sprites,スプライト
The_Sequence_Canvas.htm+html.body.ul.li:99-5,Objects,オブジェクト
The_Sequence_Canvas.htm+html.body.ul.li:100-5,Sounds,サウンド
The_Sequence_Canvas.htm+html.body.ul.li:101-5,Sequences,シーケンス
The_Sequence_Canvas.htm+html.body.p:103-3,"Once you have added the assets that are required, they can be placed at their initial positions for the animation, and can also be transformed using the various different <strong>Transform Control Gizmos</strong>. These are accessed in two different ways:",必要なアセットを追加できたら、アセットをそれぞれ初期位置に配置しましょう。さらに<strong>変形操作ギズモ</strong>を使えばさまざまな変形も可能です。変形は2つの方法で行うことができます。
The_Sequence_Canvas.htm+html.body.ul.li:106-5,By moving the mouse to the edges of the asset in the canvas and clicking <img_tag=LMB_Icon:0> and dragging (note that the cursor will change to show the different transforms that will be changed):,キャンバスに配置したアセットの端にマウスカーソルを合わせてドラッグ<img_tag=LMB_Icon:0>（カーソルの表示が変形操作に合わせて切り替わります）:
The_Sequence_Canvas.htm+html.body.ul.li.img[alt]:108-7,{IMG_TXT} Transforming The Asset In The Canvas,{IMG_TXT} キャンバスのアセットを変形
The_Sequence_Canvas.htm+html.body.ul.li:109-5,"By using the transform gizmo at the origin of the asset, which you can change from the canvas Toolbox:",アセットの原点にある変形ギズモ（ツールボックスから変更可能）を使用:
The_Sequence_Canvas.htm+html.body.ul.li.img[alt]:110-7,{IMG_TXT} Using The Transform Gizmo And The Toolbox,{IMG_TXT} 変形ギズモとツールボックスの使い方
The_Sequence_Canvas.htm+html.body.p:112-3,"When you have set the initial transforms for the asset (if required) you can then use the canvas to add <a class=""tooltip"" title=""TITLE_KEY::parameter_key"">parameter key</a><span class=""glossextra""></span> to the asset track in the <strong>Track Panel</strong>. A simple example of how this works would be a basic position transform, where you would place the asset at it's start position, then move the <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> in the <a href=""Using_The_Dope_Sheet.htm"">Dope Sheet</a> to the frame you want the movement to end, and then move the asset again:","こうした初期変形は必要があれば設定してください。すべて終えたら、今度は<strong>トラックパネル</strong>のアセットに<a class=""tooltip"" title=""TITLE_KEY::parameter_key"">パラメーターキー</a><span class=""glossextra""></span>を追加しましょう。簡単な例として、基本的な位置変形を紹介します。アセットはもう開始位置に配置されているはずですので、移動を終わらせるフレームまで<a href=""Using_The_Dope_Sheet.htm"">ドープシート</a>の<a class=""tooltip"" title=""TITLE_KEY::playhead"">再生ヘッド</a>を動かし、それからアセットの配置をもう一度変更してください。"
The_Sequence_Canvas.htm+html.body.p.img[alt]:114-6,{IMG_TXT} Adding A Parameter Key To An Asset In The Canvas,{IMG_TXT} キャンバスのアセットにパラメーターキーを追加
