Networking.htm+html.head.title:55-3,Networking,Networking
Networking.htm+html.head.title:59-3,Networking,Networking
Networking.htm+html.body.div.div.div[title]:73-7,Networking,Networking
Networking.htm+html.body.div.div.div:73-7,Networking,Networking
Networking.htm+html.body.h1:86-3,Networking,Networking
Networking.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Networking Event,{IMG_TXT} Networkingイベント
Networking.htm+html.body.p:88-3,"The Networking event is one which will be triggered by any incoming network traffic, and is linked to the <a href=""../../../GameMaker_Language/GML_Reference/Networking/Networking.htm"">Network Functions</a>. This event generates a special <a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DS Map</a> that is exclusive to this event and is stored in the special variable <a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm"">async_load</a>. This DS map will contain different information depending on the type of network event that generated it.","ネットワークトラフィックを受信するたびに作動するイベントであり、<a href=""../../../GameMaker_Language/GML_Reference/Networking/Networking.htm"">ネットワーク関数</a>と関連しています。作動するとイベント内だけで使える<a href=""../../../GameMaker_Language/GML_Reference/Data_Structures/DS_Maps/DS_Maps.htm"">DSマップ</a>が生成され、<a href=""../../../GameMaker_Language/GML_Overview/Variables/Builtin_Global_Variables/async_load.htm"">async_load</a>という専用変数に格納されます。このDSマップには、Networkingイベントのタイプに応じたさまざまな情報が含まれます。"
Networking.htm+html.body.h2:92-3,Common Networking Events,Networkingイベント共通
Networking.htm+html.body.p:93-3,"The following keys are common to all received network functions and will always be present in the <span class=""inline"">async_load</span> map:","これらのキーは受け付けるすべてのネットワーク関数で共通となっており、<span class=""inline"">async_load</span>のDSマップに必ず追加されます。"
Networking.htm+html.body.ul.li:95-5,"""<strong>type</strong>"": This will have one of the constants listed in the table below as its return value, and designates the network event type.","""<strong>type</strong>"": 以下のテーブルにある定数のいずれかが戻り値となり、Networkイベントのタイプを表します。"
Networking.htm+html.body.ul.li:96-5,"""<strong>id</strong>"": The socket id (a real number, as returned by the network_create_server or network_create_socket function) that is receiving the event. In most cases the socket ID returned is the ID of TCP or UDP socket that triggered the event, however if the event is triggered in a server and it's a Data Event (see below) then the socket ID is that of the client that sent the data.","""<strong>id</strong>"": イベントが受信したソケットIDで、network_create_server()またはnetwork_create_socket()関数によって返される実数です。ソケットIDとして返される値はほとんどの場合、イベントを作動させたTCPまたはUDPソケットのIDとなりますが、イベントがサーバー側で作動し、なおかつDataイベント（以下を参照）である場合、データを送信したクライアントのソケットIDとなります。"
Networking.htm+html.body.ul.li:98-5,"""<strong>ip</strong>"": The IP address of the socket (as a string).","""<strong>ip</strong>"": ソケットのIPアドレス（文字列）です。"
Networking.htm+html.body.ul.li:99-5,"""<strong>port</strong>"": The port associated with the IP address (useful when working with UDP).","""<strong>port</strong>"": IPアドレスに割り当てられているポートです。UDPでの動作時に役立ちます。"
Networking.htm+html.body.p:101-3,"The possible return values for the ""type"" key can be any of the four constants listed below:","""type""キーの戻り値は、以下の4つの定数から選ばれます。"
Networking.htm+html.body.table.tbody.tr.th:105-9,Constant,定数
Networking.htm+html.body.table.tbody.tr.th:106-9,Description,説明
Networking.htm+html.body.table.tbody.tr.td:109-9,network_type_connect,network_type_connect
Networking.htm+html.body.table.tbody.tr.td:110-9,The event was triggered by a connection.,イベントが接続によって作動
Networking.htm+html.body.table.tbody.tr.td:113-9,network_type_disconnect,network_type_disconnect
Networking.htm+html.body.table.tbody.tr.td:114-9,The event was triggered by a disconnection.,イベントが切断によって作動
