camera_get_view_x.htm+html.head.title:55-3,camera_get_view_x
camera_get_view_x.htm+html.head.title:59-3,camera_get_view_x
camera_get_view_x.htm+html.body.div.div.div[title]:73-7,camera_get_view_x
camera_get_view_x.htm+html.body.div.div.div:73-7,camera_get_view_x
camera_get_view_x.htm+html.body.h1:86-3,camera_get_view_x
camera_get_view_x.htm+html.body.p:87-3,"This function can be used to retrieve the x position of the view for a given camera. Note that this function is <i>only</i> valid for cameras created using <a href=""camera_create_view.htm""><tt>camera_create_view()</tt></a> or for those added in the room editor."
camera_get_view_x.htm+html.body.h4:90-3,Syntax:
camera_get_view_x.htm+html.body.p:91-3,camera_get_view_x(camera_id)
camera_get_view_x.htm+html.body.table.tbody.tr.th:95-9,Argument
camera_get_view_x.htm+html.body.table.tbody.tr.th:96-9,Description
camera_get_view_x.htm+html.body.table.tbody.tr.td:99-9,camera_id
camera_get_view_x.htm+html.body.table.tbody.tr.td:100-9,The unique camera ID value returned when you created the camera
camera_get_view_x.htm+html.body.h4:105-3,Returns:
camera_get_view_x.htm+html.body.p:106-3,Real
camera_get_view_x.htm+html.body.h4:108-3,Example:
camera_get_view_x.htm+html.body.p:109-3,"{ANY_CODE} var vx = camera_get_view_x(view_camera[0]);<br /> var vy = camera_get_view_y(view_camera[0]);<br /> draw_text(vx + 5, vy + 5, ""SCORE"" + string(score));"
camera_get_view_x.htm+html.body.p:110-3,The above code retrieves the position of the camera assigned to view port[0] and then draws text relative to that position.
camera_get_view_x.htm+html.body.div.div.div.div:117-9,"Back: <a href=""Cameras_And_View_Ports.htm"">Cameras And View Ports</a>"
camera_get_view_x.htm+html.body.div.div.div.div:118-9,"Next: <a href=""camera_get_view_y.htm"">camera_get_view_y</a>"
camera_get_view_x.htm+html.body.p:130-1,{SEARCH_RESULT} Reference page for camera_get_view_x
