Object_Editor_Preferences.htm+html.head.title:55-3,Object Editor Preferences
Object_Editor_Preferences.htm+html.head.title:59-3,Object Editor Preferences
Object_Editor_Preferences.htm+html.body.div.div.div[title]:73-7,Object Editor Preferences
Object_Editor_Preferences.htm+html.body.div.div.div:73-7,Object Editor Preferences
Object_Editor_Preferences.htm+html.body.h1:86-3,Object Editor Preferences
Object_Editor_Preferences.htm+html.body.p:88-3,"The <strong>Object Editor Preferences</strong> are used to define certain properties for the <a href=""../../The_Asset_Editors/Objects.htm"">Object Editor</a> window. The main section contains the following option:"
Object_Editor_Preferences.htm+html.body.ul.li:90-5,<strong>Click to open Event method</strong>: This option controls whether you need to perform a double click or a single click on an object event to open it. By default this is set to double-click.
Object_Editor_Preferences.htm+html.body.ul.li:91-5,<strong>Inherited Events alpha</strong>: This option permits you to change the alpha that any ¡inherited events will be drawn with in the events list of the object. By default this is set to 0.5 (values should be between 0 and 1).
Object_Editor_Preferences.htm+html.body.ul.li:92-5,<strong>Events label format</strong>: Here you can enable or disable the different possible texts that can be applied to the event label in the object editor events list. By default the Event Description is enabled only.
Object_Editor_Preferences.htm+html.body.ul.li:93-5,<strong>Add default event content</strong>: By default this option is enabled and all it does is add a simple comment into the code editor for all new events to remind you that you can add your code there.
Object_Editor_Preferences.htm+html.body.ul.li:94-5,<strong>Default event content</strong>: Here you can edit the comments that are added by default in the code window for new events.
Object_Editor_Preferences.htm+html.body.p:96-3,The following sub-category also exists for the Object Editor:
Object_Editor_Preferences.htm+html.body.p:97-3,"<span data-open-text=""true"">Confirm Dialogs</span><span data-close-text=""true"">Confirm Dialogs</span>"
Object_Editor_Preferences.htm+html.body.div.p.img[alt]:100-7,{IMG_TXT} The Object Editor Confirm Dialog Preferences
Object_Editor_Preferences.htm+html.body.div.p:101-5,"This section deals with the dialogs that may be be shown while using the Object Editor, with the following option available:"
Object_Editor_Preferences.htm+html.body.div.ul.li:103-7,"<strong>Automatic response to DnD™ conversion to Gamemaker Language</strong>: You can use the right mouse button <img data-cke-saved-src=""../../assets/Images/Icons/Icon_RMB.png"" src=""../../assets/Images/Icons/Icon_RMB.png"" alt=""{IMG_TXT} RMB Icon"" class=""icon"" style=""width: 100%; max-width: 21px;"" /> within the Drag and Drop™ workspace to select the option to turn all Drag and Drop™ for that event into GML code. The default action here is to show a warning message asking if you want to continue, but you can set this to ""Okay"" and the dialog will not be shown before the conversion."
Object_Editor_Preferences.htm+html.body.div.ul.li:107-7,"<strong>Automatic response to exceeding physics vertex limit</strong>: This option can be used to control the pop up message that is shown when you exceed the permitted vertex number in the physics shape editor. The default action here is to show a warning message, but you can set this to ""Okay"" and the dialog will not be shown."
Object_Editor_Preferences.htm+html.body.div.ul.li:110-7,"<strong>Automatic choice on event deletion</strong>: This option can be used to control the pop up message that is shown when you delete an event in the Object editor events list. The default action here is to show a warning message, but you can set this to ""Okay"" and the dialog will not be shown."
Object_Editor_Preferences.htm+html.body.div.div.div.div:120-9,"Back: <a href=""../IDE_Preferences.htm"">IDE Preferences</a>"
Object_Editor_Preferences.htm+html.body.div.div.div.div:121-9,"Next: <a href=""Font_Editor_Preferences.htm"">Font Editor Preferences</a>"
Object_Editor_Preferences.htm+html.body.p:133-1,{SEARCH_RESULT} The Object Editor Preferences
Object_Editor_Preferences.htm+html.body.p:133-53,{INDEX_KEYWORD} Prefs - Objects
