Sprite_Editor_Preferences.htm+html.head.title:55-3,Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.head.title:59-3,Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.div.div.div[title]:73-7,Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.div.div.div:73-7,Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.h1:86-3,Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.p:88-3,"The <strong>Sprite Editor Preferences</strong> are used to define how the <a href=""../../The_Asset_Editors/Sprites.htm"">Sprite Editor</a> looks and functions. The following options exist:"
Sprite_Editor_Preferences.htm+html.body.ul.li:90-5,<strong>Default sprite origin</strong>: This option permits you to set the default origin position for any new sprite resources that you create. The default value is the Top Left.
Sprite_Editor_Preferences.htm+html.body.ul.li:91-5,"<strong>Default sprite collision mask kind</strong>: This option permits you to set the default kind of collision mask to use for new sprites. Choices are <em>rectangle</em>, <em>rotated rectangle</em>, <em>ellipse</em>, <em>diamond</em>, or <em>precise</em> / <em>precise per frame.</em> The default is <em>rectangle</em>."
Sprite_Editor_Preferences.htm+html.body.ul.li:92-5,"<strong>Default sprite animation mode</strong>: This option permits you to set the default animation mode for sprites in the sprite editor. You can choose either "" <em>Frames per second</em>"" or "" <em>Frames per game frame</em>"", with the default setting being "" <em>Frames per second</em>""."
Sprite_Editor_Preferences.htm+html.body.ul.li:94-5,"<strong>Default sprite animation speed</strong>: This option permits you to set the default animation speed value for when you create a new sprite asset. Note that this value is linked to the animation mode and - for example - 3 frames per second is not the same as 30 frames per game frame, so be sure to set this value correctly in reference to the preferred mode. Default value is 30."
Sprite_Editor_Preferences.htm+html.body.ul.li:96-5,<strong>Default sprite width</strong>: This option permits you to set the default width for all new sprites created. Default value is 64.
Sprite_Editor_Preferences.htm+html.body.ul.li:97-5,<strong>Default sprite height</strong>: This option permits you to set the default height for all new sprites. Default value is 64.
Sprite_Editor_Preferences.htm+html.body.ul.li:98-5,"<strong>Apply resize and scale to sprite origin</strong>: When checked this option will change the origin of the sprite when the sprite is resized or scaled, with the new origin being moved/scaled to match the new values for the sprite. Note that this is only applicable for custom sprite origins that are not locked in the sprite editor. If the origin is locked or the sprite uses one of the default positions - eg: ""Center"" or ""Top Left"", etc... - then this option will be grayed out and unavailable for changing. Default is enabled."
Sprite_Editor_Preferences.htm+html.body.p:102-3,The following sub-category also exists for the Sprite Editor:
Sprite_Editor_Preferences.htm+html.body.p:103-3,"<span data-open-text=""true"">Confirm Dialogs</span><span data-close-text=""true"">Confirm Dialogs</span>"
Sprite_Editor_Preferences.htm+html.body.div.p.img[alt]:106-7,{IMG_TXT} The Sprite Editor Confirm Dialog Preferences
Sprite_Editor_Preferences.htm+html.body.div.p:107-5,The options available here control the messages that pop up when are required to confirm an action. You can change these setting to show the message always or dismiss it with a specific action (either Yes or No) :
Sprite_Editor_Preferences.htm+html.body.div.ul.li:109-7,"Automatic response to file import: When you import a new image and one already exists, by default you will be prompted to continue importing and overwrite the existing image or cancel the operation. This option lets you suppress this message and always either cancel the import by selecting ""No"", or overwrite the current sprite by selecting ""Yes"". Default value is ""Show Message""."
Sprite_Editor_Preferences.htm+html.body.div.ul.li:111-7,"Automatic response to image load failure: When you import a new image and and the import fails, by default you will be shown a warning message informing you that there has been a failure. This option lets you suppress this message by selecting ""Okay"". Default value is ""Show Message""."
Sprite_Editor_Preferences.htm+html.body.div.div.div.div:120-9,"Back: <a href=""../IDE_Preferences.htm"">IDE Preferences</a>"
Sprite_Editor_Preferences.htm+html.body.div.div.div.div:121-9,"Next: <a href=""Object_Editor_Preferences.htm"">Object Editor Preferences</a>"
Sprite_Editor_Preferences.htm+html.body.p:133-1,{SEARCH_RESULT} The Sprite Editor Preferences
Sprite_Editor_Preferences.htm+html.body.p:133-53,{INDEX_KEYWORD} Prefs - Sprites
