Power_Saving.htm+html.head.title:55-3,Power Saving
Power_Saving.htm+html.head.title:59-3,Power Saving
Power_Saving.htm+html.body.div.div.div[title]:73-7,Power Saving
Power_Saving.htm+html.body.div.div.div:73-7,Power Saving
Power_Saving.htm+html.body.h1:86-3,Power Saving Preferences
Power_Saving.htm+html.body.p.img[alt]:87-6,{IMG_TXT} Power Saving Prefs
Power_Saving.htm+html.body.p:88-3,The <strong>Power Saving</strong> preferences here will affect how much CPU power and GPU power will be used to generate the GameMaker Studio 2 IDE (essentially this will lower the base framerate at which the program runs and so lower power consumption).
Power_Saving.htm+html.body.p:89-3,The options here are:
Power_Saving.htm+html.body.ul.li:91-5,<strong>AC power framerate (%)</strong>: The base IDE framerate modifier when connected to a power input. Default is 100%.
Power_Saving.htm+html.body.ul.li:92-5,<strong>Battery power framerate (%)</strong>: The base IDE framerate modifier when using battery to power the machine. Default is 35%.
Power_Saving.htm+html.body.ul.li:93-5,<strong>Background framerate (%)</strong>: The base IDE framerate modifier when GameMaker Studio 2 is not in focus (regardless of the power supply). Default is 15%.
Power_Saving.htm+html.body.div.div.div.div:101-9,"Back: <a href=""../General_Preferences.htm"">General Preferences</a>"
Power_Saving.htm+html.body.div.div.div.div:102-9,"Next: <a href=""Recent_Windows.htm"">Recent Windows Preferences</a>"
Power_Saving.htm+html.body.p:114-1,{SEARCH_RESULT} The Power Saving Preferences from the General Preferences section
Power_Saving.htm+html.body.p:114-89,{INDEX_KEYWORD} Prefs - General - Power Saving
