Spline_Editor.htm+html.head.title:55-3,Spline Editor
Spline_Editor.htm+html.head.title:59-3,Spline Editor
Spline_Editor.htm+html.body.div.div.div[title]:73-7,Spline Editor
Spline_Editor.htm+html.body.div.div.div:73-7,Spline Editor
Spline_Editor.htm+html.body.h1:86-3,Spline Editor Preferences
Spline_Editor.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Spline Editor Preferences
Spline_Editor.htm+html.body.p:87-3,"The <strong> <a class=""tooltip"" title=""TITLE_KEY::spline"">spline</a> Editor Preferences</strong> are used primarily to define how the smooth paths in the <a href=""../../The_Asset_Editors/Paths.htm"">Path Editor</a> look, although they will affect certain other aspects of the <a class=""tooltip"" title=""TITLE_KEY::IDE"">IDE</a> (like the Physics Shape Editor). The following options exist:"
Spline_Editor.htm+html.body.ul.li:91-5,"<strong>Insert path point precision (px)</strong>: This sets the precision value (in pixels) for inserting points on a path, ie: the mouse must be within this range to insert the point rather than add a new one. Default is 20px."
Spline_Editor.htm+html.body.ul.li:92-5,"<strong>Anchor point width</strong>: Set the width of the anchor points, in pixels. Default is 8px;"
Spline_Editor.htm+html.body.ul.li:93-5,"<strong>Anchor point height</strong>: Set the height of the anchor points, in pixels. Default is 8px;"
Spline_Editor.htm+html.body.ul.li:94-5,"<strong>Path colour</strong>: The colour to be used to show the path as you edit it. Default is ( <a class=""tooltip"" title=""TITLE_KEY::ARGB"">ARGB</a>) #FFFFFFFF."
Spline_Editor.htm+html.body.ul.li:95-5,<strong>Highlighted path segment colour</strong>: The colour to be used to highlight any selected path segments. Default is (ARGB) #FFFFFFFF.
Spline_Editor.htm+html.body.ul.li:96-5,<strong>Invalid path colour</strong>: The colour to be used to highlight a path that is not valid. Default is (ARGB) #FF0000FF.
Spline_Editor.htm+html.body.ul.li:97-5,<strong>Anchor points colour</strong>: The colour to be used to draw the path anchor points. Default is (ARGB) #FFC0C0C0.
Spline_Editor.htm+html.body.ul.li:98-5,<strong>Invalid anchor points colour</strong>: The colour to be used to draw the path anchor points. Default is (ARGB) #FF800000.
Spline_Editor.htm+html.body.ul.li:99-5,<strong>Selected anchor point colour</strong>: The colour to be used to draw the path anchor points that have been highlighted (selected). Default is (ARGB) #FF00A4FF.
Spline_Editor.htm+html.body.ul.li:100-5,<strong>Selected invalid anchor point colour</strong>: The colour to be used to draw the anchor points that are highlighted but invalid. Default is (ARGB) #FFA400FF.
Spline_Editor.htm+html.body.ul.li:101-5,<strong>Mouse-over anchor point colour</strong>: The colour to be used to draw the anchor points that are active. Default is (ARGB) #FFFFFFFF.
Spline_Editor.htm+html.body.ul.li:102-5,<strong>Mouse-over invalid anchor point colour</strong>: The colour to be used to draw the anchor points that are active but invalid. Default is (ARGB) #FF0000FF.
Spline_Editor.htm+html.body.ul.li:103-5,<strong>Mask overlay colour</strong>: Set the overlay colour for masks if they are enabled (see above). Default is (ARGB) #FF404040.
Spline_Editor.htm+html.body.div.div.div.div:111-9,"Back: <a href=""../IDE_Preferences.htm"">IDE Preferences</a>"
Spline_Editor.htm+html.body.div.div.div.div:112-9,"Next: <a href=""Tile_Set_Editor_Preferences.htm"">Tile Set Editor Preferences</a>"
Spline_Editor.htm+html.body.p:124-1,{SEARCH_RESULT} The Spline Editor Preferences
Spline_Editor.htm+html.body.p:124-53,{INDEX_KEYWORD} Prefs - Splines
