Licencing_Information.htm+html.head.title:55-3,Licencing Information
Licencing_Information.htm+html.head.title:59-3,Licencing Information
Licencing_Information.htm+html.body.div.div.div[title]:74-7,Licencing Information
Licencing_Information.htm+html.body.div.div.div:74-7,Licencing Information
Licencing_Information.htm+html.body.h1:87-3,Licencing Information
Licencing_Information.htm+html.body.p:88-3,"Once you have downloaded and installed GameMaker Studio 2, the first time you use it you will be requested to input your licence details:"
Licencing_Information.htm+html.body.p.img[alt]:89-6,{IMG_TXT} GameMaker Studio 2 Login Screen
Licencing_Information.htm+html.body.p:89-3,"Your licence is tied to a <strong>YoYo Account</strong> (YYA) and you are required to have made one to be able to use GameMaker Studio 2 . This account holds all your licence details for the YoYo Games products that you own, and is also used for the <a href=""../Introduction/The_Marketplace.htm"">YoYo Games Marketplace</a>. You can find out further information about the YYA from the following page:"
Licencing_Information.htm+html.body.ul.li:93-5,Creating A YoYo Account
Licencing_Information.htm+html.body.p:95-3,"<strong>IMPORTANT!</strong> After purchasing any new licence for GameMaker Studio 2 we recommend that you <strong>log out of the IDE and then restart GameMaker Studio 2</strong> <strong>and log back in again</strong> to make sure that the new licence is applied correctly. You can log out from the <a href=""../IDE_Navigation/Menus/The_File_Menu.htm"">File Menu</a>."
Licencing_Information.htm+html.body.h1:99-3,Proxy Support
Licencing_Information.htm+html.body.p:100-3,"If you require Proxy Support for your installation of GameMaker Studio 2, this can be added simply by clicking the <strong>Proxy</strong>. This will bring up the following window:"
Licencing_Information.htm+html.body.p.img[alt]:101-6,{IMG_TXT} GameMaker Studio 2 Proxy Window
Licencing_Information.htm+html.body.p:101-3,"You can now add in your proxy details. Some of the fields shown above are optional and if there is one you don't require then simply leave the field blank. Before continuing however it is worth noting that if you have set a proxy in your <a href=""https://www{-dot-}isunshare{-dot-}com/windows-10/4-ways-to-open-internet-options-in-windows-10.html"">Windows Internet Options</a>, and it doesn't require a username/password, then it should just ""as is"" and you probably will not be required to set up the proxy in GameMaker Studio 2."
Licencing_Information.htm+html.body.p:104-3,"If your proxy does require a username and/or password, then you'll need to add them in to the fields shown in the window above. Note that in these cases the username/password/proxy details will always be required, and that the proxy IP should also have the port added, ie: <span class=""inline"">xx.xx.xx.xx:port</span>."
Licencing_Information.htm+html.body.p:106-3,"Once you have added the relevant information, click on Okay and log in to GameMaker Studio 2 as normal."
Licencing_Information.htm+html.body.div.div.div.div:113-9,"Back: <a href=""GMS2_Version_Information.htm"">GMS2 Setup And Versions</a>"
Licencing_Information.htm+html.body.div.div.div.div:114-9,"Next: <a href=""Updating_Guide.htm"">Updating Guide</a>"
Licencing_Information.htm+html.body.p:126-1,{SEARCH_RESULT} Section with information about licencing GMS2
Licencing_Information.htm+html.body.p:127-5,{INDEX_KEYWORD} Licencing
