The_Device_Manager.htm+html.head.title:55-3,The Device Manager
The_Device_Manager.htm+html.head.title:59-3,The Device Manager
The_Device_Manager.htm+html.body.div.div.div[title]:74-7,The Device Manager
The_Device_Manager.htm+html.body.div.div.div:74-7,The Device Manager
The_Device_Manager.htm+html.body.h1:87-3,The Device Manager
The_Device_Manager.htm+html.body.p:88-3,"The <strong>Device Manager</strong> is accessed by clicking <img alt=""{IMG_TXT} Icon LMB"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> on the pencil button <img alt=""{IMG_TXT} Icon Pencil"" class=""icon"" src=""../assets/Images/Icons/Icon_Pencil.png"" style=""width: 100%; max-width: 18px;"" /> within the <a href=""../Introduction/Compiling.htm"">Target List</a>:"
The_Device_Manager.htm+html.body.p.img[alt]:89-6,{IMG_TXT} Target List
The_Device_Manager.htm+html.body.p:89-3,"Clicking this button will open the <strong>Device Manager</strong> where you can configure different devices for the target platforms that you wish to compile and test on (note that the platforms available will depend on the <a href=""GMS2_Version_Information.htm"">Licence</a> that you have and not all of them may be visible). Below you can find details on configuring devices for each of the target platforms:"
The_Device_Manager.htm+html.body.p:91-3,"<span data-open-text=""true"">Android</span><span data-close-text=""true"">Android</span>"
The_Device_Manager.htm+html.body.div.p.img[alt]:94-7,{IMG_TXT} Android Device Manager
The_Device_Manager.htm+html.body.div.p:93-5,"Here you can click on the <em>Add New Device</em> button to add a new Android device to the list manually, or you can click the <em>Detect Device</em> button to have GameMaker Studio 2 automatically detect any devices connected through a wired connection. You can also set up an <strong>Android Virtual Device</strong> by clicking the button marked <em>Run AVD</em>. This will open up the Android Virtual Device manager where you can create a new AVD (see <a href=""https://developer{-dot-}android{-dot-}com/studio/run/managing-avds.html"">here</a> for more information). Once you have one created, you need to launch it from the AVD manager and then in GameMaker Studio 2 click on the <em>Detect Device</em> button and it should be added automatically to the device list:"
The_Device_Manager.htm+html.body.div.p.img[alt]:103-7,{IMG_TXT} Android Virtual Device
