HTML5.htm+html.head.title:55-3,HTML5
HTML5.htm+html.head.title:59-3,HTML5
HTML5.htm+html.body.div.div.div[title]:73-7,HTML5
HTML5.htm+html.body.div.div.div:73-7,HTML5
HTML5.htm+html.body.h1:86-3,HTML5 Preferences
HTML5.htm+html.body.p:87-3,The HTML5 preferences have the following options:
HTML5.htm+html.body.p.img[alt]:88-6,{IMG_TXT} HTML5 Preferences
HTML5.htm+html.body.ul.li:90-5,"<strong>Default packaging type</strong>: When building a final HTML5 executable package, you can choose between <strong>Package as loose files</strong> - which will simply generate all the required files in a folder - or <strong>Package as Zip</strong> - which will create a compressed <span class=""inline"">ZIP </span>file that will have the game and any additional files within. By default you will be given a choice of which of these two options you wish to choose on compile, but you can set this preference to always use one or the other. Note that when this option is set to <em>Show Dialogue</em>, in the actual dialogue window that pops up on compile, choosing ""Remember Packaging Option"" will set this preference to the option you select."
HTML5.htm+html.body.ul.li:93-5,"<strong>Default Web Server Port</strong>: This lets you change the default port for all devices created through the <a href=""../The_Device_Manager.htm"">Device Manager</a>. Default value is 51264."
HTML5.htm+html.body.ul.li:94-5,"<strong>Default Web Server Address</strong>: Here you can change the default web server address for devices that you add to the <a href=""../The_Device_Manager.htm"">Device Manager</a>. Default value is 127.0.0.1."
HTML5.htm+html.body.ul.li:95-5,<strong>Default Web Server Allowed IPs</strong>: Here you can add in any allowed IPs for the Web Server and they will be set as default for all devices added through the Target Manager.
HTML5.htm+html.body.div.div.div.div:103-9,"Back: <a href=""../Platform_Preferences.htm"">Platform Preferences</a>"
HTML5.htm+html.body.div.div.div.div:104-9,"Next: <a href=""iOS.htm"">iOS</a>"
HTML5.htm+html.body.p:116-1,{SEARCH_RESULT} Page that details the HTML5 Platform Preferences
HTML5.htm+html.body.p:116-72,{INDEX_KEYWORD} Prefs - HTML5
