steam_ugc_create_item.htm+html.head.title:55-3,steam_ugc_create_item
steam_ugc_create_item.htm+html.head.title:59-3,steam_ugc_create_item
steam_ugc_create_item.htm+html.body.div.div.div[title]:73-7,steam_ugc_create_item
steam_ugc_create_item.htm+html.body.div.div.div:73-7,steam_ugc_create_item
steam_ugc_create_item.htm+html.body.h1:86-3,steam_ugc_create_item
steam_ugc_create_item.htm+html.body.p:87-3,"This function is used to prepare the Workshop API and generate a published file ID for the item to be added. The function <i>must</i> be called before doing anything else with the item to be uploaded, as you will be required to use the unique published ID value that it returns in the Steam Async Event for updating. To use this function, you need to supply the Steam App ID for your game, and the use one of the following constants for the <tt>file_type</tt> argument:"
steam_ugc_create_item.htm+html.body.table.tbody.tr.th:93-9,Constant
steam_ugc_create_item.htm+html.body.table.tbody.tr.th:94-9,Description
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:97-9,ugc_filetype_community
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:98-9,This is used to create files that will be uploaded and made available to anyone in the community.
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:101-9,ugc_filetype_microtrans
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:102-9,This is used to describe files that are uploaded but intended only for the game to consider adding as official content.
steam_ugc_create_item.htm+html.body.p:106-3,"When using this function it will return an async ID value which can then be parsed when the <a href=""../../../../The_Asset_Editors/Object_Properties/Async_Events/Steam.htm"">Steam Asynchronous</a> event is triggered to report the creation of the item. The event will contain the following key/map values in the <a href=""../../../GML_Overview/Variables/Builtin_Global_Variables/async_load.htm""><tt>async_load</tt></a> ds_map:"
steam_ugc_create_item.htm+html.body.ul.li:109-5,"""<b>id</b>"" - The async ID returned by the calling function"
steam_ugc_create_item.htm+html.body.ul.li:110-5,"""<b>result</b>"" - The result of the operation (a real value). This will either be the GML constant <tt>ugc_result_success</tt> or some other real number. So you should check for this constant to ensure that the call was successful, and if otherwise somthing has not worked correctly. The rest of the possible values returned are shown as the result of the Steam ""EResult"" value and you should see <tt>steamclientpublic.h</tt> in the SDK headers for all 89 possible values."
steam_ugc_create_item.htm+html.body.ul.li:112-5,"""<b>event_type</b>"" - This key will hold the value ""<b>ugc_create_item</b>"""
steam_ugc_create_item.htm+html.body.ul.li:113-5,"""<b>legal_agreement_required</b>"" - Will be <tt>true</tt> or <tt>false</tt> (see the <a href=""https://partner{-dot-}steamgames{-dot-}com/documentation/ugc#Legal"" target=""_blank"">Steam docs</a> for more details)"
steam_ugc_create_item.htm+html.body.ul.li:114-5,"""<b>published_file_id</b>"" - This key holds the unique published ID for the item, which is an int64 (and you may need to cast it as such when using it in subsequent functions using the <a href=""../../Variable_Functions/int64.htm""><tt>int64()</tt></a> function)"
steam_ugc_create_item.htm+html.body.h4:117-3,Syntax:
steam_ugc_create_item.htm+html.body.p:118-3,"steam_ugc_create_item(consumer_app_id, file_type);"
steam_ugc_create_item.htm+html.body.table.tbody.tr.th:122-9,Argument
steam_ugc_create_item.htm+html.body.table.tbody.tr.th:123-9,Description
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:126-9,consumer_app_id
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:127-9,The unique App ID for your game on Steam.
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:130-9,file_type
steam_ugc_create_item.htm+html.body.table.tbody.tr.td:131-9,One of the available file type constants (listed below).
steam_ugc_create_item.htm+html.body.h4:136-3,Returns:
steam_ugc_create_item.htm+html.body.p:137-3,Async ID
steam_ugc_create_item.htm+html.body.h4:139-3,Extended Example:
steam_ugc_create_item.htm+html.body.p:140-3,In this example we first call the function and store the async ID value in a variable:
steam_ugc_create_item.htm+html.body.p:141-3,"{ANY_CODE} var app_id = steam_get_app_id();<br /> new_item = steam_ugc_create_item(app_id, ugc_filetype_community);"
steam_ugc_create_item.htm+html.body.p:142-3,"This would then send off a request to the Steam API to create the new Worksop item, generating an async event which we would deal with as follows:"
steam_ugc_create_item.htm+html.body.p:143-3,"{ANY_CODE} var event_id = async_load[? ""id""];<br /> if event_id == new_item<br /> {nbsp_x4}{ <br /> {nbsp_x4}var type = async_load[? ""event_type""];<br /> {nbsp_x4}if type == ""ugc_create_item""<br /> {nbsp_x8}{ <br /> {nbsp_x8}global.Publish_ID = async_load[? ""published_file_id""];<br /> {nbsp_x8}} <br /> {nbsp_x4}}"
steam_ugc_create_item.htm+html.body.p:148-3,"The above code checks the event type and if it is ""ugc_create_item"" then it retrieves the published file ID and stores it in a global variable for future reference."
steam_ugc_create_item.htm+html.body.div.div.div.div:155-9,"Back: <a href=""Steam_UGC.htm"">UGC</a>"
steam_ugc_create_item.htm+html.body.div.div.div.div:156-9,"Next: <a href=""steam_ugc_start_item_update.htm"">steam_ugc_start_item_update</a>"
steam_ugc_create_item.htm+html.body.p:170-1,{SEARCH_RESULT} Reference page for steam_ugc_create_item
