audio_falloff_set_model.htm+html.head.title:55-3,audio_falloff_set_model
audio_falloff_set_model.htm+html.head.title:59-3,audio_falloff_set_model
audio_falloff_set_model.htm+html.body.div.div.div[title]:73-7,audio_falloff_set_model
audio_falloff_set_model.htm+html.body.div.div.div:73-7,audio_falloff_set_model
audio_falloff_set_model.htm+html.body.h1:86-3,audio_falloff_set_model
audio_falloff_set_model.htm+html.body.p:87-3,"To add more versatility to the audio engine, GameMaker Studio 2 permits you to select the falloff model that suits your game. This model will be used for <b>all</b> the audio functions in the game or app, and so you should make sure that the model you choose is the correct one, as each one will affect how the listener perceives the sounds you play through emitters or with the function <a><tt>audio_play_sound_at</tt></a>."
audio_falloff_set_model.htm+html.body.p:89-3,"When setting falloff in your game with the appropriate functions there are three arguments that you will need to set, and each one is appropriate to a specific, model and will affect the way the final sound is ""heard"" by the player depending on the distance that the listener is from the source. The three arguments are:"
audio_falloff_set_model.htm+html.body.ul.li:92-5,<b>reference distance</b> - this is the distance from the listener the distance under which the volume for the sound playing would normally drop by half before being influenced by roll-off factor or the specified maximum distance.
audio_falloff_set_model.htm+html.body.ul.li:93-5,<b>maximum distance</b> - this sets the distance where there will no longer be any attenuation of the source sound. This can be the point at which the sound is no longer heard <i>or</i> the point at which the sound volume no longer decreases below the minimum threshold defined by the model chosen.
audio_falloff_set_model.htm+html.body.ul.li:95-5,<b>falloff factor</b> - The falloff factor is used in distance attenuation based on the inverse distance model and sets the final minimum threshold for a sound with falloff.
audio_falloff_set_model.htm+html.body.p:97-3,The falloff models that are affected by these arguments are represented in GameMaker Studio 2 by the following constants (the table shows the exact calculations used too):
audio_falloff_set_model.htm+html.body.table.tbody.tr.th:102-9,Constant
audio_falloff_set_model.htm+html.body.table.tbody.tr.th:103-9,Function
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:106-9,audio_falloff_exponent_distance
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:107-9,gain = (listener_distance / reference_distance) ^ (-falloff_factor)
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:110-9,audio_falloff_exponent_distance_clamped
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:111-9,"distance = clamp(listener_distance, reference_distance, maximum_distance)<br /> gain = (distance / reference_distance) ^ (-falloff_factor)"
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:114-9,audio_falloff_inverse_distance
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:115-9,gain = reference_distance / (reference_distance + falloff_factor * (listener_distance - reference_distance))
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:118-9,audio_falloff_inverse_distance_clamped
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:119-9,"distance = clamp(listener_distance, reference_distance, maximum_distance)<br /> gain = reference_distance / (reference_distance + falloff_factor * (distance - reference_distance))"
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:122-9,audio_falloff_linear_distance
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:123-9,"distance = min(distance, maximum_distance)<br /> gain = (1 - falloff_factor * (distance - reference_distance) / (maximum_distance - reference_distance))"
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:126-9,audio_falloff_linear_distance_clamped
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:127-9,"distance = clamp(listener_distance, reference_distance, maximum_distance)<br /> gain = (1 - falloff_factor * (distance - reference_distance) / (maximum_distance - reference_distance))"
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:130-9,audio_falloff_none
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:131-9,gain = 1
audio_falloff_set_model.htm+html.body.p:135-3,The following graphs are visual representations of how the above constants work and affect the sound being played:
audio_falloff_set_model.htm+html.body.p.img[alt]:136-6,{IMG_TXT} Distance Model Examples
audio_falloff_set_model.htm+html.body.h4:138-3,Syntax:
audio_falloff_set_model.htm+html.body.p:139-3,audio_falloff_set_model(model);
audio_falloff_set_model.htm+html.body.table.tbody.tr.th:143-9,Argument
audio_falloff_set_model.htm+html.body.table.tbody.tr.th:144-9,Description
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:147-9,model
audio_falloff_set_model.htm+html.body.table.tbody.tr.td:148-9,The <b>constant</b> used to set the falloff model.
audio_falloff_set_model.htm+html.body.h4:153-3,Returns:
audio_falloff_set_model.htm+html.body.p:154-3,N/A
audio_falloff_set_model.htm+html.body.h4:156-3,Example:
audio_falloff_set_model.htm+html.body.p:157-3,"{ANY_CODE} audio_falloff_set_model(audio_falloff_exponent_distance_clamped);<br /> audio_play_sound_at(snd_Waterfall, x, y, 0, 100, 300, 1, true, 1);"
audio_falloff_set_model.htm+html.body.p:158-3,"The above code sets the falloff model and then plays the sound indexed in the variable ""snd_Waterfall"", which will be looped at its room position, with a fall-off reference of 100, a falloff distance of 300, a falloff factor of 1 and a low priority."
audio_falloff_set_model.htm+html.body.div.div.div.div:166-9,"Back: <a href=""Audio.htm"">Audio</a>"
audio_falloff_set_model.htm+html.body.div.div.div.div:167-9,"Next: <a href=""audio_sound_gain.htm"">audio_sound_gain</a>"
audio_falloff_set_model.htm+html.body.p:187-1,{SEARCH_RESULT} Page explaining the function audio_falloff_set_model
