asset_get_index.htm+html.head.title:55-3,asset_get_index
asset_get_index.htm+html.head.title:59-3,asset_get_index
asset_get_index.htm+html.body.div.div.div[title]:73-7,asset_get_index
asset_get_index.htm+html.body.div.div.div:73-7,asset_get_index
asset_get_index.htm+html.body.h1:86-3,asset_get_index
asset_get_index.htm+html.body.p:87-3,"You can use this function to get the unique identifying index for a game asset from its name. If the asset is not found, the function will return a value of -1, otherwise it will return the unique index id for the asset being checked. This id can then be used in other functions as you would any other index value, like the <a href=""../Sprites/Sprite_Instance_Variables/sprite_index.htm""><tt>sprite_index</tt></a> or the <a href=""../Paths/Path_Variables/path_index.htm""><tt>path_index</tt></a>, for example. Please note that although this function can be used to reference assets from strings (see example below) you should always make sure that the asset exists before using it otherwise you may get errors that will crash your game.","この関数を使用すると、ゲームアセットの名前から固有の識別インデックスを取得できます。アセットが見つからなかった場合は-1の値が返され、見つかった場合は、チェックされたアセットの固有インデックスIDが返されます。このIDは他の関数において、たとえば<a href=""../Sprites/Sprite_Instance_Variables/sprite_index.htm""><tt>sprite_index</tt></a>や<a href=""../Paths/Path_Variables/path_index.htm""><tt>path_index</tt></a>といった他のインデックス値と同じように扱うことができます。この関数では文字列からもアセットを参照できますが（以下の例を参照）、使用する前に必ずアセットが存在することを確認してください。存在しない場合はエラーが表示され、ゲームが強制終了する恐れがあります。"
asset_get_index.htm+html.body.h4:91-3,Syntax:,構文:
asset_get_index.htm+html.body.p:92-3,asset_get_index(name);,asset_get_index(name);
asset_get_index.htm+html.body.table.tbody.tr.th:96-9,Argument,引数
asset_get_index.htm+html.body.table.tbody.tr.th:97-9,Description,説明
asset_get_index.htm+html.body.table.tbody.tr.td:100-9,name,name
asset_get_index.htm+html.body.table.tbody.tr.td:101-9,The name of the game asset to get the index of (a string).,インデックスを取得するゲームアセットの名前（文字列）です。
asset_get_index.htm+html.body.h4:106-3,Returns:,戻り値:
asset_get_index.htm+html.body.p:107-3,Asset Index (Integer),アセットのインデックス（整数）
asset_get_index.htm+html.body.h4:109-3,Example:,例:
asset_get_index.htm+html.body.p:110-3,"{ANY_CODE} var obj = asset_get_index(""obj_Enemy_"" + string(global.Level));<br /> if obj &gt; -1<br /> {nbsp_x4}{ <br /> {nbsp_x4}instance_create_layer(random(room_width), random(room_height), obj, ""Enemy_Layer"");<br /> {nbsp_x4}}","{ANY_CODE} var obj = asset_get_index(""obj_Enemy_"" + string(global.Level));<br /> if obj &gt; -1<br /> {nbsp_x4}{ <br /> {nbsp_x4}instance_create_layer(random(room_width), random(room_height), obj, ""Enemy_Layer"");<br /> {nbsp_x4}}"
asset_get_index.htm+html.body.p:113-3,"The above code will get an object index from a string, and if that index exists, create an instance of the object in the game.",上記のコードは文字列からオブジェクトのインデックスを取得し、インデックスが存在する場合、ゲーム内にオブジェクトのインスタンスを生成します。
asset_get_index.htm+html.body.div.div.div.div:120-9,"Back: <a href=""Assets_And_Tags.htm"">Assets And Tags</a>","戻る: <a href=""Assets_And_Tags.htm"">アセットとタグ</a>"
asset_get_index.htm+html.body.div.div.div.div:121-9,"Next: <a href=""asset_get_type.htm"">asset_get_type</a>","次へ: <a href=""asset_get_type.htm"">asset_get_type</a>"
asset_get_index.htm+html.body.p:133-1,{SEARCH_RESULT} Page explaining the function asset_get_index,{SEARCH_RESULT} asset_get_index関数についての解説ページ
