font_texture_page_size.htm+html.head.title:55-3,font_texture_page_size
font_texture_page_size.htm+html.head.title:59-3,font_texture_page_size
font_texture_page_size.htm+html.body.div.div.div[title]:73-7,font_texture_page_size
font_texture_page_size.htm+html.body.div.div.div:73-7,font_texture_page_size
font_texture_page_size.htm+html.body.h1:86-3,font_texture_page_size
font_texture_page_size.htm+html.body.p:87-3,"This <b>built-in variable</b> can be used to either get or set the texture page size when using the function <a href=""font_add.htm""><tt>font_add()</tt></a>. On adding a font using that function, GameMaker Studio 2 will create a texture page cache of the required glyphs up to the size defined by this variable. The process is as follows:"
font_texture_page_size.htm+html.body.ul.li:90-5,Each character you use is cached from the font into a texture page
font_texture_page_size.htm+html.body.ul.li:91-5,When the texture page is full (because you use big characters or a lot of different characters) GameMaker Studio 2 will remove characters from the cache and replace them with new ones you need
font_texture_page_size.htm+html.body.ul.li:92-5,"GameMaker Studio 2 tries not to make the texture too big because not all devices can cope with large textures, and it tries not to make the texture too small because removing and re-adding characters to the texture takes CPU time and causes your game to run slowly"
font_texture_page_size.htm+html.body.p:95-3,"If you think you require a larger or a smaller texture page size than the default 1024px that GameMaker Studio 2 uses, you can set the value using this built in variable. If you are not using the <tt>font_add()</tt> function, then setting this will have no effect on your games performance as fonts added in the IDE are cached on the regular texture pages (which you can control from the <a href=""../../../../The_Asset_Editors/Fonts.htm"">Font Editor</a> and the <a href=""../../../../Settings/Game_Options.htm"">Game Options</a> for the target platform)."
font_texture_page_size.htm+html.body.h4:99-3,Syntax:
font_texture_page_size.htm+html.body.p:100-3,font_texture_page_size;
font_texture_page_size.htm+html.body.h4:102-3,Returns:
font_texture_page_size.htm+html.body.p:103-3,Real (maximum width/height in pixels)
font_texture_page_size.htm+html.body.h4:105-3,Example:
font_texture_page_size.htm+html.body.p:106-3,"{ANY_CODE} font_texture_page_size = 512;<br /> newfont = font_add(""Arial"", 24, true, true, 32, 128);"
font_texture_page_size.htm+html.body.p:107-3,The above code sets the font cache texture page to a maximum size of 512px and then adds a new font to the game.
font_texture_page_size.htm+html.body.div.div.div.div:114-9,"Back: <a href=""Fonts.htm"">Fonts</a>"
font_texture_page_size.htm+html.body.div.div.div.div:115-9,"Next: <a href=""font_get_name.htm"">font_get_name</a>"
font_texture_page_size.htm+html.body.p:127-1,{SEARCH_RESULT} Page outlining the function font_texture_page_size
