image_index.htm+html.head.title:55-3,image_index
image_index.htm+html.head.title:59-3,image_index
image_index.htm+html.body.div.div.div[title]:73-7,image_index
image_index.htm+html.body.div.div.div:73-7,image_index
image_index.htm+html.body.h1:86-3,image_index
image_index.htm+html.body.p:87-3,"A sprite is made up of one or more <i>sub-images</i> which can make the sprite appear animated as they switch from one to the other, or can they can be switched between in code to give different ""states"", much like a button has in windows. If the sprite is animated, then you can get the current frame of the animation by checking the <tt>image_index</tt> variable, or if you want to change the state of a static sprite, you can select a new sub-image by setting this variable to the desired sub-image for the sprite. Please note that for changes in this variable to be visible, the instance should have either <i>no</i> draw event (and so GameMaker Studio 2 will default draw the sprite) or be drawn using one of the extended drawing functions like <a href=""../../../Drawing/Sprites_And_Tiles/draw_self.htm""><tt>draw_self()</tt></a> or <a href=""../../../Drawing/Sprites_And_Tiles/draw_sprite_ext.htm""><tt>draw_sprite_ext()</tt></a>."
image_index.htm+html.body.p:91-3,"Please note that while using skeletal animation sprites, you can still get and set the <tt>image_index</tt> values - see the function <a href=""../Skeletal_Animation/Animation/skeleton_animation_get_duration.htm""><tt>skeleton_animation_get_duration()</tt></a> for examples of how to do this."
image_index.htm+html.body.h4:94-3,Syntax:
image_index.htm+html.body.p:95-3,image_index;
image_index.htm+html.body.h4:97-3,Returns:
image_index.htm+html.body.p:98-3,Real (single precision floating point value)
image_index.htm+html.body.h4:100-3,Example:
image_index.htm+html.body.p:101-3,{ANY_CODE} if image_speed &gt; 0<br /> {nbsp_x4}{ <br /> {nbsp_x4}if image_index &gt; image_number - 1 instance_destroy();<br /> {nbsp_x4}}
image_index.htm+html.body.p:104-3,"The above code checks to see if the sprite is animating, and if it is it then checks to see if the current image_index is greater than the number of sub-images and if it is it destroys the instance."
image_index.htm+html.body.div.div.div.div:111-9,"Back: <a href=""Sprite_Instance_Variables.htm"">Sprite Instance Variables</a>"
image_index.htm+html.body.div.div.div.div:112-9,"Next: <a href=""image_number.htm"">image_number</a>"
image_index.htm+html.body.p:124-1,{SEARCH_RESULT} Page explaining the variable image_index
