Action_Block_Functions.htm+html.head.title:55-3,Action Block Script Functions
Action_Block_Functions.htm+html.head.title:59-3,Action Block Script Functions
Action_Block_Functions.htm+html.body.div.div.div[title]:73-7,Action Block Script Functions
Action_Block_Functions.htm+html.body.div.div.div:73-7,Action Block Script Functions
Action_Block_Functions.htm+html.body.h1:86-3,Action Block Script Functions
Action_Block_Functions.htm+html.body.p:87-3,"One of the most important assets in the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> is the <a href=""../../The_Asset_Editors/Scripts.htm"">Script</a> asset. Scripts are special assets in that they are essentially ""containers"" for user defined functions and are not themselves actually called by you directly in your games. All scripts are <strong>global</strong> in scope and will be run automatically by GameMaker when your game starts, so you can use them to define global variables and functions that you want to use throughout your game."
Action_Block_Functions.htm+html.body.p:90-3,"Each DnD™ script can have one or more user-defined functions added to it, and these functions are created using the action <a href=""../Drag_And_Drop_Reference/Common/Declare_A_New_Function.htm"">Declare A New Function</a>:"
Action_Block_Functions.htm+html.body.p.img[alt]:91-6,{IMG_TXT} Declare A New Function Syntax
Action_Block_Functions.htm+html.body.p:91-3,"The functions you define here will be global in scope and act much like any built-in DnD™ action, ie: they can take different values - or none at all - called <a class=""tooltip"" title=""TITLE_KEY::argument"">argument</a><span class=""glossextra""></span> (or parameters), and then perform a task, returning a value or returning nothing as required. You would then call the function in your games using the <a href=""../Drag_And_Drop_Reference/Common/Function_Call.htm"">Function Call</a> <img_tag=Function_Call_Icon:0> action, which looks like this:"
Action_Block_Functions.htm+html.body.p.img[alt]:94-6,{IMG_TXT} Function Call Syntax
Action_Block_Functions.htm+html.body.p:94-3,"To create a DnD™ script, you simply use the right mouse button <img_tag=RMB_Icon:0> anywhere in the Asset Browser and select <strong>Create </strong>then <strong>Script</strong>. This will create a new DnD™ script and open the editor window:"
Action_Block_Functions.htm+html.body.p.img[alt]:95-6,{IMG_TXT} D&D Script editor
Action_Block_Functions.htm+html.body.p:95-3,"You can name the script by right clicking <img_tag=RMB_Icon:0> on it in the Asset Browser and selecting <strong>Rename </strong>(or by using a slow double left click <img_tag=LMB_Icon:0>), but note that the script name must conform to the general rules for assets, so they must start with a letter and only contain letters, numbers or the ""_"" under-bar symbol. Your script will also be pre-populated with a <strong>Declare A New Function</strong> action, ready for you to fill it out, and you can add more function declarations as required (a single script can hold multiple functions, which is useful for grouping functions with similar or connected usage together)."
Action_Block_Functions.htm+html.body.p:98-3,"As mentioned above, you can pass a number of arguments to a function, and it will use these to perform the task you have written it for. To understand this better, take - for example - any of the built-in actions and think about how it works... you place it in an event and supply a number of values and it will make your instance do something. User-defined functions are exactly the same, with the only difference being that <em>you </em>write them."
