Objects_And_Instances.htm+html.head.title:55-3,Objects And Instances
Objects_And_Instances.htm+html.head.title:59-3,Objects And Instances
Objects_And_Instances.htm+html.body.div.div.div[title]:74-7,Objects And Instances
Objects_And_Instances.htm+html.body.div.div.div:74-7,Objects And Instances
Objects_And_Instances.htm+html.body.h1:87-3,Objects And Instances
Objects_And_Instances.htm+html.body.p:88-3,"With the assets you have seen so far you can add some nice images and sounds to the game asset browser, but they don't do anything in the game itself yet! For that we need the most important assets of all in GameMaker Studio 2, the <strong>Object </strong>asset. Objects are a special asset that we use to control aspects of a game and to do specific things. Most of the time they have a sprite associated with them so that you can see them in the game rooms, but sometimes they are used as a ""behind the scenes"" <strong>controller </strong>objects to do things like track stats, or set timings for cut-scenes, etc... Objects can be given behaviours and they can react to certain events as well as to each other, and most of the things you see in a game are based on objects and their interactions with the user and each other."
Objects_And_Instances.htm+html.body.p:92-3,"Now, we can't talk about Objects without talking about <strong>Instances</strong>. In a game made with GameMaker Studio 2, the characters, monsters, balls, walls, etc... that you see in the game are actually all considered as being <strong>instances</strong>. An instance is essentially a ""copy"" of an object that is found in the Asset Browser and then placed in a room (think of objects as <strong>templates </strong>for instances). So when we talk about something affecting or changing an instance, we mean that one particular copy of an object in a room is being affected while all the rest are not, but when we talk about affecting or changing an object we mean that anything we do to it will be reflected in all the instances created from that point on too. So, <strong>the object is the template for the instance, and the instance is what we place in a room to make our game</strong>."
Objects_And_Instances.htm+html.body.p:96-3,"To create a new object asset, it's the same as for every other asset and you simply right click <img_tag=Icon_RMB:0> on the Objects asset folder and select <em>Create</em> (or right click anywhere in the <a href=""../Introduction/The_Asset_Browser.htm"">Asset Browser</a> and select <em>Create Object</em>)."
Objects_And_Instances.htm+html.body.p.img[alt]:98-6,{IMG_TXT} The Object Editor
Objects_And_Instances.htm+html.body.p:99-3,"This is the <a href=""../The_Asset_Editors/Objects.htm"">Object Editor</a> window and shows the current object properties, and the first thing you should do is name the object, again using a prefix like "" <span class=""inline"">obj_</span>"" or some other identifier. In general, for an object to draw anything and register collisions with instances of other objects it needs to have a sprite assigned to it, which is added using the <img_tag=Add_Sprite_Icon_:0> button. This will open the <strong>Asset Explorer</strong> where you can select the sprite to use (you can also drag sprites from the Asset Browser and drop them onto the Object Editor to assign them):"
Objects_And_Instances.htm+html.body.p.img[alt]:101-6,{IMG_TXT} The Asset Explorer
Objects_And_Instances.htm+html.body.p:102-3,"If you do not have an appropriate sprite yet, you can click <img_tag=LMB_Icon:0> on the <em>New Sprite</em> button <img_tag=New_Sprite_Icon:0> to create a new sprite asset and edit it as you wish, just as if you had created the asset through the standard sprite create options, only now it will automatically be assigned to the object that you had open when you started to create it. Once you select a sprite you can also click <img_tag=LMB_Icon:0> on the <em>Edit Sprite</em> <img_tag=Edit_Sprite_Icon:0> or <em>Edit Image</em> <img_tag=Edit_Image_Icon:0> buttons to edit either the images of the sprite itself or the sprite asset. This can be faster than first finding the sprite in the Asset Browser and then indicating you want to edit it."
Objects_And_Instances.htm+html.body.p:105-3,"Once you have added or created the sprite, you can change a few other object properties like whether it should be <strong>visible </strong>or not - for example - or what kind of <strong>collision mask</strong> it should have. For simple games you probably don't need to change anything here and can now go on to add <strong>Events </strong>to the object."
Objects_And_Instances.htm+html.body.p:107-3,"Events are discreet moments in the game loop where things are made to happen based on what you have programmed for them. GameMaker Studio 2 works with cycles of these events - from the moment a room is started to the moment it is finished there is a game loop running where every step a series of events are run, and you can choose to place GML code or DnD™ actions in your instances that respond to these events (a <strong>step </strong>is a moment in game time, governed by the game speed setting - also called a ""frame"")."
Objects_And_Instances.htm+html.body.p:110-3,To add an event you click <img_tag=LMB_Icon:0> on the Add Event button:
Objects_And_Instances.htm+html.body.p.img[alt]:111-6,{IMG_TXT} The Object Editor Events
Objects_And_Instances.htm+html.body.p:112-3,"Above you can see all the different <strong>Event Categories</strong>, some of which contain other sub-categories. We won't go through all the events here, but we will cover the five most important ones briefly:"
Objects_And_Instances.htm+html.body.table.tbody.tr.td.img[alt]:116-27,{IMG_TXT} Icon Create Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:117-9,Create Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:118-9,"This event happens when an instance of the object is first created, and is the very first thing that happens within an instance that has been placed in the room through the room editor when a room is entered. This means that this event is the ideal place to initialize variables, start Timelines, set paths etc... and do anything else that generally only needs to be done once or only when an instance first appears in the room."
Objects_And_Instances.htm+html.body.table.tbody.tr.td.img[alt]:122-27,{IMG_TXT} Icon Step Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:123-9,Step Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:124-9,"GameMaker Studio 2 splits game time into steps with the game speed defining how many of these steps there are supposed to be per second. A step, is basically the loop that runs constantly with all the events being checked and triggered as necessary while the game runs, so as you can imagine, the Step Event is an event that is checked every single step of the game while the instance exists. Note that the Step Event category has three sub-categories to ""fine tune"" timing within the instance, but in general you will use the main Step Event most."
Objects_And_Instances.htm+html.body.table.tbody.tr.td.img[alt]:129-27,{IMG_TXT} Icon Collision Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:130-9,Collision Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:131-9,"Obviously when making a game, it is very important that you know when two (or more) instances of an object have collided, and for that we have the collision event. This is an event that you place in an object and then specify against which other object you should be checking for collisions. Once you have added the event and chosen the object to check for you can add GML code or DnD™ to resolve the collision."
Objects_And_Instances.htm+html.body.table.tbody.tr.td.img[alt]:135-27,{IMG_TXT} Icon Draw Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:136-9,Draw Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:137-9,"There are multiple different Draw Events within the draw event category, but the one you use most is the one at the top simply called ""Draw"". This general draw event will be called, like the step event, every game frame, but it works in two different ways. The first is when you don't add this event to the object... When there is no <em>specified </em>Draw Event, then GameMaker Studio 2 will default to drawing the sprite assigned to the object, using any transforms that have been applied elsewhere in the object (like to change its size or alpha blending), so even when no Draw Event is listed in the Events list, it is still being run and will still draw to the screen when an instance is placed in a room. The second way it works is when you add the event itself and include any GML or DnD™ in it. Adding something to the event tells GameMaker Studio 2 "" <em>I want to control what you draw for instances of this object</em>"" and it completely over-rides the default draw. This means that you can have an object with a sprite assigned, then set the draw event to draw text and the sprite will not be drawn as you have not told GameMaker Studio 2 to draw it, although the text will be."
Objects_And_Instances.htm+html.body.table.tbody.tr.td.img[alt]:144-27,{IMG_TXT} Icon Destroy Event
Objects_And_Instances.htm+html.body.table.tbody.tr.td:145-9,Destroy Event
