The_Build_Menu.htm+html.head.title:55-3,The Build Menu
The_Build_Menu.htm+html.head.title:59-3,The Build Menu
The_Build_Menu.htm+html.body.div.div.div[title]:73-7,The Build Menu
The_Build_Menu.htm+html.body.div.div.div:73-7,The Build Menu
The_Build_Menu.htm+html.body.h1:86-3,The Build Menu
The_Build_Menu.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Build Menu
The_Build_Menu.htm+html.body.p:88-3,"The build menu is where you can choose to build your project either for testing, debugging or as a final executable. The available options are:"
The_Build_Menu.htm+html.body.ul.li:90-5,"<strong>Run </strong>- Run your current project on the chosen target platform for testing. For the different compile options available when compiling please see the section on <a href=""../../Introduction/Compiling.htm"">Compiling</a>. Note that this command is the same as pressing the Run button <img_tag=The_Run_Game_Button:0> in the IDE."
The_Build_Menu.htm+html.body.ul.li:92-5,"<strong>Debug </strong>- Run your current project for testing with the debugger so that you can see detailed performance information and debug any errors or issues you may have. For more information on debugging, please see the section <a href=""../../Introduction/Debugging.htm"">Debugging</a>. Note that this command is the same as pressing the Debug button <img_tag=The_Debug_Button:0> in the IDE."
The_Build_Menu.htm+html.body.ul.li:94-5,"<strong>Clean </strong>- GameMaker Studio 2 keeps a <a class=""tooltip"" title=""TITLE_KEY::Cache"">Cache</a> of files to help speed up compile time when testing. However sometimes a ""stale"" cache can lead to odd and unexpected errors in your game, in which case the first thing you should do is clean the cache from here and re-test. It is also a good idea to clean the cache before you create a final executable for the target platform. Note that this command is the same as pressing the <strong>Clean Cache</strong> button <img_tag=The_Clean_Cache_Button:0> in the IDE."
The_Build_Menu.htm+html.body.ul.li:97-5,"<strong>Create Executable</strong> - This will compile the current project and create an <a class=""tooltip"" title=""TITLE_KEY::executable_package"">executable package</a> (or packages) for the target platform. It will first open the file explorer so that you can select where you want to save the project and then compile the game. See the section on <a href=""../../Introduction/Compiling.htm"">Compiling</a> for more information on setting up the compile targets. Note that this command is the same as pressing the <strong>Create Executable</strong> button <img_tag=The_Create_Executable_Button:0> in the IDE."
The_Build_Menu.htm+html.body.ul.li:100-5,"<strong>Show Remote Worker Installer</strong> - This will open a file explorer window on the location of the installer for the <strong>Remote Worker tool</strong> (see <a href=""../../IDE_Tools/Remote_Workers.htm"">here</a> for more information on Remote Workers)."
The_Build_Menu.htm+html.body.div.div.div.div:108-9,"Back: <a href=""../Menus.htm"">Menus</a>"
The_Build_Menu.htm+html.body.div.div.div.div:109-9,"Next: <a href=""The_Windows_Menu.htm"">The Windows Menu</a>"
The_Build_Menu.htm+html.body.p:121-1,{SEARCH_RESULT} Section on the Build Menu
The_Build_Menu.htm+html.body.p:121-49,{INDEX_KEYWORD} Menu - Build
The_Build_Menu.htm.img_tag+The_Clean_Cache_Button:0,{IMG_TXT} The Clean Cache Button
The_Build_Menu.htm.img_tag+The_Create_Executable_Button:0,{IMG_TXT} The Create Executable Button
The_Build_Menu.htm.img_tag+The_Debug_Button:0,{IMG_TXT} The Debug Button
The_Build_Menu.htm.img_tag+The_Run_Game_Button:0,{IMG_TXT} The Run Game Button
