The_Tools_Menu.htm+html.head.title:55-3,The Tools Menu
The_Tools_Menu.htm+html.head.title:59-3,The Tools Menu
The_Tools_Menu.htm+html.body.div.div.div[title]:73-7,The Tools Menu
The_Tools_Menu.htm+html.body.div.div.div:73-7,The Tools Menu
The_Tools_Menu.htm+html.body.h1:86-3,The Tools Menu
The_Tools_Menu.htm+html.body.p.img[alt]:87-6,{IMG_TXT} The Tools Menu
The_Tools_Menu.htm+html.body.p:88-3,"This menu permits you to open the various stand alone tools that are available to you within GameMaker Studio 2, with the following options:"
The_Tools_Menu.htm+html.body.ul.li:90-5,"<strong>Texture Groups</strong> - View the <a href=""../../Settings/Texture_Groups.htm"">Texture Group</a> window."
The_Tools_Menu.htm+html.body.ul.li:91-5,"<strong>Audio Groups</strong> - View the <a href=""../../Settings/Audio_Groups.htm"">Audio Group</a> window."
The_Tools_Menu.htm+html.body.ul.li:92-5,"<strong>Sound Mixer</strong> - View the <a href=""../../IDE_Tools/Sound_Mixer.htm"">Sound Mixer</a> window."
The_Tools_Menu.htm+html.body.ul.li:93-5,"<strong>Generate Project Images</strong> - Opens the <a href=""../../IDE_Tools/Project_Image_Generator.htm"">Generate Project Images</a> window."
The_Tools_Menu.htm+html.body.ul.li:94-5,"<strong>Create Local Package</strong> - Opens the <a href=""../../IDE_Tools/Local_Asset_Packages.htm"">Asset Packager</a> window, so you can make and save local asset packages for future use."
The_Tools_Menu.htm+html.body.ul.li:95-5,"<strong>Import Local Package</strong> - Opens a file explorer window where you can then select a <a href=""../../IDE_Tools/Local_Asset_Packages.htm"">Local Asset Package</a> and import it, either adding it to the current project, or creating a new project for it."
The_Tools_Menu.htm+html.body.div.div.div.div:104-9,"Back: <a href=""../Menus.htm"">Menus</a>"
The_Tools_Menu.htm+html.body.div.div.div.div:105-9,"Next: <a href=""The_Marketplace_Menu.htm"">The Marketplace Menu</a>"
The_Tools_Menu.htm+html.body.p:117-1,{SEARCH_RESULT} Section on the Tools Menu
The_Tools_Menu.htm+html.body.p:117-49,{INDEX_KEYWORD} Menu - Tools
