_Language,Japanese,Japanese_Alt,,
_LanguageNative,Japanese_Alt,日本語(イベント+アクション名も日本語),,
_LanguageCode,ja,ja,,
_MANUAL_LOCATION,http://zeus.yoyogames.com/GMS2_English-master.zip,https://github.com/kuroko137/gmsmjp_test/raw/master/GMS2_Japanese_Alt-master.zip,,
GMStdSetAlarm_Desc,Set the countdown value of an alarm event.,アラームイベントのカウントダウン値を設定します
GMStdGetAlarm_Desc,Get the countdown value of an alarm event.,アラームイベントのカウントダウン値を取得します
CompileError_KeyEvent,{0} Key Event: {1},{0} キーイベント: {1}
CompileError_KeyPressed,{0} Key Pressed: {1},{0} キー押し: {1}
CompileError_KeyReleased,{0} Key Released: {1},{0} キー離し: {1}
Event_Alarm,Alarm,アラーム,,
Event_AlarmN,Alarm {0},アラーム {0},,
Event_Async_AudioPlayback,Async - Audio Playback,非同期 - オーディオ再生,,
Event_Async_AudioRecording,Async - Audio Recording,非同期 - オーディオ録音中,,
Event_Async_Cloud,Async - Cloud,非同期 - Cloud,,
Event_Async_Dialog,Async - Dialog,非同期 - ダイアログ,,
Event_Async_HTTP,Async - HTTP,非同期 - HTTP,,
Event_Async_IAP,Async - In-App Purchase,非同期 - アプリ内購入,,
Event_Async_ImageLoaded,Async - Image Loaded,非同期 - イメージ読込時,,
Event_Async_Networking,Async - Networking,非同期 - ネットワーク,,
Event_Async_PushNotification,Async - Push Notification,非同期 - 通知プッシュ,,
Event_Async_SaveLoad,Async - Save/Load,非同期 - セーブ/ロード,,
Event_Async_Social,Async - Social,非同期 - ソーシャル,,
Event_Async_Steam,Async - Steam,非同期 - Steam,,
Event_Async_SystemEvent,Async - System,非同期 - システム,,
Event_Asynchronous,Asynchronous,非同期,,
Event_Collision,Collision,衝突,,
Event_Create,Create,生成,,
Event_Destroy,Destroy,破棄,,
Event_CleanUp,Clean Up,除去,,
Event_Draw,Draw,描画,,
Event_Draw_Draw,Draw,描画,,
Event_Draw_DrawBegin,Draw Begin,描画開始,,
Event_Draw_DrawEnd,Draw End,描画終了,,
Event_Draw_DrawGUI,Draw GUI,GUIの描画,,
Event_Draw_DrawGUIBegin,Draw GUI Begin,GUIの描画開始,,
Event_Draw_DrawGUIEnd,Draw GUI End,GUIの描画終了,,
Event_Draw_PostDraw,Post-Draw,描画の後,,
Event_Draw_PreDraw,Pre-Draw,描画の前,,
Event_Draw_Resize,Window Resize,ウィンドウサイズ変更,,
Event_Key_Alt,Alt,Alt,,
Event_Key_AnyKey,Any,すべて,,
Event_Key_Backspace,Backspace,Backspace,,
Event_Key_Ctrl,Control,Ctrl,,
Event_Key_Delete,Delete,Delete,,
Event_Key_DigitN,{0},{0},,
Event_Key_Digits,Digits,数値,,
Event_Key_Down,Down,下,,
Event_Key_End,End,End,,
Event_Key_Enter,Enter,Enter,,
Event_Key_Escape,Escape,Escape,,
Event_Key_FunctionKeys,Function Keys,ファンクションキー,,
Event_Key_Home,Home,Home,,
Event_Key_Insert,Insert,Insert,,
Event_Key_Tab,Tab,Tab,,
Event_Key_Keypad,Keypad,キーパッド,,
Event_Key_KeypadN,Keypad {0},キーパッド {0},,
Event_Keyboard_Modifiers,Modifiers,修飾,,
Event_Key_ArrowKeys,Arrow Keys,矢印キー,,
Event_Key_ControlKeys,Control Keys,制御キー,,
Event_Key_Left,Left,左,,
Event_Key_Letters,Letters,文字,,
Event_Key_NoKey,No Key,キーなし,,
Event_Key_Others,Others,その他,,
Event_Key_PageDown,Page Down,Page Down,,
Event_Key_PageUp,Page Up,Page Up,,
Event_Key_Right,Right,右,,
Event_Key_Shift,Shift,Shift,,
Event_Key_Space,Space,Space,,
Event_Key_Up,Up,上,,
Event_Keyboard,Key Down,キー押し中,,
Event_KeyPress,Key Pressed,キー押し,,
Event_KeyPress_Short,Key Press - ,キー押し - ,,
Event_KeyDown_Short,Key Down - ,キー押し中 - ,,
Event_KeyPressN,Press {0},{0} を押した,,
Event_KeyRelease,Key Up,キー離し,,
Event_KeyRelease_Short,Key Up - ,キー離し - ,,
Event_KeyDown,Key Down,キー押し中,,
Event_KeyUp,Key Up,キー離し中,,
Event_Mouse,Mouse,マウス,,
Event_MouseClick,Mouse Click,マウスクリック,,
Event_MouseDown,Mouse Down,マウス押し中,,
Event_MouseUp,Mouse Up,マウス離し中,,
Event_Mouse_GlobalMouse,Global,グローバル,,
Event_Mouse_GlobalMouse_LeftButton,Global Left Down,グローバル - 左押し中,,
Event_Mouse_GlobalMouse_LeftPressed,Global Left Pressed,グローバル - 左押し,,
Event_Mouse_GlobalMouse_LeftReleased,Global Left Released,グローバル - 左離し,,
Event_Mouse_GlobalMouse_MiddleButton,Global Middle Down,グローバル - 中央押し中,,
Event_Mouse_GlobalMouse_MiddlePressed,Global Middle Pressed,グローバル - 中央押し,,
Event_Mouse_GlobalMouse_MiddleReleased,Global Middle Released,グローバル - 中央離し,,
Event_Mouse_GlobalMouse_RightButton,Global Right Down,グローバル - 右押し中,,
Event_Mouse_GlobalMouse_RightPressed,Global Right Pressed,グローバル - 右押し,,
Event_Mouse_GlobalMouse_RightReleased,Global Right Released,グローバル - 右離し,,
Event_Mouse_LeftButton,Left Down,左押し中,,
Event_Mouse_LeftPressed,Left Pressed,左押し,,
Event_Mouse_LeftReleased,Left Released,左離し,,
Event_Mouse_MiddleButton,Middle Down,中央押し中,,
Event_Mouse_MiddlePressed,Middle Pressed,中央押し,,
Event_Mouse_MiddleReleased,Middle Released,中央離し,,
Event_Mouse_MouseEnter,Mouse Enter,カーソル接触,,
Event_Mouse_MouseLeave,Mouse Leave,カーソル離脱,,
Event_Mouse_MouseWheelDown,Mouse Wheel Down,マウスホイール下,,
Event_Mouse_MouseWheelUp,Mouse Wheel Up,マウスホイール上,,
Event_Mouse_NoButton,No Mouse Input,マウス入力なし,,
Event_Mouse_RightButton,Right Down,右押し中,,
Event_Mouse_RightPressed,Right Pressed,右押し,,
Event_Mouse_RightReleased,Right Released,右離し,,
Event_Other,Other,その他,,
Event_Other_AnimationEnd,Animation End,アニメーション終了,,
Event_Other_AnimationEvent,Animation Event,アニメーションイベント,,
Event_Other_AnimationUpdate,Animation Update,アニメーション更新,,
Event_Other_EndOfPath,Path Ended,パス終了,,
Event_Other_GameEnd,Game End,ゲーム終了,,
Event_Other_GameStart,Game Start,ゲーム開始,,
Event_Other_IntersectBoundary,Intersect Boundary,境界と交差,,
Event_Other_OutsideRoom,Outside Room,ルーム外,,
Event_Other_RoomEnd,Room End,ルーム終了,,
Event_Other_RoomStart,Room Start,ルーム開始,,
Event_Other_UserDefined,User Events,ユーザーイベント,,
Event_Other_UserN,User Event {0},ユーザーイベント {0},,
Event_Other_Views,Views,ビュー,,
Event_Other_Views_BoundaryViewN,Intersect View {0} Boundary,ビュー {0} 境界と交差,,
Event_Other_Views_OutsideViewN,Outside View {0},外部ビュー {0},,
Event_Other_Views_Boundary,Intersect Boundary,境界と交差,,
Event_Other_Views_Outside,Outside View,外部ビュー,,
Event_Step,Step,ステップ,,
Event_StepBegin,Begin Step,ステップ開始,,
Event_StepEnd,End Step,ステップ終了,,
Event_Unknown,Unknown Event,不明なイベント,,
Event_Gesture,Gesture,ジェスチャー,,
Event_Gesture_Global,Global,グローバル,,
Event_Gesture_Tap,Tap,タップ,,
Event_Gesture_DoubleTap,Double Tap,ダブルタップ,,
Event_Gesture_DragStart,Drag Start,ドラッグ開始,,
Event_Gesture_DragMove,Dragging,ドラッグ中,,
Event_Gesture_DragEnd,Drag End,ドラッグ終了,,
Event_Gesture_Flick,Flick,フリック,,
Event_Gesture_PinchStart,Pinch Start,ピンチ開始,,
Event_Gesture_PinchIn,Pinch In,ピンチイン,,
Event_Gesture_PinchOut,Pinch Out,ピンチアウト,,
Event_Gesture_PinchEnd,Pinch End,ピンチ終了,,
Event_Gesture_RotateStart,Rotate Start,回転開始,,
Event_Gesture_Rotating,Rotating,回転中,,
Event_Gesture_RotateEnd,Rotate End,回転終了,,
Event_Gesture_Global_Tap,Global Tap,グローバル - タップ,,
Event_Gesture_Global_DoubleTap,Global Double Tap,グローバル - ダブルタップ,,
Event_Gesture_Global_DragStart,Global Drag Start,グローバル - ドラッグ開始,,
Event_Gesture_Global_DragMove,Global Dragging,グローバル - ドラッグ中,,
Event_Gesture_Global_DragEnd,Global Drag End,グローバル - ドラッグ終了,,
Event_Gesture_Global_Flick,Global Flick,グローバル - フリック,,
Event_Gesture_Global_PinchStart,Global Pinch Start,グローバル - ピンチ開始,,
Event_Gesture_Global_PinchIn,Global Pinch In,グローバル - ピンチイン,,
Event_Gesture_Global_PinchOut,Global Pinch Out,グローバル - ピンチアウト,,
Event_Gesture_Global_PinchEnd,Global Pinch End,グローバル - ピンチ終了,,
Event_Gesture_Global_RotateStart,Global Rotate Start,グローバル - 回転開始,,
Event_Gesture_Global_Rotating,Global Rotating,グローバル - 回転中,,
Event_Gesture_Global_RotateEnd,Global Rotate End,グローバル - 回転終了,,
Event_Other_BroadcastMessage,Broadcast Message,ブロードキャストメッセージ,,
Event_Async_Event,Async Event,非同期イベント,,
Event_Broadcast_Message,Broadcast Message,ブロードキャストメッセージ,,
DnDModule_ApplyTo_Self,Self,自分,,
DnDModule_ApplyTo_Other,Other,相手,,
DnDModule_ApplyTo_All,All,すべて,,
GMStdChoose_Name,Choose,選択,,
GMStdCallFunction_Name,Function Call,関数呼び出し,,
GMStdVar_Name,Assign Variable,変数代入,,
GMStdTempVar_Name,Declare Temp,一時変数を宣言,,
GMStdIfVar_Name,If Variable,If - 変数,,
GMStdIfScore_Name,If Score,If - スコア値,,
GMStdIfLives_Name,If Lives,If - ライフ値,,
GMStdIfHealth_Name,If Health,If - ヘルス値,,
GMStdIfExpr_Name,If Expression,If - 式,,
GMStdIfUndef_Name,If Undefined,If - 未定義,,
GMStdElse_Name,Else,Else,,
GMStdExCode_Name,Execute Code,コード実行,,
