Basic_Code_Structure.htm+html.head.title:55-3,Basic Code Structure
Basic_Code_Structure.htm+html.head.title:59-3,Basic Code Structure
Basic_Code_Structure.htm+html.body.div.div.div[title]:73-7,Basic Code Structure
Basic_Code_Structure.htm+html.body.div.div.div:73-7,Basic Code Structure
Basic_Code_Structure.htm+html.body.h1:86-3,Basic Code Structure
Basic_Code_Structure.htm+html.body.p:87-3,"Code is written in <em>blocks</em> and a typical code block consists of a set of instructions, called <a class=""tooltip"" title=""TITLE_KEY::statement"">statement</a><span class=""glossextra""></span>, that are then interpreted by GameMaker Studio 2 and used to make something happen within your game. That ""something"" can be as simple as adding 2 and 2 to get 4, or as complex as making an enemy run away when their health gets below a certain value. The actual structure of the program can vary greatly, depending on the functions it uses, but broken down to basics it just looks like this:"
Basic_Code_Structure.htm+html.body.p:90-3,{ANY_CODE} &lt;statement&gt;;<br /> &lt;statement&gt;; <br /> ...
Basic_Code_Structure.htm+html.body.p:93-3,"Statements should be separated with a ';' symbol to prevent errors with <a class=""tooltip"" title=""TITLE_KEY::variable"">variable</a> declarations and to keep your code clean and tidy, and they can consist of variable declarations, <a class=""tooltip"" title=""TITLE_KEY::expression"">expression</a><span class=""glossextra""></span> and calls to specific <strong>functions</strong>. You can also ""group"" statements together as a block using the curly brackets <tt>{}</tt> so that they run together, like in the following <a class=""tooltip"" title=""TITLE_KEY::conditional"">conditional</a> example:"
Basic_Code_Structure.htm+html.body.p:96-3,{ANY_CODE} if (&lt;conditional&gt;)<br /> { <br /> &lt;statement&gt;; <br /> &lt;statement&gt;; <br /> ... <br /> }
Basic_Code_Structure.htm+html.body.p:102-3,"<b>NOTE</b>: The GameMaker Language will also accept <tt>begin</tt><span> </span>and <tt>end</tt><span> </span>instead of the curly brackets <tt>{}</tt>, although this is not typically the most common way to do it:"
Basic_Code_Structure.htm+html.body.p:103-3,{ANY_CODE} if (&lt;conditional&gt;)<br /> begin <br /> &lt;statement&gt;; <br /> &lt;statement&gt;; <br /> ... <br /> end
Basic_Code_Structure.htm+html.body.p:109-3,"Here is a more visual representation of how a code block can look, this time created as a <b>script</b> in the GameMaker Studio 2 <a href=""../../The_Asset_Editors/Scripts.htm"">Script Editor</a>:"
Basic_Code_Structure.htm+html.body.p.img[alt]:110-6,{IMG_TXT} Program Example
Basic_Code_Structure.htm+html.body.p:111-3,"There are a number of different types of statements, expressions, conditionals and functions, all of which are discussed at length in subsequent sections of the manual."
Basic_Code_Structure.htm+html.body.p:112-3,"<strong>NOTE</strong>: If you are new to programming then you may want to check out the <a href=""../../Quick_Start_Guide/Quick_Start_Guide.htm"">Quick Start Guide</a> before continuing."
Basic_Code_Structure.htm+html.body.div.div.div.div:119-9,"Back: <a href=""GML_Overview.htm"">GML Overview</a>"
Basic_Code_Structure.htm+html.body.div.div.div.div:120-9,"Next: <a href=""Runtime_Functions.htm"">Runtime Functions</a>"
Basic_Code_Structure.htm+html.body.p:138-1,{SEARCH_RESULT} Page outlining the basic code structure when using GML
Basic_Code_Structure.htm+html.body.p:138-78,{INDEX_KEYWORD} Code Structure
