Addressing_Variables_In_Other_Instances.htm+html.head.title:55-3,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.head.title:59-3,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.body.div.div.div[title]:73-7,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.body.div.div.div:73-7,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.body.h1:86-3,Addressing Variables In Other Instances
Addressing_Variables_In_Other_Instances.htm+html.body.p:87-3,"In the sections dedicated to <a href=""Variables_And_Variable_Scope.htm"">variables</a> you found out how to create and use variables within a single instance, or on a global scope, but what happens if you want one instance to access a variable in another, different instance? There are many cases when you may want to do this, for example in a collision with a bullet object, you may want to find out how much damage the bullet does by accessing a variable in the bullet, or you might want to stop the motion of all the balls in a puzzle, or you might want to move the main character to a particular position, or any number of other situations you typically come across in any game. Thankfully the GameMaker Language comes equipped with mechanisms to achieve this."
Addressing_Variables_In_Other_Instances.htm+html.body.p:91-3,"One of the most common methods for accessing or changing a variable in another instance is to use its object name as an identifier and then use a point ""<span class=""inline"">.</span>"" to tell GameMaker Studio 2 that the variable used after is to be assigned or changed in that object. The syntax for this is:"
Addressing_Variables_In_Other_Instances.htm+html.body.p:93-3,{ANY_CODE} &lt;object_id&gt;.&lt;<em>variable</em>&gt; = &lt;value&gt;;{nbsp_x1}
Addressing_Variables_In_Other_Instances.htm+html.body.p:94-3,In practice it would look like this:
Addressing_Variables_In_Other_Instances.htm+html.body.p:95-3,{ANY_CODE} obj_ball.speed = 0;
Addressing_Variables_In_Other_Instances.htm+html.body.p:96-3,"With the above code you are setting the speed of an instance of ""<tt>obj_ball</tt>"". However if you have more than one instance of the given object in the room, <em>then it will apply to ALL of them equally</em> - unless you are using <b>HTML5</b>, in which case it will affect only <em>one</em>, but you have no way of knowing which one it will affect - so if you need to access all instances of an object, you should be using <a href=""Language_Features/with.htm""><tt>with()</tt></a>, as that is 100% cross platform compatible. In general, this format should only be used when you have a single instance of the object in the room, or (as you will see in the next part) when you have a specific <i>instance <b>ID</b></i>."
Addressing_Variables_In_Other_Instances.htm+html.body.p:99-3,"You can also access a single instance of an object when there are multiple instances within the room using the unique <b>instance name</b> to tell GameMaker Studio 2 exactly which instance we wish to address. The <b>instance name constant</b> is the unique identifying constant that is given to each and every instance added to a room in your game. You can find this constant by double clicking on an instance in the <a href=""../../The_Asset_Editors/Rooms.htm"">room editor</a>:"
Addressing_Variables_In_Other_Instances.htm+html.body.p.img[alt]:101-6,{IMG_TXT} The instance constant in the room editor
Addressing_Variables_In_Other_Instances.htm+html.body.p:101-3,Note that this name can be be edited and given a more descriptive name - although the name <em>must</em> be unique to the entire game - and it can be used as the left-hand side of the point:
Addressing_Variables_In_Other_Instances.htm+html.body.p:103-3,{ANY_CODE} inst_4DB70D2.speed = 0;
Addressing_Variables_In_Other_Instances.htm+html.body.p:104-3,"By far the most common and practical method, however, is to use a <i>variable</i> on the left of the point, as long as the variable in question<i> has stored a valid <b>instance id</b></i>. The following examples illustrate this."
Addressing_Variables_In_Other_Instances.htm+html.body.p:105-3,"{ANY_CODE} // Example 1<br /> var _inst = instance_position(mouse_x, mouse_y, all);<br /> if instance_exists(_inst)<br /> {nbsp_x4}{ <br /> {nbsp_x4}_inst.speed = 0;<br /> {nbsp_x4}} <br /> <br /> // Example 2<br /> var _inst = instance_create_layer(mouse_x, mouse_y, ""Enemies"", obj_E_Parent);<br /> _inst.direction = point_direction(_inst.x, _inst.y, x, y);<br /> _inst.target = id;"
