exit.htm+html.head.title:55-3,exit
exit.htm+html.head.title:59-3,exit
exit.htm+html.body.div.div.div[title]:73-7,exit
exit.htm+html.body.div.div.div:73-7,exit
exit.htm+html.body.h1:86-3,exit
exit.htm+html.body.p:87-3,The <tt>exit</tt> statement has the following syntax:
exit.htm+html.body.p:88-3,{ANY_CODE} exit;
exit.htm+html.body.p:89-3,"<tt>exit</tt> simply ends the execution of the current <a href=""../Script_Functions.htm"">script function</a>, <a href=""../Method_Variables.htm"">method</a>, or <a href=""../../../The_Asset_Editors/Object_Properties/Object_Events.htm"">event</a>. Note there is a slight difference in use here depending on the scope:"
exit.htm+html.body.ul.li:92-5,if you use <tt>exit</tt> in a script function or method it will simply exit the function and return to the code that called the function
exit.htm+html.body.ul.li:93-5,"if you use <tt>exit</tt> in a code block from within an object, it will exit <i>the entire event</i> even if there are various separate code blocks after <span class=""inline"">exit</span> has been called."
exit.htm+html.body.p:95-3,"When used in an event, <tt>exit</tt> is typically used to avoid an instance running any further code when a specific condition has been met (or not). The code below outlines an example of how it would be used, in this case within a Collision Event, although it can be used in any event."
exit.htm+html.body.p:97-3,"{ANY_CODE} if (!visible)<br /> {nbsp_x4}{ <br /> {nbsp_x4}exit; <br /> {nbsp_x4}} <br /> while (place_meeting(x, y))<br /> {nbsp_x4}{ <br /> {nbsp_x4}x -= lengthdir_x(1, direction - 180);<br /> {nbsp_x4}y -= lengthdir_y(1, direction - 180);<br /> {nbsp_x4}}"
exit.htm+html.body.p:103-3,"The above code checks a variable and if it resolves to <tt>true</tt>, then it exits the code block, otherwise it goes ahead and runs the rest of the code."
exit.htm+html.body.p:104-3,"<b>NOTE</b>: It does not end the execution of the game. For that you need to use the function <span style=""font-size:1px;""><a href=""../../GML_Reference/General_Game_Control/game_end.htm""><tt style=""font-size: 14px"">game_end()</tt></a></span>."
exit.htm+html.body.div.div.div.div:111-9,"Back: <a href=""../Language_Features.htm"">Language Features</a>"
exit.htm+html.body.div.div.div.div:112-9,"Next: <a href=""with.htm"">with</a>"
exit.htm+html.body.p:124-1,{SEARCH_RESULT} Page outlining the exit function
exit.htm+html.body.p:124-56,{INDEX_KEYWORD} exit
