return.htm+html.head.title:55-3,return
return.htm+html.head.title:59-3,return
return.htm+html.body.div.div.div[title]:73-7,return
return.htm+html.body.div.div.div:73-7,return
return.htm+html.body.h1:86-3,return
return.htm+html.body.p:87-3,The <tt>return</tt> statement has the following syntax:
return.htm+html.body.p:88-3,{ANY_CODE} return (&lt;expression&gt;)
return.htm+html.body.p:89-3,"You only use the <tt>return</tt> statement in<span> <a href=""../Script_Functions.htm"">script functions</a> and <a href=""../Method_Variables.htm"">methods</a></span>, and it is used to return a value from the function to be used in further code or function calls. It should be noted that the <i>execution of the function ends at the <span class=""inline"">return</span> statement</i>, meaning that any code which comes after <span class=""inline"">return</span> has been called will not be run. Here is a short example script called <tt>sqr_calc</tt> which calculates the square of whatever value is passed to it, and it includes error catching in case the parameter that it is passed is not a real number:"
return.htm+html.body.p:92-3,{ANY_CODE} /// @function{nbsp_x7} {nbsp_x1} {nbsp_x2}sqr_calc(val);<br /> /// @param {real}{nbsp_x2}val {nbsp_x2}The value to calculate the square of<br /> /// @description{nbsp_x4} {nbsp_x1} {nbsp_x2}Calculate the square of the given value<br /> <br /> function sqr_calc(value)<br /> {nbsp_x4}{ <br /> {nbsp_x4}if !is_real(value)<br /> {nbsp_x8}{ <br /> {nbsp_x8}return 0;<br /> {nbsp_x8}} <br /> {nbsp_x4}else <br /> {nbsp_x8}{ <br /> {nbsp_x8}return (value * value);<br /> {nbsp_x8}} <br /> {nbsp_x4}}
return.htm+html.body.p:101-3,"To call a function from within a piece of code, just use it the same way as when calling runtime functions - that is, write the function name with the parameter values in parentheses. So, the above function would be called like this:"
return.htm+html.body.p:102-3,{ANY_CODE} if keyboard_check_pressed(vk_enter)<br /> {nbsp_x4}{ <br /> {nbsp_x4}val = scr_sqr(amount);<br /> {nbsp_x4}}
return.htm+html.body.p:105-3,"Here the variable <span class=""inline"">val</span> will either be 0 (because the variable <span class=""inline"">amount</span> is not a real number) or the total for <span class=""inline"">value * value</span>."
return.htm+html.body.div.div.div.div:112-9,"Back: <a href=""../Language_Features.htm"">Language Features</a>"
return.htm+html.body.div.div.div.div:113-9,"Next: <a href=""begin_end.htm"">begin / end</a>"
return.htm+html.body.p:125-1,{SEARCH_RESULT} Page outlining the return function
return.htm+html.body.p:125-58,{INDEX_KEYWORD} return
