Method_Variables.htm+html.head.title:55-3,Method Variables
Method_Variables.htm+html.head.title:59-3,Method Variables
Method_Variables.htm+html.body.div.div.div[title]:73-7,Method Variables
Method_Variables.htm+html.body.div.div.div:73-7,Method Variables
Method_Variables.htm+html.body.h1:86-3,Method Variables
Method_Variables.htm+html.body.p:87-3,"A method variable is essentially a variable that has had a function assigned to it, ""binding"" the function to an instance and enabling you to use the variable to refer to the function - much like you use a <a href=""Runtime_Functions.htm"">runtime function name</a> to refer to a built-in GML function. The variable used can be <em>local</em>, <em>instance</em> or <em>global</em> in scope (see <a href=""Variables_And_Variable_Scope.htm"">here</a> for more information on variable scope)."
Method_Variables.htm+html.body.p:88-3,The syntax for creating a method variable is as follows:
Method_Variables.htm+html.body.p:89-3,"{ANY_CODE} &lt;variablename&gt; = function(&lt;parameter1&gt;, &lt;parameter2&gt;, etc... )<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} &lt;statement1&gt;;<br /> {nbsp_x1} {nbsp_x1} &lt;statement1&gt;;<br /> {nbsp_x1} {nbsp_x1} ...<br /> {nbsp_x1} {nbsp_x1} }"
Method_Variables.htm+html.body.p:90-3,or
Method_Variables.htm+html.body.p:91-3,"{ANY_CODE} function &lt;variablename&gt;(&lt;parameter1&gt;, &lt;parameter2&gt;, etc... )<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} &lt;statement1&gt;;<br /> {nbsp_x1} {nbsp_x1} &lt;statement1&gt;;<br /> {nbsp_x1} {nbsp_x1} ...<br /> {nbsp_x1} {nbsp_x1} }"
Method_Variables.htm+html.body.p:92-3,"In general, however, you would use the <em>first </em>form for methods, and the second form for defining <a href=""Script_Functions.htm"">script functions</a>, since the second form will also assign a script index to the function name while the first form will be a ""true"" method (and require the use of the <a href=""Variables/Global_Variables.htm"">global</a> prefix if used to define a scripted function)."
Method_Variables.htm+html.body.p:94-3,"<strong>NOTE</strong>: You can check this by using both forms in project and then calling the runtime function <a href=""../GML_Reference/Variable_Functions/typeof.htm"">typeof()</a> on each of them. One will be classed as a ""number"" - since it returns a script index ID - and the other will be classed as a ""method""."
Method_Variables.htm+html.body.p:96-3,"So, keep in mind that - in general - we will always be referring to functions that have <em>not </em>been defined with a script index when we are talking about methods and method variables."
Method_Variables.htm+html.body.p:97-3,Below you can see three simple examples of creating a method variable using different scopes:
Method_Variables.htm+html.body.p:98-3,"{ANY_CODE} // Local<br /> var _debug = function(message)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} show_debug_message(message);<br /> {nbsp_x1} {nbsp_x1} }<br /> <br /> // Instance<br /> do_maths = function(val1, val2, val3)<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return (val1 * val2) - val3;<br /> {nbsp_x1} {nbsp_x1} }<br /> <br /> // Global<br /> global.pd = function(_x1, _y1, _x2, _y2);<br /> {nbsp_x1} {nbsp_x1} {<br /> {nbsp_x1} {nbsp_x1} return point_distance(_x1, _y1, _x2, _y2);<br /> {nbsp_x1} {nbsp_x1} }"
Method_Variables.htm+html.body.p:101-3,"Notice that in the above code, the various parameters that are given as inputs for the function are all named and these names are what should be used within the function to refer to the different inputs. Also note that you can use the <span class=""inline""><a href=""Language_Features/return.htm"">return</a></span> statement to return a value from a function for use elsewhere in your code, and that a function with <em>no</em> return value defined, will return <span class=""inline"">undefined</span>.by default."
Method_Variables.htm+html.body.p:102-3,"<strong>NOTE</strong>: While the variable will be in the chosen scope, the actual function will be bound to the scope that it was initially defined in. For example, <a href=""Script_Functions.htm"">script functions</a> are all global scope and ""unbound"" (ie: they are not associated with any instances), but if you have a script function that creates another function as a method variable within it and then you call this script function from an instance, the function used within the script will <strong>be bound to the instance variable as a method</strong>. In general this is not something you ever need to think about but for more complex operations with method variables it's worth taking into consideration. This also applies when using other constructs like <a href=""Language_Features/with.htm""><span class=""inline"">with</span></a> - when you create a method variable inside a with, the function will be bound to the instance that is currently in scope."
Method_Variables.htm+html.body.p:105-3,"Once created, the method variable can be used just as you would a runtime function or a script function, for example:"
