switch.htm+html.head.title:55-3,switch
switch.htm+html.head.title:59-3,switch
switch.htm+html.body.div.div.div[title]:73-7,switch
switch.htm+html.body.div.div.div:73-7,switch
switch.htm+html.body.h1:86-3,switch
switch.htm+html.body.p:87-3,"In a number of situations you want to let your instances complete different actions depending on a particular value. You can do this using a number of consecutive <a href=""If_Else_and_Conditional_Operators.htm""><tt>if / else</tt></a> statements, but when the possible choices gets above two or three it is usually easier to use the <tt>switch</tt> statement. A <tt>switch</tt> statement has the following form:"
switch.htm+html.body.p:89-3,{ANY_CODE} switch (&lt;expression&gt;)<br /> {nbsp_x4}{ <br /> {nbsp_x4}case &lt;constant1&gt;: &lt;statement1&gt;; ... ; break;<br /> {nbsp_x4}case &lt;constant2&gt;: &lt;statement2&gt;; ... ; break;<br /> {nbsp_x4}... <br /> {nbsp_x4}default: &lt;statement&gt;;<br /> {nbsp_x4}}
switch.htm+html.body.p:93-3,This works as follows:
switch.htm+html.body.ul.li:95-5,"First the <a class=""tooltip"" title=""TITLE_KEY::expression"">expression</a> is executed."
switch.htm+html.body.ul.li:96-5,"Next it is compared with the results of the different <a href=""../Variables/Constants.htm"">constants</a> after each of the <span class=""inline"">case</span> <a class=""tooltip"" title=""TITLE_KEY::statement"">statement</a><span class=""glossextra""></span>. When we say ""constant"" what we mean is that the value in the case cannot be a variable expression and must be a fixed value of any <a href=""../Data_Types.htm"">data type</a>, like ""fight"" or 3 or the keyword <span class=""inline""><a href=""../Instance_Keywords.htm"">noone</a></span>."
switch.htm+html.body.ul.li:98-5,"The execution continues after the first <span class=""inline"">case</span> statement with the correct value, <i>until a <a href=""break.htm"">break</a> statement is encountered</i>."
switch.htm+html.body.ul.li:99-5,"If no case statement has the right value, then the <span class=""inline"">default</span> statement will be executed (it is not required to have a <span class=""inline"">default</span> statement, and if none is supplied then no action will be taken)."
switch.htm+html.body.p:101-3,A simple example of using a switch statement would be something like this:
